,en,ru,pl,be,uk,bg,sl,cs
265," As well as continuing to provide service in those traditional areas in which [???] has an obligation to provide services or is closely regulated, [???] has expanded into more profitable products and services where there is less regulation."," Помимо продолжения предоставления услуг в тех традиционных областях, в которых [m] обязан предоставлять услуги или строго регулируется, [m] расширился до более прибыльных продуктов и услуг, где регулирование меньше."," Oprócz dalszego świadczenia usług w tych tradycyjnych obszarach, w których [m] ma obowiązek świadczenia usług lub jest ściśle regulowany, [m] rozszerzył swoją działalność na bardziej dochodowe produkty i usługi tam, gdzie jest mniej regulacji."," Акрамя таго, што ён працягвае аказваць паслугі ў тых традыцыйных сферах, у якіх [m] абавязаны аказваць паслугі або строга рэгулюецца, [m] пашырыўся ў больш прыбытковых прадуктах і паслугах, дзе менш рэгулявання."," Крім того, що продовжує надавати послуги в тих традиційних сферах, у яких [m] зобов’язаний надавати послуги або він суворо регулюється, [m] розширився до більш прибуткових продуктів і послуг, де менше регулювання."," Освен че продължава да предоставя услуги в онези традиционни области, в които [m] има задължение да предоставя услуги или е строго регулиран, [m] се разшири до по-печеливши продукти и услуги, където има по-малко регулиране."," Poleg tega, da je še naprej zagotavljal storitve na tistih tradicionalnih področjih, na katerih ima [m] obveznost zagotavljanja storitev ali je strogo reguliran, se je [m] razširil na bolj donosne izdelke in storitve, kjer je manj regulacije."," Kromě pokračování v poskytování služeb v těch tradičních oblastech, ve kterých má [m] povinnost poskytovat služby nebo je přísně regulován, se [m] rozšířil do ziskovějších produktů a služeb, kde je regulace méně."
266, [???] is organised into the following business divisions:, [n] состоит из следующих бизнес-подразделений:, [n] jest podzielone na następujące działy biznesowe:, [pl] арганізавана ў наступныя бізнес-падраздзяленні:, [n] організовано на такі бізнес-підрозділи:, [n] е организирано в следните бизнес подразделения:, [n] je organizirano v naslednje poslovne oddelke:, [f] je organizována do následujících obchodních divizí:
267, [???] has made a habit of adjusting the previous year 's revenue figure every quarter., [m] имеет привычку корректировать данные о доходах за предыдущий год каждый квартал., [m] ma w zwyczaju co kwartał korygować ubiegłoroczne przychody., [m] узяў звычку кожны квартал карэктаваць лічбу выручкі за папярэдні год., [m] має звичку щоквартально коригувати показники доходів за попередній рік., [m] си създаде навика да коригира данните за приходите от предходната година всяко тримесечие.," [m] se je navadil, da vsako četrtletje prilagaja podatke o prihodkih iz prejšnjega leta.", [m] má ve zvyku každé čtvrtletí upravovat příjmy z předchozího roku.
268, Only once in the past year has [???] adjusted the figure upwards rather than downwards.," Только один раз за последний год [m] скорректировал цифру в сторону увеличения, а не уменьшения."," Tylko raz w ubiegłym roku [m] skorygował liczbę w górę, a nie w dół."," Толькі адзін раз за мінулы год [m] скарэкціраваў лічбу ў рост, а не ўніз."," Лише один раз за останній рік [m] скоригував цей показник у бік збільшення, а не зменшення."," Само веднъж през изминалата година [m] коригира цифрата нагоре, а не надолу.", Samo enkrat v preteklem letu je [m] to številko popravil navzgor in ne navzdol., Pouze jednou za uplynulý rok [m] upravil číslo spíše nahoru než dolů.
269, [???] has made it clear that it has an ambitious plan to reduce carbon dioxide emissions.,"[n] ясно дало понять, что у него есть амбициозный план по сокращению выбросов углекислого газа.","[n] dało jasno do zrozumienia, że ​​ma ambitny plan ograniczenia emisji dwutlenku węgla.","""[n]"" ясна дало зразумець, што мае амбіцыйны план па скарачэнні выкідаў вуглякіслага газу.","[n] ясно дало зрозуміти, що має амбітний план скорочення викидів вуглекислого газу.","[n] даде да се разбере, че има амбициозен план за намаляване на емисиите на въглероден диоксид.","[f] je jasno povedala, da ima ambiciozen načrt za zmanjšanje emisij ogljikovega dioksida.","[f] dala jasně najevo, že má ambiciózní plán na snížení emisí oxidu uhličitého."
270," [???] has actually pledged to achieve an 80% reduction by the year 2016, which will require further efficiency improvements."," [m] фактически обязался добиться сокращения на 80% к 2016 году, что потребует дальнейшего повышения эффективности."," [m] faktycznie zobowiązał się do osiągnięcia 80% redukcji do roku 2016, co będzie wymagało dalszej poprawy wydajności."," [m] фактычна паабяцаў дабіцца зніжэння на 80% да 2016 года, што запатрабуе далейшага павышэння эфектыўнасці."," [m] фактично пообіцяв досягти скорочення на 80% до 2016 року, що потребуватиме подальшого підвищення ефективності."," [m] всъщност се ангажира да постигне 80% намаление до 2016 г., което ще изисква допълнителни подобрения на ефективността."," [m] se je dejansko zavezal, da bo do leta 2016 dosegel 80-odstotno zmanjšanje, kar bo zahtevalo nadaljnje izboljšave učinkovitosti."," [m] se ve skutečnosti zavázal dosáhnout 80% snížení do roku 2016, což bude vyžadovat další zlepšení účinnosti."
271, The book 's argument is that [???] is not prepared economically for a long war but might win a lightning war.," Аргумент книги состоит в том, что [m] экономически не готов к долгой войне, но может выиграть молниеносную войну."," Argumentem książki jest to, że [m] nie jest ekonomicznie przygotowany na długą wojnę, ale może wygrać błyskawiczną wojnę."," Аргумент кнігі заключаецца ў тым, што [m] эканамічна не гатовы да працяглай вайны, але можа выйграць вокамгненную вайну."," Аргумент книги полягає в тому, що [m] не готовий економічно до тривалої війни, але може виграти блискавичну війну."," Аргументът на книгата е, че [m] не е подготвен икономически за дълга война, но може да спечели светкавична война."," Argument knjige je, da [m] ni ekonomsko pripravljen na dolgo vojno, ampak bi lahko zmagal v bliskovni vojni."," Argument knihy je, že [m] není ekonomicky připraven na dlouhou válku, ale mohl by vyhrát bleskovou válku."
272, The [???] are often considered as the original pioneers among boy bands., [pl] часто считаются первопроходцами среди бойз-бэндов., Te [pl] są często uważane za pionierów wśród boysbandów., [pl] часта лічацца першапраходцамі сярод хлопчыкаў-бэндаў., [pl] часто вважаються оригінальними піонерами серед бойових груп., [pl] често се считат за оригинални пионери сред момчешките групи., [pl] pogosto veljajo za prvotne pionirje med fantovskimi bendi., [pl] jsou často považovány za původní průkopníky mezi chlapeckými skupinami.
273, The [???] carries out measurement-related research.," [m] проводит исследования, связанные с измерениями.", [m] prowadzi badania związane z pomiarami.," [m] праводзіць даследаванні, звязаныя з вымярэннямі."," [m] проводить дослідження, пов’язані з вимірюванням."," [m] извършва изследвания, свързани с измерването."," [m] izvaja raziskave, povezane z meritvami.", [m] provádí výzkum související s měřením.
274, The [???] has an important role in maintaining accurate worldwide time of day., [m] играет важную роль в поддержании точного времени суток во всем мире., [m] odgrywa ważną rolę w utrzymywaniu dokładnej pory dnia na całym świecie., [m] адыгрывае важную ролю ў захаванні дакладнага часу сутак ва ўсім свеце., [m] відіграє важливу роль у підтримці точного часу доби в усьому світі., [m] има важна роля в поддържането на точното време от деня в целия свят., [m] ima pomembno vlogo pri ohranjanju točnega svetovnega časa dneva., [m] hraje důležitou roli při udržování přesné celosvětové denní doby.
275," However, the [???] notes that these classifications are socio-political constructs and should not be interpreted as scientific or anthropological."," Однако [pl] отмечают, что эти классификации являются социально-политическими конструкциями и не должны интерпретироваться как научные или антропологические."," Jednakże [pl] zauważają, że klasyfikacje te są konstruktami społeczno-politycznymi i nie powinny być interpretowane jako naukowe lub antropologiczne."," Аднак [pl] адзначаюць, што гэтыя класіфікацыі з'яўляюцца сацыяльна-палітычнымі канструкцыямі і іх не варта трактаваць як навуковыя або антрапалагічныя."," Однак [pl] зазначають, що ці класифікації є соціально-політичними конструктами і не повинні інтерпретуватися як наукові чи антропологічні."," Въпреки това [pl] отбелязват, че тези класификации са социално-политически конструкции и не трябва да се тълкуват като научни или антропологични."," Vendar pa [pl] ugotavljajo, da so te klasifikacije družbenopolitične konstrukcije in jih ne bi smeli razlagati kot znanstvene ali antropološke."," Nicméně [pl] poznamenávají, že tyto klasifikace jsou sociálně-politické konstrukty a neměly by být interpretovány jako vědecké nebo antropologické."
276, [???] is the most notable society to have discontinued the use of roll numbers completely.," [m] - самое известное общество, полностью отказавшееся от использования регистрационных номеров."," [m] jest najbardziej znanym stowarzyszeniem, które całkowicie zaprzestało używania numerów rzutów."," [m] з'яўляецца найбольш прыкметным грамадствам, якое цалкам спыніла выкарыстанне нумароў."," [m] є найвідомішим суспільством, яке повністю припинило використання номерів."," [m] е най-забележителното общество, което е преустановило напълно използването на номера на ролките."," [m] je najbolj opazna družba, ki je popolnoma opustila uporabo številk."," [m] je nejpozoruhodnější společností, která úplně přestala používat čísla hodů."
277, [???] does not recommend benzodiazepines for persons with depressive symptoms or a recent history of substance abuse., [m] не рекомендует бензодиазепины людям с депрессивными симптомами или недавней историей злоупотребления психоактивными веществами., [m] nie zaleca benzodiazepin osobom z objawami depresji lub z niedawną historią nadużywania substancji., [m] не рэкамендуе бензадыазепіны асобам з сімптомамі дэпрэсіі або нядаўняй гісторыяй злоўжывання таксікамі., [m] не рекомендує бензодіазепіни особам із симптомами депресії або недавньою історією зловживання психоактивними речовинами., [m] не препоръчва бензодиазепини за хора с депресивни симптоми или скорошна история на злоупотреба с вещества., [m] ne priporoča benzodiazepinov za osebe s simptomi depresije ali nedavno zlorabo substanc., [m] nedoporučuje benzodiazepiny osobám s depresivními symptomy nebo nedávnou anamnézou zneužívání návykových látek.
278," The [???] regard a BMI of less than 18.5 as underweight and may indicate malnutrition, an eating disorder, or other health problems, while a BMI greater than 25 is considered overweight and above 30 is considered obese."," [n] считает ИМТ менее 18,5 недостаточным весом и может указывать на недоедание, расстройство пищевого поведения или другие проблемы со здоровьем, в то время как ИМТ более 25 считается избыточным весом, а выше 30 — ожирением."," [n] uważa BMI poniżej 18,5 za niedowagę i może wskazywać na niedożywienie, zaburzenia odżywiania lub inne problemy zdrowotne, podczas gdy BMI powyżej 25 uważa się za nadwagę, a powyżej 30 za otyłość."," ""[n]"" расцэньвае ІМТ менш за 18,5 як недахоп вагі і можа сведчыць аб недаяданні, засмучэнні харчовай паводзінаў або іншых праблемах са здароўем, у той час як ІМТ больш за 25 лічыцца залішняй вагой, а вышэй за 30 — атлусценнем."," [n] вважає ІМТ менше 18,5 як недостатню вагу і може свідчити про недоїдання, розлад харчової поведінки або інші проблеми зі здоров’ям, тоді як ІМТ, що перевищує 25, вважається надмірною вагою, а вище 30 — ожирінням."," [n] счита ИТМ под 18,5 за поднормено тегло и може да показва недохранване, хранително разстройство или други здравословни проблеми, докато ИТМ по-голям от 25 се счита за наднормено тегло, а над 30 се счита за затлъстяване."," [f] meni, da je ITM, manjši od 18,5, premajhen in lahko kaže na podhranjenost, motnjo hranjenja ali druge zdravstvene težave, medtem ko se ITM, večji od 25, šteje za prekomerno telesno težo in nad 30 za debelost."," [f] považuje BMI nižší než 18,5 za podváhu a může znamenat podvýživu, poruchu příjmu potravy nebo jiné zdravotní problémy, zatímco BMI vyšší než 25 je považováno za nadváhu a nad 30 je považováno za obézní."
279, He is [???] 's CEO.," Он генеральный директор ""[m]""."," Jest prezesem ""[n]""."," Ён з'яўляецца генеральным дырэктарам ""[m]""."," Він є генеральним директором ""[n]""."," Той е главен изпълнителен директор на ""[m]""."," Je predsednik uprave ""[n]""."," Je generálním ředitelem ""[n]""."
280," Over the years, [???] has been distributed in many sizes and containers.", На протяжении многих лет [m] распространялся во многих размерах и контейнерах., Przez lata [m] był rozprowadzany w wielu rozmiarach i pojemnikach., На працягу многіх гадоў [m] распаўсюджваўся ў розных памерах і кантэйнерах., Протягом багатьох років [m] розповсюджувався у багатьох розмірах і контейнерах., През годините [m] се разпространява в много размери и контейнери., Z leti je bil [m] distribuiran v številnih velikostih in posodah., V průběhu let byl [m] distribuován v mnoha velikostech a kontejnerech.
281, [???] has introduced many can designs with co-branding and sports marketing promotional packaging., [n] представило множество дизайнов банок с кобрендинговой и спортивной рекламной упаковкой., [n] wprowadziło wiele projektów puszek z co-brandingiem i opakowaniami promocyjnymi dla marketingu sportowego.," ""[n]"" прадставіла мноства канструкцый банкаў з сумесным брэндынгам і рэкламнай упакоўкай для спартыўнага маркетынгу.", [n] представило багато дизайнів банок із спільним брендингом та рекламною упаковкою для спортивного маркетингу., [n] въведе много дизайни на консерви с кобрандиране и рекламни опаковки за спортен маркетинг., [f] je predstavila številne modele pločevink s skupno blagovno znamko in promocijsko embalažo za športno trženje., [f] představila mnoho designů plechovek s co-brandingem a sportovním marketingovým propagačním balením.
282," [???] is brewed using barley malt, rice, water, hops and yeast."," [m] варится с использованием ячменного солода, риса, воды, хмеля и дрожжей."," [m] jest warzony ze słodu jęczmiennego, ryżu, wody, chmielu i drożdży."," [m] варыцца з выкарыстаннем ячменнага соладу, рысу, вады, хмеля і дрожджаў."," [m] вариться з використанням ячмінного солоду, рису, води, хмелю та дріжджів."," [m] се вари с помощта на ечемичен малц, ориз, вода, хмел и дрожди."," [m] se vari iz ječmenovega slada, riža, vode, hmelja in kvasa."," [m] se vaří z ječného sladu, rýže, vody, chmele a kvasnic."
283," [???] refers to this process as a secondary fermentation, with the idea being that the chips give the yeast more surface area to rest on."," [m] называет этот процесс вторичным брожением, идея которого заключается в том, что чипсы дают дрожжам больше площади для отдыха."," [m] odnosi się do tego procesu jako do wtórnej fermentacji, z ideą, że chipsy dają drożdżom większą powierzchnię, na której mogą spoczywać."," [m] адносіцца да гэтага працэсу як да другаснага закісання, з ідэяй у тым, што чыпсы даюць дрожджам большую плошчу паверхні для адпачынку."," [m] відноситься до цього процесу як до вторинного бродіння, ідея полягає в тому, що чіпси надають дріжджам більшу площу поверхні для відпочинку."," [m] се отнася към този процес като към вторична ферментация, като идеята е, че чиповете дават на дрождите повече повърхност за почивка."," [m] ta proces označuje kot sekundarno fermentacijo, pri čemer je ideja, da čipi dajo kvasu večjo površino za počivanje."," [m] tento proces označuje jako sekundární fermentaci, přičemž myšlenkou je, že hranolky dávají kvasnicím větší plochu k odpočinku."
284," By placing chips at the bottom of the tank, the yeast remains in suspension longer, giving it more time to reabsorb and process green beer flavors, such as acetaldehyde and diacetyl, that [???] believes are off-flavors which detract from overall drinkability."," Помещая стружку на дно резервуара, дрожжи дольше остаются во взвешенном состоянии, что дает им больше времени для повторного поглощения и обработки ароматов зеленого пива, таких как ацетальдегид и диацетил, которые [pl] считают неприятными привкусами, которые ухудшают общую питкость."," Umieszczając chipsy na dnie zbiornika, drożdże pozostają dłużej w zawiesinie, co daje im więcej czasu na ponowne wchłonięcie i przetworzenie smaków zielonego piwa, takich jak aldehyd octowy i diacetyl, które [pl] uważają za nieprzyjemne, co ujemnie wpływa na ogólną pijalność."," Размясціўшы чыпсы на дне рэзервуара, дрожджы даўжэй застаюцца ў завісі, што дае ім больш часу для паўторнага ўбірання і перапрацоўкі водараў зялёнага піва, такіх як ацэтальдэгід і дыяцэтыл, якія [pl] лічаць непрыемнымі, што пагаршае агульную прыдатнасць да піцця."," Поміщаючи чіпси на дно резервуара, дріжджі залишаються у суспензії довше, даючи їм більше часу для повторного всмоктування та переробки ароматів зеленого пива, таких як ацетальдегід і діацетил, які [pl] вважають поганими, що погіршують загальну придатність пива."," Чрез поставяне на чипс на дъното на резервоара, маята остава в суспензия по-дълго, което й дава повече време за реабсорбиране и преработка на аромати на зелена бира, като ацеталдехид и диацетил, които [pl] смятат, че са с неприятни вкусове, които влошават общата годност за пиене."," Z dajanjem čipsa na dno rezervoarja kvas ostane v suspenziji dlje, kar mu daje več časa za ponovno absorpcijo in predelavo arom zelenega piva, kot sta acetaldehid in diacetil, za katere [pl] menijo, da so neprijetnega okusa, ki zmanjšujejo splošno pitno."," Umístěním lupínků na dno tanku zůstávají kvasinky déle v suspenzi, což jim dává více času na reabsorbci a zpracování chutí zeleného piva, jako je acetaldehyd a diacetyl, o kterých se [pl] domnívají, že jsou nežádoucími příchutěmi, které snižují celkovou pitelnost."
286," Formed in 1941, the [???] is considered the role model for many other special forces units in the world."," Основанный в 1941 году, [m] считается образцом для подражания для многих других подразделений специального назначения в мире.", Utworzony w 1941 [m] jest uważany za wzór dla wielu innych jednostek sił specjalnych na świecie., Створаны ў 1941 годзе [m] лічыцца ўзорам для пераймання для многіх іншых падраздзяленняў спецыяльнага прызначэння ў свеце., Створений у 1941 році [m] вважається зразком для наслідування для багатьох інших підрозділів спеціального призначення у світі.," Създаден през 1941 г., [m] се счита за модел за подражание за много други части на специалните сили в света."," [m], ustanovljen leta 1941, velja za vzor mnogih drugih enot specialnih sil na svetu."," [m], který byl založen v roce 1941, je považován za vzor pro mnoho dalších jednotek speciálních sil na světě."
287, The [???] cover a broad and diverse spectrum of collections with a marked concentration in the fine arts., [n] охватывает широкий и разнообразный спектр коллекций с заметной концентрацией в изобразительном искусстве.," [n] obejmuje szeroki i różnorodny zakres zbiorów, z wyraźnym skupieniem się na sztukach pięknych."," ""[n]"" ахоплівае шырокі і разнастайны спектр калекцый з прыкметнай канцэнтрацыяй у выяўленчым мастацтве.", [n] охоплює широкий і різноманітний спектр колекцій з помітною концентрацією в образотворчому мистецтві., [n] обхваща широк и разнообразен спектър от колекции с подчертана концентрация в изобразителното изкуство., [n] pokriva širok in raznolik spekter zbirk z izrazito koncentracijo v likovni umetnosti., [f] pokrývá široké a rozmanité spektrum sbírek s výraznou koncentrací ve výtvarném umění.
288, [???] has made several acquisitions to diversify away from the eponymous [???] rum brand.," [m] сделал несколько приобретений, чтобы диверсифицировать производство одноименного [m] бренда рома."," [m] dokonał kilku przejęć, aby odejść od tytułowej marki rumu [m]."," [m] зрабіў некалькі набыткаў, каб адысці ад аднайменнага брэнда [m] рома."," [m] зробив кілька придбань, щоб диверсифікуватися від однойменного бренду [m] рому."," [m] направи няколко придобивания, за да се диверсифицира далеч от едноименната [m] марка ром."," [m] je opravil več pridobitev, da bi se oddaljil od istoimenske [m] znamke ruma."," [m] provedl několik akvizic, aby se odklonil od stejnojmenné [m] značky rumu."
289, [???] has twice submitted unsuccessful unsolicited proposals to reactivate up to 20 of the mothballed airframes., [m] дважды подавал безуспешные незапрошенные предложения по повторной активации до 20 законсервированных планеров., [m] dwukrotnie złożył nieudane niezamówione propozycje reaktywacji do 20 płatowców naftaliny., [m] двойчы падаваў няўдалыя незапрошаныя прапановы аб рэактывацыі да 20 законсерваваных планераў., [m] двічі подавав невдалі незапрошені пропозиції щодо реактивації до 20 законсервованих планерів., [m] два пъти е подал неуспешни непоискани предложения за повторно активиране на до 20 от консервираните самолетни корпуса., [m] je dvakrat oddal neuspešne nenaročene predloge za ponovno aktiviranje do 20 zaprtih letal., [m] dvakrát předložil neúspěšné nevyžádané návrhy na reaktivaci až 20 zakonzervovaných draků letadel.
290, [???] remains a well recognised brand throughout the world., [n] остается хорошо узнаваемым брендом во всем мире., [n] pozostaje dobrze rozpoznawalną marką na całym świecie.," ""[n]"" застаецца добра вядомым брэндам ва ўсім свеце.", [n] залишається відомим брендом у всьому світі., [n] остава добре призната марка в целия свят., [f] ostaja dobro priznana blagovna znamka po vsem svetu., [f] zůstává dobře uznávanou značkou po celém světě.
292, [???] financed and distributed these pictures ( 1918 -- 23) but otherwise gave him complete creative control over production.," [m] финансировал и распространял эти картины (1918-23), но в остальном дал ему полный творческий контроль над производством."," [m] finansował i rozpowszechniał te obrazy (1918 - 23), ale poza tym dał mu pełną kontrolę nad produkcją."," [m] фінансаваў і распаўсюджваў гэтыя карціны (1918 - 23), але ў іншым выпадку даваў яму поўны творчы кантроль над вытворчасцю."," [m] фінансував і розповсюджував ці картини (1918 - 23), але в інших випадках надавав йому повний творчий контроль над виробництвом."," [m] финансира и разпространява тези снимки (1918 - 23), но иначе му дава пълен творчески контрол върху производството."," [m] je financiral in distribuiral te slike (1918 - 23), sicer pa mu je dal popoln ustvarjalni nadzor nad produkcijo."," [m] tyto obrazy financoval a distribuoval (1918 -- 23), ale jinak mu dal úplnou tvůrčí kontrolu nad výrobou."
293, A third major area of urban development also with a focus on sustanibility is [???].," Третьей важной областью городского развития, также ориентированной на устойчивость, является [n]."," Trzecim głównym obszarem rozwoju miast, również skupiającym się na zrównoważonym rozwoju, jest [n]."," Трэцяй галоўнай сферай гарадскога развіцця таксама з акцэнтам на ўстойлівасць з'яўляецца ""[n]""."," Третьою важливою сферою міського розвитку, яка також зосереджується на стійкості, є [n].", Трета основна област на градското развитие също с фокус върху устойчивостта е [n].," Tretje glavno področje razvoja mest, prav tako s poudarkom na trajnosti, je [f].", Třetí hlavní oblastí rozvoje měst se zaměřením na udržitelnost je [f].
294," [???] has worked out definitions of so-called lands ( landsdele), a definition used to meet statistical needs on a lower level than regions."," [m] разработал определения так называемых земель (landsdele), определение, используемое для удовлетворения статистических потребностей на более низком уровне, чем регионы."," [m] wypracował definicje tzw. landów (landdele), definicję służącą do zaspokojenia potrzeb statystycznych na niższym poziomie niż regiony."," [m] распрацаваў вызначэнне так званых зямель (landsdele), вызначэнне, якое выкарыстоўваецца для задавальнення статыстычных патрэбаў на ніжэйшым узроўні, чым рэгіёны."," [m] розробив визначення так званих земель (landsdele), визначення, яке використовується для задоволення статистичних потреб на нижчому рівні, ніж регіони."," [m] е разработил дефиниции за така наречените земи (landsdele), дефиниция, използвана за задоволяване на статистически нужди на по-ниско ниво от регионите."," [m] je izdelal definicije tako imenovanih zemljišč (landsdele), definicije, ki se uporablja za zadovoljevanje statističnih potreb na nižji ravni kot regije."," [m] vypracoval definice takzvaných pozemků (landsdele), což je definice používaná ke splnění statistických potřeb na nižší úrovni než regiony."
295," [???] owns both a women 's and a men 's team, which have the same name and logo."," [m] владеет как женской, так и мужской командой с одинаковым названием и логотипом."," [m] jest właścicielem zarówno kobiecej, jak i męskiej drużyny, które mają tę samą nazwę i logo."," [m] валодае як жаночай, так і мужчынскай камандамі, якія маюць аднолькавую назву і лагатып."," [m] володіє як жіночою, так і чоловічою командою, які мають однакову назву та логотип."," [m] притежава както женски, така и мъжки отбор, които имат едно и също име и лого."," [m] ima v lasti žensko in moško ekipo, ki imata isto ime in logotip."," [m] vlastní jak ženský, tak mužský tým, které mají stejný název a logo."
296, [???] is under the direction of the federal government 's Minister of Transport., [n] находится под руководством министра транспорта федерального правительства., [n] podlega Ministerstwu Transportu rządu federalnego.," ""[n]"" знаходзіцца пад кіраўніцтвам міністра транспарту федэральнага ўрада.", [n] знаходиться під керівництвом міністра транспорту федерального уряду., [n] е под ръководството на министъра на транспорта на федералното правителство., [n] je pod vodstvom ministra za promet zvezne vlade., [f] je pod vedením ministra dopravy federální vlády.
297," [???] oversees most of the regulatory functions related to marine registration, safety of large vessel, and port pilotage duties."," [m] наблюдает за большинством регулирующих функций, связанных с морской регистрацией, безопасностью крупных судов и лоцманскими обязанностями в порту."," [m] nadzoruje większość funkcji regulacyjnych związanych z rejestracją morską, bezpieczeństwem dużych statków oraz obowiązkami pilotażu portowego."," [m] кантралюе большасць нарматыўных функцый, звязаных з марской рэгістрацыяй, бяспекай буйных суднаў і абавязкамі лоцманскай праводзі ў порту."," [m] контролює більшість регуляторних функцій, пов’язаних із морською реєстрацією, безпекою великих суден та обов’язками лоцманської проводки порту."," [m] наблюдава повечето от регулаторните функции, свързани с морската регистрация, безопасността на големи кораби и задълженията за пилотаж на пристанището."," [m] nadzira večino regulativnih funkcij, povezanih z registracijo morja, varnostjo velikih plovil in dolžnostmi pristaniškega pilotaža."," [m] dohlíží na většinu regulačních funkcí souvisejících s námořní registrací, bezpečností velkých plavidel a povinnostmi přístavní lodivodství."
298, [???] enforces acts and regulations governing water transportation and safety.," [m] обеспечивает соблюдение законов и правил, регулирующих водные перевозки и безопасность.", [m] egzekwuje ustawy i przepisy regulujące transport wody i bezpieczeństwo.," [m] забяспечвае выкананне актаў і правілаў, якія рэгулююць водны транспарт і бяспеку."," [m] забезпечує дотримання актів та правил, що регулюють водний транспорт та безпеку."," [m] прилага актове и разпоредби, регулиращи водния транспорт и безопасността."," [m] uveljavlja zakone in predpise, ki urejajo vodni promet in varnost.", [m] prosazuje zákony a předpisy upravující vodní dopravu a bezpečnost.
299," [???] meet on Saturday, while others do not meet on a weekly basis.","[n] собирается по субботам, в то время как другие не встречаются еженедельно.","[n] spotykają się w sobotę, podczas gdy inni nie spotykają się co tydzień.","""[n]"" збіраюцца ў суботу, а іншыя збіраюцца не штотыдзень.","[n] збирається в суботу, тоді як інші збираються не щотижня.","[n] се срещат в събота, докато други не се срещат на седмична база.","[n] se sestajajo v soboto, drugi pa se ne sestajajo tedensko.","[f] se schází v sobotu, zatímco ostatní se nescházejí každý týden."
300, [???] comprise only 1% of the population., [m] составляют всего 1% населения., [m] to tylko 1% populacji., [m] складаюць толькі 1% ​​насельніцтва., [m] становлять лише 1% населення., [m] съставляват само 1% от населението., [m] obsega le 1 % prebivalstva., [m] tvoří pouze 1 % populace.
301, Government backing let [???] and [???] dominate mortgage underwriting.," Государственная поддержка позволяет ""[n]"" и ""[n]"" доминировать в сфере ипотечного кредитования."," Wsparcie rządowe pozwoliło ""[n]"" i ""[n]"" zdominować gwarantowanie kredytów hipotecznych."," Дзяржаўная падтрымка дазваляе ""[n]"" і ""[n]"" дамінаваць у іпатэчным андеррайтинге."," Державна підтримка дозволяє ""[n]"" і ""[n]"" домінувати в андеррайтингу іпотеки."," Правителствената подкрепа позволява на ""[m]"" и ""[m]"" да доминират в поемането на ипотечни кредити."," Državna podpora omogoča, da [m] in [m] prevladujeta pri hipotekarnem zavarovanju.", Vládní podpora nechala [m] a [m] dominovat v upisování hypoték.
302, Companies such as [???] and [???] are the leading manufacturers today.," Такие компании, как [pl] и [pl], являются ведущими производителями на сегодняшний день.", Firmy takie jak [pl] i [pl] są dziś wiodącymi producentami.," Такія кампаніі, як [pl] і [pl] сёння з'яўляюцца вядучымі вытворцамі."," Такі компанії, як [pl] та [pl] сьогодні є провідними виробниками.", Компании като [pl] и [pl] са водещите производители днес.," Podjetja, kot sta [pl] in [pl], so danes vodilni proizvajalci.", Společnosti jako [pl] a [pl] jsou dnes předními výrobci.
303," Since 1991 the [???] has passed a number of directives on copyright, designed to harmonise copyright laws in member states in certain key areas, such as computer programmes, databases and the internet."," С 1991 года [m] принял ряд директив по авторскому праву, призванных гармонизировать законы об авторском праве в государствах-членах в определенных ключевых областях, таких как компьютерные программы, базы данных и Интернет."," Od 1991 [m] uchwalił szereg dyrektyw dotyczących praw autorskich, mających na celu harmonizację praw autorskich w państwach członkowskich w pewnych kluczowych obszarach, takich jak programy komputerowe, bazy danych i internet."," З 1991 года [m] прыняў шэраг дырэктыў аб аўтарскім праве, прызначаных для гарманізацыі законаў аб аўтарскім праве ў краінах-членах у некаторых ключавых галінах, такіх як камп'ютэрныя праграмы, базы дадзеных і Інтэрнэт."," З 1991 року [m] прийняв ряд директив щодо авторського права, покликаних гармонізувати закони про авторське право в країнах-членах у певних ключових сферах, таких як комп’ютерні програми, бази даних та Інтернет."," От 1991 г. [m] прие редица директиви относно авторското право, предназначени да хармонизират законите за авторското право в държавите-членки в определени ключови области, като компютърни програми, бази данни и интернет."," Od leta 1991 je [m] sprejel številne direktive o avtorskih pravicah, katerih namen je uskladiti zakone o avtorskih pravicah v državah članicah na določenih ključnih področjih, kot so računalniški programi, baze podatkov in internet."," Od roku 1991 [m] schválil řadu směrnic o autorském právu, jejichž cílem je harmonizovat zákony o autorských právech v členských státech v určitých klíčových oblastech, jako jsou počítačové programy, databáze a internet."
304," For instance, [???] has extremely rigorous software testing procedures for many operating systems and communication functions."," Например, [m] имеет чрезвычайно строгие процедуры тестирования программного обеспечения для многих операционных систем и коммуникационных функций.", Na przykład [m] ma niezwykle rygorystyczne procedury testowania oprogramowania dla wielu systemów operacyjnych i funkcji komunikacyjnych.," Напрыклад, [m] мае надзвычай строгія працэдуры тэсціравання праграмнага забеспячэння для многіх аперацыйных сістэм і камунікацыйных функцый."," Наприклад, [m] має надзвичайно суворі процедури тестування програмного забезпечення для багатьох операційних систем і комунікаційних функцій."," Например, [m] има изключително строги процедури за тестване на софтуер за много операционни системи и комуникационни функции.", [m] ima na primer izredno stroge postopke testiranja programske opreme za številne operacijske sisteme in komunikacijske funkcije.," Například, [m] má extrémně přísné procedury testování softwaru pro mnoho operačních systémů a komunikačních funkcí."
