,pl,be,uk,ru,bg,sl,cs,en
282,Władywostok,Уладзівасток,Владивосток,Владивосток,Владивосток,Vladivostok,Vladivostok,Vladivostok
283,Ułan Bator,Улан-Батар,Улан-Батор,Улан-Батор,Улан Батор,Ulan Bator,Ulánbátar,Ulaanbaatar
284,Walvis Bay,Уолвіш-Бей,Волфіш-Бей,Уолфиш-Бей,Уолфиш Бей,Zaliv kitov,Walvis Bay,Walvis Bay
285,Saloniki,Салонікі,Салоніки,Салоники,Солун,Solun,Soluň,Thessaloniki
286,Florencja,Фларэнцыя,Флоренція,Флоренция,Флоренция,Firence,Florencie,Florence
287,Frankfurt nad Menem,Франкфурт-на-Майне,Франкфурт-на-Майні,Франкфурт-на-Майне,Франкфурт на Майн,Frankfurt ob Majni,Frankfurt nad Mohanem,Frankfurt
288,Freetown,Фрытаўн,Фрітаун,Фритаун,Фрийтаун,Freetown,Freetown,Freetown
289,Chabarowsk,Хабараўск,Хабаровськ,Хабаровск,Хабаровск,Habarovsk,Chabarovsk,Khabarovsk
290,Hanoi,Ханой,Ханой,Ханой,Ханой,Hanoj,Hanoj,Hanoi
291,Harare,Харарэ,Хараре,Хараре,Хараре,Harare,Harare,Harare
292,Chartum,Хартум,Хартум,Хартум,Хартум,Kartum,Chartúm,Khartoum
293,Helsinki,Хельсінкі,Гельсінкі,Хельсинки,Хелзинки,Helsinki,Helsinky,Helsinki
294,Zurych,Цурых,Цюрих,Цюрих,Цюрих,Zürich,Curych,Zürich
295,Szanghaj,Шанхай,Шанхай,Шанхай,Шанхай,Šanghaj,Šanghaj,Shanghai
296,Stuttgart,Штутгарт,Штутгарт,Штутгарт,Щутгарт,Stuttgart,Stuttgart,Stuttgart
297,Edynburg,Эдзінбург,Единбург,Эдинбург,Единбург,Edinburg,Edinburgh,Edinburgh
298,Yaren,Ярэн,Ярен,Ярен,Ярен,Yaren,Yaren,Yaren District
299,Jaunde,Яўндэ,Яунде,Яунде,Яунде,Yaoundé,Yaoundé,Yaoundé
300,Tyraspol,Ціраспаль,Тирасполь,Тирасполь,Тираспол,Tiraspol,Tiraspol,Tiraspol
301,Sewastopol,Севастопаль,Севастополь,Севастополь,Севастопол,Sevastopol,Sevastopol,Sevastopol
302,Tomsk,Томск,Томськ,Томск,Томск,Tomsk,Tomsk,Tomsk
303,Samara,Самара,Самара,Самара,Самара,Samara,Samara,Samara
304,Omsk,Омск,Омськ,Омск,Омск,Omsk,Omsk,Omsk
305,Pietropawłowsk Kamczacki,Петрапаўлаўск-Камчацкі,Петропавловськ-Камчатський,Петропавловск-Камчатский,Петропавловск Камчатски,Petropavlovsk-Kamčatski,Petropavlovsk-Kamčatskij,Petropavlovsk-Kamchatsky
306,Miasto,Горад,Місто,Город,Град,Mesto,Město,City
307,Tobolsk,Табольск,Тобольськ,Тобольск,Тоболск,Tobolsk,Tobolsk,Tobolsk
308,Szlachta w Polsce,Шляхта,Польська шляхта,Шляхта,Шляхта,Šlahta,Szlachta,Szlachta
309,Smoleńsk,Смаленск,Смоленськ,Смоленск,Смоленск,Smolensk,Smolensk,Smolensk
310,Novo Mesto,Нова-Места,Ново Место,Ново-Место,Ново место,Novo mesto,Novo mesto,Novo Mesto
311,Stolica,Сталіца,Столиця,Столица,Столица,Glavno mesto,Hlavní město,Capital city
312,Rzeczpospolita Obojga Narodów,Рэч Паспалітая,Річ Посполита,Речь Посполитая,Жечпосполита,Republika obeh narodov,Polsko-litevská unie,Polish–Lithuanian Commonwealth
313,Język polski,Польская мова,Польська мова,Польский язык,Полски език,Poljščina,Polština,Polish language
314,Wielkie Księstwo Litewskie,Вялікае Княства Літоўскае,Велике князівство Литовське,Великое княжество Литовское,Велико литовско княжество,Velika litovska kneževina,Litevské velkoknížectví,Grand Duchy of Lithuania
315,St. Petersburg,Сент-Пітэрсберг,Сент-Пітерсберг,Сент-Питерсберг,Сейнт Питърсбърг,Saint Petersburg,St. Petersburg,St. Petersburg
316,Szkocja,Шатландыя,Шотландія,Шотландия,Шотландия,Škotska,Skotsko,Scotland
317,Filadelfia,Філадэльфія,Філадельфія,Филадельфия,Филаделфия,Filadelfija,Filadelfie,Philadelphia
318,Puebla,Эроіка-Пуэбла-дэ-Сарагоса,Пуебла,Пуэбла-де-Сарагоса,Пуебла,Puebla de Zaragoza,Puebla,Puebla
319,Półwysep Krymski,Крым,Крим,Крым,Крим,Krim,Krym,Crimea
320,Detroit,Дэтройт,Детройт,Детройт,Детройт,Detroit,Detroit,Detroit
321,Cchinwali,Цхінвалі,Цхінвалі,Цхинвал,Цхинвали,Chinval,Cchinvali,Tskhinvali
322,Zhengzhou,Чжэнчжоу,Чженчжоу,Чжэнчжоу,Джънджоу,Džengdžov,Čeng-čou,Zhengzhou
323,Port-au-Prince,Порт-о-Прэнс,Порт-о-Пренс,Порт-о-Пренс,Порт о Пренс,Port-au-Prince,Port-au-Prince,Port-au-Prince
324,Chorwacja,Харватыя,Хорватія,Хорватия,Хърватия,Hrvaška,Chorvatsko,Croatia
325,Bułgaria,Балгарыя,Болгарія,Болгария,България,Bolgarija,Bulharsko,Bulgaria
326,Thorshavn,Торсхаўн,Торсгавн,Торсхавн,Торсхавн,Tórshavn,Tórshavn,Tórshavn
327,Związek Socjalistycznych Republik Radzieckich,СССР,Союз Радянських Соціалістичних Республік,Союз Советских Социалистических Республик,Съюз на съветските социалистически републики,Sovjetska zveza,Sovětský svaz,Soviet Union
328,Rusini karpaccy,Русіны,Русини,Русины,Русини,Rusini,Rusíni,Rusyns
329,Jamajka,Ямайка,Ямайка,Ямайка,Ямайка,Jamajka,Jamajka,Jamaica
330,Łotwa,Латвія,Латвія,Латвия,Латвия,Latvija,Lotyšsko,Latvia
331,Andora,Андора,Андорра,Андорра,Андора,Andora,Andorra,Andorra
332,Baranowicze,Баранавічы,Барановичі,Барановичи,Барановичи,Baranaviči,Baranavičy,Baranavichy
333,Uljanowsk,Ульянаўск,Ульяновськ,Ульяновск,Уляновск,Uljanovsk,Uljanovsk,Ulyanovsk
334,Białystok,Беласток,Білосток,Белосток,Бялисток,Białystok,Bělostok,Białystok
335,Hajnówka,Гайнаўка,Гайнівка,Хайнувка,Хайнувка,Hajnówka,Hajnówka,Hajnówka
336,Wenecja,Венецыя,Венеція,Венеция,Венеция,Benetke,Benátky,Venice
337,Ameryka Południowa,Паўднёвая Амерыка,Південна Америка,Южная Америка,Южна Америка,Južna Amerika,Jižní Amerika,South America
338,Połock,Полацк,Полоцьк,Полоцк,Полоцк,Polock,Polock,Polotsk
339,Unia brzeska,Берасцейская унія,Берестейська унія,Брестская уния,Брестка уния,Brestlitovska unija,Brestlitevská unie,Union of Brest
340,Polesie,Палессе,Полісся,Полесье,Полесия,Polesje,Polesí,Polesia
341,Starożytny Egipt,Старажытны Егіпет,Стародавній Єгипет,Древний Египет,Древен Египет,Stari Egipt,Starověký Egypt,Ancient Egypt
342,Saint Lucia,Сен-Люсія,Сент-Люсія,Сент-Люсия,Сейнт Лусия,Sveta Lucija,Svatá Lucie,Saint Lucia
343,Kłajpeda,Мемель,Клайпеда,Клайпеда,Клайпеда,Klajpeda,Klaipėda,Klaipėda
344,Sahara,Сахара,Сахара,Сахара,Сахара,Sahara,Sahara,Sahara
345,Pylos,Пілас,Пілос,Пилос,Пилос,Pilos,Pylos,Pylos
346,Słowenia,Славенія,Словенія,Словения,Словения,Slovenija,Slovinsko,Slovenia
347,Prypeć,Прыпяць,Прип'ять,Припять,Припят,Pripet,Pripjať,Pripyat
348,Murmańsk,Мурманск,Мурманськ,Мурманск,Мурманск,Murmansk,Murmansk,Murmansk
349,Briańsk,Бранск,Брянськ,Брянск,Брянск,Brjansk,Brjansk,Bryansk
350,Ushuaia,Ушуая,Усвая,Ушуая,Ушуая,Ushuaia,Ushuaia,Ushuaia
351,Perm,Перм,Перм,Пермь,Перм,Perm,Perm,Perm
352,Narwa,Нарва,Нарва,Нарва,Нарва,Narva,Narva,Narva
353,Estonia,Эстонія,Естонія,Эстония,Естония,Estonija,Estonsko,Estonia
354,Węgry,Венгрыя,Угорщина,Венгрия,Унгария,Madžarska,Maďarsko,Hungary
355,Słowacja,Славакія,Словаччина,Словакия,Словакия,Slovaška,Slovensko,Slovakia
356,Finlandia,Фінляндыя,Фінляндія,Финляндия,Финландия,Finska,Finsko,Finland
357,Mołdawia,Малдова,Молдова,Молдавия,Молдова,Moldavija,Moldavsko,Moldova
358,Troki,Тракай,Тракай,Тракай,Тракай,Trakai,Trakai,Trakai
359,Ukraińcy,Украінцы,Українці,Украинцы,Украинци,Ukrajinci,Ukrajinci,Ukrainians
360,Bielce,Бэлць,Бєльці,Бельцы,Белци,Bălți,Bălți,Bălți
361,Portugalia,Партугалія,Португалія,Португалия,Португалия,Portugalska,Portugalsko,Portugal
362,Irlandia,Ірландыя,Ірландія,Ирландия,Ирландия,Irska,Irsko,Republic of Ireland
363,Nowosybirsk,Новасібірск,Новосибірськ,Новосибирск,Новосибирск,Novosibirsk,Novosibirsk,Novosibirsk
364,Cypr,Кіпр,Кіпр,Республика Кипр,Република Кипър,Ciper,Kypr,Cyprus
365,Kurytyba,Курытыба,Куритиба,Куритиба,Куритиба,Curitiba,Curitiba,Curitiba
366,Namibia,Намібія,Намібія,Намибия,Намибия,Namibija,Namibie,Namibia
367,Damaszek,Дамаск,Дамаск,Дамаск,Дамаск,Damask,Damašek,Damascus
368,Kazachstan,Казахстан,Казахстан,Казахстан,Казахстан,Kazahstan,Kazachstán,Kazakhstan
369,Lwów,Львоў,Львів,Львов,Лвов,Lvov,Lvov,Lviv
370,Armenia,Арменія,Вірменія,Армения,Армения,Armenija,Arménie,Armenia
371,Zatoka Bengalska,Бенгальскі заліў,Бенгальська затока,Бенгальский залив,Бенгалски залив,Bengalski zaliv,Bengálský záliv,Bay of Bengal
372,Turkmenistan,Туркменістан,Туркменістан,Туркмения,Туркменистан,Turkmenistan,Turkmenistán,Turkmenistan
373,Uzbekistan,Узбекістан,Узбекистан,Узбекистан,Узбекистан,Uzbekistan,Uzbekistán,Uzbekistan
374,Kirgistan,Кыргызстан,Киргизстан,Киргизия,Киргизстан,Kirgizistan,Kyrgyzstán,Kyrgyzstan
375,Tadżykistan,Таджыкістан,Таджикистан,Таджикистан,Таджикистан,Tadžikistan,Tádžikistán,Tajikistan
376,Murom,Мурам,Муром,Муром,Муром,Murom,Murom,Murom
377,Nowogród Wielki,Вялікі Ноўгарад,Великий Новгород,Великий Новгород,Велики Новгород,Veliki Novgorod,Veliký Novgorod,Veliky Novgorod
378,Anadyr,Анадыр,Анадир,Анадырь,Анадир,Anadir,Anadyr,Anadyr
379,Argun,Аргун,Аргун,Аргун,Аргун,Argun,Argun,Argun
380,Wrocław,Уроцлаў,Вроцлав,Вроцлав,Вроцлав,Vroclav,Vratislav,Wrocław
381,Ottawa,Атава,Оттава,Оттава,Отава,Ottawa,Ottawa,Ottawa
382,Gatczyna,Гатчына,Гатчина,Гатчина,Гатчина,Gatčina,Gatčina,Gatchina
383,Naypyidaw,Найп’іда,Найп'їдо,Нейпьидо,Найпидо,Nepjido,Neipyijto,Naypyidaw
384,Ułan Ude,Улан-Удэ,Улан-Уде,Улан-Удэ,Улан Уде,Ulan-Ude,Ulan-Ude,Ulan-Ude
385,Palmyra,Пальміра,Пальміра,Пальмира,Палмира,Palmira,Palmýra,Palmyra
386,Krasnojarsk,Краснаярск,Красноярськ,Красноярск,Красноярск,Krasnojarsk,Krasnojarsk,Krasnoyarsk
387,Czernogorsk,Чарнагорск,Чорногорськ,Черногорск,Черногорск,Černogorsk,Černogorsk,Chernogorsk
388,Sajanogorsk,Саянагорск,Саяногорськ,Саяногорск,Саяногорск,Sajanogorsk,Sajanogorsk,Sayanogorsk
389,Abaza,Абаза,Абаза,Абаза,Абаза,Abaza,Abaza,Abaza
390,Abakan,Абакан,Абакан,Абакан,Абакан,Abakan,Abakan,Abakan
391,Iszym,Ішым,Ішим,Ишим,Ишим,Išim,Išim,Ishim
392,Tiumeń,Цюмень,Тюмень,Тюмень,Тюмен,Tjumen,Ťumeň,Tyumen
393,Chanty-Mansyjsk,Ханты-Мансійск,Ханти-Мансійськ,Ханты-Мансийск,Ханти-Мансийск,Hanti-Mansijsk,Chanty-Mansijsk,Khanty-Mansiysk
394,Salechard,Салехард,Салехард,Салехард,Салехард,Salehard,Salechard,Salekhard
395,Bierdsk,Бердск,Бердськ,Бердск,Бердск,Berdsk,Berdsk,Berdsk
396,Iskitim,Іскіцім,Іскітим,Искитим,Искитим,Iskitim,Iskitim,Iskitim
397,Kujbyszew,Куйбышаў,Куйбишев,Куйбышев,Куйбишев,Kujbišev,Kujbyšev,Samara
398,Suchumi,Сухумі,Сухумі,Сухум,Сухуми,Akva,Suchumi,Sukhumi
399,Gagra,Гагра,Гагра,Гагра,Гагра,Gagra,Gagra,Gagra
400,Bijsk,Бійск,Бійськ,Бийск,Бийск,Bijsk,Bijsk,Biysk
401,Barnauł,Барнаул,Барнаул,Барнаул,Барнаул,Barnaul,Barnaul,Barnaul
402,Trydent,Трэнта,Тренто,Тренто,Тренто,Trento,Trento,Trento
403,Galicja,Галічына,Галичина,Галиция,Галиция,Galicija,Halič,Galicia
404,Uetersen,Ютэрзен,Ютерзен,Итерзен,Ютерзен,Uetersen,Uetersen,Uetersen
405,Sumer,Шумер,Шумер,Шумер,Шумер,Sumerija,Sumer,Sumer
406,Królestwo Partów,Парфянскае царства,Парфянське царство,Парфянское царство,Партско царство,Partsko cesarstvo,Parthská říše,Parthian Empire
407,Związek Achajski,Ахейскі саюз,Ахейський союз,Ахейский союз,Ахейски съюз,Ahajska zveza,Achajský spolek,Achaean League
408,Asyria,Асірыя,Ассирія,Ассирия,Асирия,Asirija,Asýrie,Assyria
409,Starożytna Macedonia,Старажытная Македонія,Стародавня Македонія,Древняя Македония,Древна Македония,Makedonija,Makedonie,Macedonia
410,Bendery,Бендэр,Бендери,Бендеры,Бендери,Bender,Tighina,Bender
411,Mali,Малі,Малі,Мали,Мали,Mali,Mali,Mali
412,Republika Zielonego Przylądka,Каба-Вердэ,Кабо-Верде,Кабо-Верде,Кабо Верде,Zelenortski otoki,Kapverdy,Cape Verde
413,Ekwador,Эквадор,Еквадор,Эквадор,Еквадор,Ekvador,Ekvádor,Ecuador
414,Fenicja,Фінікія,Фінікія,Финикия,Финикия,Fenicija,Fénicie,Phoenicia
415,Imperium Sasanidów,Дзяржава Сасанідаў,Держава Сасанідів,Государство Сасанидов,Сасанидска империя,Sasanidsko cesarstvo,Sásánovská říše,Sasanian Empire
416,Chaldejczycy,Халдзеі,Халдеї,Халдеи,Халдейска династия,Kaldeja,Chaldea,Neo-Babylonian Empire
417,Dniestr,Днестр,Дністер,Днестр,Днестър,Dnester,Dněstr,Dniester
418,Akad,Акадэ,Аккад,Аккад,Акад,Akad,Akkad,Akkadian Empire
419,Baktria,Бактрыя,Бактрія,Бактрия,Бактрия,Baktrija,Baktrie,Bactria
420,Sofia Rotaru,Сафія Міхайлаўна Ратару,Ротару Софія Михайлівна,"Ротару, София Михайловна",София Ротару,Sofia Rotaru,Sofia Rotaru,Sofia Rotaru
421,Taras Szewczenko,Тарас Рыгоравіч Шаўчэнка,Шевченко Тарас Григорович,"Шевченко, Тарас Григорьевич",Тарас Шевченко,Taras Ševčenko,Taras Ševčenko,Taras Shevchenko
422,Złota Orda,Залатая Арда,Золота Орда,Золотая Орда,Златна орда,Zlata horda,Zlatá horda,Golden Horde
423,Iwan Mazepa,Іван Мазепа,Іван Мазепа,"Мазепа, Иван Степанович",Иван Мазепа,Ivan Mazepa,Ivan Mazepa,Ivan Mazepa
424,Hebron,Хеўрон,Хеврон,Хеврон,Хеброн,Hebron,Hebron,Hebron
425,Półwysep Arabski,Аравія,Аравійський півострів,Аравийский полуостров,Арабски полуостров,Arabski polotok,Arabský poloostrov,Arabian Peninsula
426,Hrywna,Украінская грыўня,Гривня,Украинская гривна,Украинска гривна,Ukrajinska grivna,Ukrajinská hřivna,Ukrainian hryvnia
427,Ukraińska Republika Ludowa,Украінская Народная Рэспубліка,Українська Народна Республіка,Украинская Народная Республика,Украинска народна република,Ukrajinska ljudska republika,Ukrajinská lidová republika,Ukrainian People's Republic
428,Inflanty,Лівонія,Лівонія,Ливония,Ливония,Livonija,Livonsko,Livonia
429,Księstwo Kurlandii i Semigalii,Курляндскае і Земгальскае герцагства,Герцогство Курляндії і Семигалії,Курляндия и Семигалия,Курландия и Семигалия,Vojvodstvo Kurlandija in Semgalija,Kuronské a zemgalské vévodství,Duchy of Courland and Semigallia
430,Nowy Orlean,Новы Арлеан,Новий Орлеан,Новый Орлеан,Ню Орлиънс,New Orleans,New Orleans,New Orleans
431,Kowno,Каўнас,Каунас,Каунас,Каунас,Kaunas,Kaunas,Kaunas
432,Nauru,Науру,Науру,Науру,Науру,Nauru,Nauru,Nauru
433,Czelabińsk,Чалябінск,Челябінськ,Челябинск,Челябинск,Čeljabinsk,Čeljabinsk,Chelyabinsk
434,Osetia Południowa,Паўднёвая Асеція,Південна Осетія,Южная Осетия,Южна Осетия,Južna Osetija,Jižní Osetie,South Ossetia
435,Troja,Троя,Троя,Троя,Троя,Troja,Trója,Troy
436,Majkop,Майкоп,Майкоп,Майкоп,Майкоп,Majkop,Majkop,Maykop
437,Derbent,Дзербент,Дербент,Дербент,Дербент,Derbent,Derbent,Derbent
438,Machaczkała,Махачкала,Махачкала,Махачкала,Махачкала,Mahačkala,Machačkala,Makhachkala
439,Księstwo Aten,Герцагства Афінскае,Афінське герцогство,Афинское герцогство,Атинско херцогство,Atenska vojvodina,Athénské vévodství,Duchy of Athens
440,Królestwo Tesaloniki,Каралеўства Фесалонікі,Королівство Фессалоніки,Королевство Фессалоники,Солунско кралство,Solunsko kraljestvo,Soluňské království,Kingdom of Thessalonica
441,Patras,Патры,Патри,Патры,Патра,Patras,Patra,Patras
442,Larisa,"Ларыса, горад",Лариса,Лариса,Лариса,Larisa,Larisa,Larissa
443,Niniwa,Ніневія,Ніневія,Ниневия,Ниневия,Ninive,Ninive,Nineveh
444,Babilon,Вавілон,Вавилон,Вавилон,Вавилон,Babilon,Babylón,Babylon
445,Nowy Sad,Нові-Сад,Новий Сад,Нови-Сад,Нови Сад,Novi Sad,Novi Sad,Novi Sad
446,Charków,Харкаў,Харків,Харьков,Харков,Harkov,Charkov,Kharkiv
447,Prisztina,Прышціна,Приштина,Приштина,Прищина,Priština,Priština,Pristina
448,Užice,Ужыце,Ужиці,Ужице,Ужице,Užice,Užice,Užice
449,Podgorica,Падгорыца,Подгориця,Подгорица,Подгорица,Podgorica,Podgorica,Podgorica
450,Kragujevac,Крагуевац,Крагуєваць,Крагуевац,Крагуевац,Kragujevac,Kragujevac,Kragujevac
451,Państwo wielkomorawskie,Вялікая Маравія,Велика Моравія,Великая Моравия,Великоморавия,Velikomoravska,Velkomoravská říše,Great Moravia
452,Nisz,Ніш,Ниш,Ниш,Ниш,Niš,Niš,Niš
453,Bor,Бор,Бор,Бор,Бор,Bor,Bor,Pine
454,Sombor,Сомбар,Сомбор,Сомбор,Сомбор,Sombor,Sombor,Sombor
455,Subotica,Субоціца,Суботиця,Суботица,Суботица,Subotica,Subotica,Subotica
456,Leskovac,Лескавац,Лесковац,Лесковац,Лесковац,Leskovac,Leskovac,Leskovac
457,Maribor,Марыбар,Марибор,Марибор,Марибор,Maribor,Maribor,Maribor
458,Celje,Цэле,Целє,Целе,Целе,Celje,Celje,Celje
459,Kranj,Крань,Крань,Крань,Кран,Kranj,Kranj,Crane
460,Velenje,Вяленье,Веленє,Веленье,Велене,Velenje,Velenje,Velenje
461,Koper,Копер,Копер,Копер,Копер,Koper,Koper,Koper
462,Ptuj,Птуй,Птуй,Птуй,Птуй,Ptuj,Ptuj,Ptuj
463,Nova Gorica,Нова-Горыца,Нова Гориця,Нова-Горица,Нова Горица,Nova Gorica,Nova Gorica,Nova Gorica
464,Psków,Пскоў,Псков,Псков,Псков,Pskov,Pskov,Pskov
465,Orzeł,Арол,Орел,Орёл,Орел,Orjol,Orel,Eagle
466,Lipieck,Ліпецк,Липецьк,Липецк,Липецк,Lipeck,Lipeck,Lipetsk
467,Rijeka,Рыека,Рієка,Риека,Риека,Reka,Rijeka,Rijeka
468,Zadar,Задар,Задар,Задар,Задар,Zadar,Zadar,Zadar
469,Karantania,Карантанія,Карантанія,Карантания,Карантания,Karantanija,Karantánie,Carantania
470,Reims,Рэймс,Реймс,Реймс,Реймс,Reims,Remeš,Reims
471,Andrijevica,Андрыевіца,Андрієвиця,Андриевица,Андриевица,Andrijevica,Andrijevica,Andrijevica
472,Wyżyna Środkoworosyjska,Сярэднярускае ўзвышша,Середньоросійська височина,Среднерусская возвышенность,Средноруско възвишение,Srednjerusko višavje,Středoruská vysočina,Central Russian Upland
473,Wyspy Brytyjskie,Брытанскія астравы,Британські острови,Британские острова,Британски острови,Britansko otočje,Britské ostrovy,British Isles
474,Wyspy Normandzkie,Нармандскія астравы,Нормандські острови,Нормандские острова,Нормандски острови,Kanalski otoki,Normanské ostrovy,Channel Islands
475,Jersey,Джэрсі,Джерсі,Джерси,Джърси,Jersey,Jersey,Jersey
476,Gibraltar,Гібралтар,Гібралтар,Гибралтар,Гибралтар,Gibraltar,Gibraltar,Gibraltar
477,Ziemia Franciszka Józefa,Зямля Франца-Іосіфа,Земля Франца-Йосифа,Земля Франца-Иосифа,Земя на Франц Йосиф,Dežela Franca Jožefa,Země Františka Josefa,Franz Josef Land
478,Rotterdam,Ратэрдам,Роттердам,Роттердам,Ротердам,Rotterdam,Rotterdam,Rotterdam
479,Haga,Гаага,Гаага,Гаага,Хага,Haag,Haag,The Hague
480,Breda,Брэда,Бреда,Бреда,Бреда,Breda,Breda,Breda
481,Leeuwarden,Леўвардэн,Леуварден,Леуварден,Леуварден,Leeuwarden,Leeuwarden,Leeuwarden
482,Żeleznogorsk,Жалезнагорск,Желєзногорськ,Железногорск,Железногорск,Železnogorsk,Železnogorsk,Zheleznogorsk
483,Rylsk,Рыльск,Рильськ,Рыльск,Рилск,Rilsk,Rylsk,Rylsk
484,Kursk,Курск,Курськ,Курск,Курск,Kursk,Kursk,Kursk
485,Liverpool,Ліверпуль,Ліверпуль,Ливерпуль,Ливърпул,Liverpool,Liverpool,Liverpool
486,Manchester,Манчэстэр,Манчестер,Манчестер,Манчестър,Manchester,Manchester,Manchester
487,Arnhem,Арнэм,Арнем,Арнем,Арнем,Arnhem,Arnhem,Arnhem
488,Haarlem,Харлем,Гарлем,Харлем,Харлем,Haarlem,Haarlem,Haarlem
489,Nijmegen,Неймеген,Неймеген,Неймеген,Неймеген,Nijmegen,Nijmegen,Nijmegen
490,Apeldoorn,Апелдорн,Апелдорн,Апелдорн,Апелдорн,Apeldoorn,Apeldoorn,Apeldoorn
491,Maastricht,Маастрыхт,Маастрихт,Маастрихт,Маастрихт,Maastricht,Maastricht,Maastricht
492,Český Krumlov,Чэскі-Крумлаў,Чеський Крумлов,Чески-Крумлов,Чески Крумлов,Český Krumlov,Český Krumlov,Český Krumlov
493,Zlin,Злін,Злін,Злин,Злин,Zlín,Zlín,Zlín
494,Oman,Аман,Оман,Оман,Оман,Oman,Omán,Oman
495,Angola,Ангола,Ангола,Ангола,Ангола,Angola,Angola,Angola
496,Antigua i Barbuda,Антыгуа і Барбуда,Антигуа і Барбуда,Антигуа и Барбуда,Антигуа и Барбуда,Antigva in Barbuda,Antigua a Barbuda,Antigua and Barbuda
497,Bahrajn,Бахрэйн,Бахрейн,Бахрейн,Бахрейн,Bahrajn,Bahrajn,Bahrain
498,Botswana,Батсвана,Ботсвана,Ботсвана,Ботсвана,Bocvana,Botswana,Botswana
499,Burkina Faso,Буркіна-Фасо,Буркіна-Фасо,Буркина-Фасо,Буркина Фасо,Burkina Faso,Burkina Faso,Burkina Faso
500,Barbados,Барбадас,Барбадос,Барбадос,Барбадос,Barbados,Barbados,Barbados
501,Burundi,Бурундзі,Бурунді,Бурунди,Бурунди,Burundi,Burundi,Burundi
502,Benin,Бенін,Бенін,Бенин,Бенин,Benin,Benin,Benin
503,Haiti,Гаіці,Гаїті,Республика Гаити,Хаити,Haiti,Haiti,Haiti
504,Gabon,Габон,Габон,Габон,Габон,Gabon,Gabon,Gabon
505,Porto,Порту,Порту,Порту,Порто,Porto,Porto,Porto
506,Timor Wschodni,Усходні Тымор,Східний Тимор,Восточный Тимор,Източен Тимор,Vzhodni Timor,Východní Timor,East Timor
507,Antiochia,Антак’я,Антак'я,Антакья,Антакия,Antakya,Antakya,Antakya
508,Jemen,Емен,Ємен,Йемен,Йемен,Jemen,Jemen,Yemen
509,Łódź,Лодзь,Лодзь,Лодзь,Лодз,Lodž,Lodž,Łódź
510,Szczecin,Шчэцін,Щецин,Щецин,Шчечин,Szczecin,Štětín,Szczecin
511,Jaworzno,Явожна,Явожно,Явожно,Явожно,Jaworzno,Jaworzno,Jaworzno
512,Zielona Góra,Зялёна Гура,Зелена Гура,Зелёна-Гура,Жельона Гура,Zielona Góra,Zielona Góra,Zielona Góra
513,Katar,Катар,Катар,Катар,Катар,Katar,Katar,Qatar
514,Cesarstwo Trapezuntu,Трапезундская імперыя,Трапезундська імперія,Трапезундская империя,Трапезундска империя,Trapezundsko cesarstvo,Trapezuntské císařství,Empire of Trebizond
515,Bizancjum,Візантый,Візантій,Византий,Византион,Bizanc,Byzantion,Byzantium
516,Piza,Піза,Піза,Пиза,Пиза,Pisa,Pisa,Pisa
517,Kuwejt,Кувейт,Кувейт,Кувейт,Кувейт,Kuvajt,Kuvajt,Kuwait
518,Woroneż,Варонеж,Воронеж,Воронеж,Воронеж,Voronež,Voroněž,Voronezh
519,Astrachań,Астрахань,Астрахань,Астрахань,Астрахан,Astrahan,Astrachaň,Astrakhan
520,Wołgograd,Валгаград,Волгоград,Волгоград,Волгоград,Volgograd,Volgograd,Volgograd
521,Krasnodar,Краснадар,Краснодар,Краснодар,Краснодар,Krasnodar,Krasnodar,Krasnodar
522,Soczi,Сочы,Сочі,Сочи,Сочи,Soči,Soči,Sochi
523,Royan,Руаян,Руаян,Руайан,Роаян,Royan,Royan,Royan
524,Sicz Zaporoska,Запарожская Сеч,Запорозька Січ,Запорожская Сечь,Запорожка Сеч,Zaporoška Seč,Záporožská Sič,Zaporozhian Sich
525,Azow,Азоў,Азов,Азов,Азов,Azov,Azov,Azov
526,Toruń,Торунь,Торунь,Торунь,Торун,Torunj,Toruň,Toruń
527,Tajpej,Тайбэй,Тайбей,Тайбэй,Тайпе,Tajpej,Tchaj-pej,Taipei
528,Taganrog,Таганрог,Таганрог,Таганрог,Таганрог,Taganrog,Taganrog,Taganrog
529,Rostów nad Donem,Растоў-на-Доне,Ростов-на-Дону,Ростов-на-Дону,Ростов на Дон,Rostov na Donu,Rostov na Donu,Rostov-on-Don
530,Zgierz,Згеж,Згеж,Згеж,Згеж,Zgierz,Zgierz,Zgierz
531,Hetman,Гетман,Гетьман,Гетман,Хетман,Hetman,Hejtman,Hetman
532,Hospodarstwo Mołdawskie,Малдаўскае княства,Молдавське князівство,Молдавское княжество,Княжество Молдова,Kneževina Moldavija,Moldavské knížectví,Principality of Moldavia
533,Saratów,Саратаў,Саратов,Саратов,Саратов,Saratov,Saratov,Saratov
534,Wotkińsk,Воткінск,Воткінськ,Воткинск,Воткинск,Votkinsk,Votkinsk,Votkinsk
535,Sarańsk,Саранск,Саранськ,Саранск,Саранск,Saransk,Saransk,Saransk
536,Andora,Андора-ла-Велья,Андорра-ла-Велья,Андорра-ла-Велья,Андора ла Веля,Andorra la Vella,Andorra la Vella,Andorra la Vella
537,Delhi,Дэлі,Делі,Дели,Делхи,Delhi,Dillí,Delhi
538,Kazań,Казань,Казань,Казань,Казан,Kazan,Kazaň,Kazan
