,pl,be,uk,ru,bg,sl,cs,en
521,[???] znajduje się na wysokości 615 m n.p.m.,[???] знаходзіцца на вышыні 615 метраў над узроўнем мора.,[???] знаходиться на висоті 615 метрів над рівнем моря.,[???] находится на высоте 615 метров над уровнем моря.,[???] се намира на 615 метра надморска височина.,[???] se nahaja na nadmorski višini 615 metrov.,[???] se nachází v nadmořské výšce 615 metrů nad mořem.,[???] is located at an elevation of 615 meters above sea level.
522,[???] jest bliźniakiem z:,[???] з'яўляецца пабрацімам:,[???] є побратимом із:,[???] является побратимом с:,[???] е побратимен с:,[???] je pobrateno z:,[???] je spojený s:,[???] is twinned with:
523,[???] uczestniczy w partnerstwie miast w celu wspierania dobrych stosunków międzynarodowych.,"[???] удзельнічае ў пабрацімстве гарадоў, каб спрыяць добрым міжнародным адносінам.",[???] бере участь у побратимстві міст з метою розвитку добрих міжнародних відносин.,[???] участвует в создании городов-побратимов для развития хороших международных отношений.,[???] участва в побратимяване на градове за насърчаване на добрите международни отношения.,[???] sodeluje pri pobratenju mest za spodbujanje dobrih mednarodnih odnosov.,"[???] se účastní partnerství měst, aby podpořilo dobré mezinárodní vztahy.",[???] participates in town twinning to foster good international relations.
524,"Niektóre źródła podają, że [???] byli ciężkimi słabszymi.","Некаторыя крыніцы кажуць, што [???] былі цяжкімі аутсайдэрамі.","Деякі джерела кажуть, що [???] були важкими аутсайдерами.","Некоторые источники говорят, что [???] были аутсайдерами.","Някои източници казват, че [???] са били тежки аутсайдери.","Nekateri viri pravijo, da so bili [???] težki podložniki.","Některé zdroje říkají, že [???] byli těžcí smolaři.",Some sources say [???] were heavy underdogs.
525,[???] jest obecnie w trakcie realizacji wartego miliard dolarów planu odbudowy szkół miejskich.,[???] зараз знаходзіцца ў працэсе рэканструкцыі гарадской школы коштам 1 мільярд долараў.,[???] наразі перебуває в процесі реконструкції міської школи вартістю 1 мільярд доларів.,[???] в настоящее время находится в процессе реализации плана реконструкции городской школы стоимостью 1 миллиард долларов.,[???] в момента е в процес на план за възстановяване на градско училище за 1 милиард долара.,[???] je trenutno v postopku načrta za obnovo mestnih šol v vrednosti 1 milijardo dolarjev.,[???] je v současné době v procesu přestavby městských škol v hodnotě 1 miliardy dolarů.,[???] is currently in the process of a$ 1 billion city school rebuilding plan.
526,[???] stał się również centrum branży windykacyjnej.,[???] таксама стаў цэнтрам індустрыі спагнання даўгоў.,[???] також став центром індустрії стягнення боргів.,[???] также стал центром индустрии взыскания долгов.,[???] също се превърна в център на индустрията за събиране на дългове.,[???] je postal tudi središče industrije izterjave dolgov.,[???] se také stal centrem průmyslu vymáhání pohledávek.,[???] has also become a hub of the debt collection industry.
527,"W rzeczywistości [???] ma ponad 20 parków, z których wiele jest dostępnych z dowolnej części miasta.","Фактычна, [???] мае больш за 20 паркаў, да некалькіх можна дабрацца з любой часткі горада.","Насправді, [???] має понад 20 парків, кілька з яких доступні з будь-якої частини міста.","На самом деле, [???] насчитывает более 20 парков, многие из которых доступны из любой части города.","Всъщност [???] има повече от 20 парка, като множество от тях са достъпни от всяка част на града.","Pravzaprav ima [???] več kot 20 parkov, od katerih je več dostopnih iz katerega koli dela mesta.","Ve skutečnosti má [???] více než 20 parků, z nichž několik je přístupných z kterékoli části města.","In fact, [???] has more than 20 parks with multiple ones being accessible from any part of the city."
528,"[???] ma kilka specjalistycznych sklepów spożywczych/importowych w starych dzielnicach etnicznych i jest domem dla eklektycznej kolekcji kawiarni i restauracji, które serwują przygodowe, kosmopolityczne potrawy.","[???] мае некалькі спецыялізаваных імпартных/прадуктовых магазінаў у старых этнічных кварталах і з'яўляецца домам для эклектычнай калекцыі кавярняў і рэстаранаў, якія падаюць авантурныя, касмапалітычныя стравы.","[???] має кілька спеціалізованих імпортних/продуктових магазинів у старих етнічних районах, а також є домом для різноманітної колекції кафе та ресторанів, які пропонують пригодницькі космополітичні страви.","В [???] есть несколько специализированных импортных/продуктовых магазинов в старых этнических кварталах, а также эклектичная коллекция кафе и ресторанов, где подают авантюрные космополитические блюда.","[???] има няколко специализирани магазина за внос/хранителни стоки в стари етнически квартали и е дом на еклектична колекция от кафенета и ресторанти, които сервират приключенски, космополитни ястия.","[???] ima več specializiranih uvoznih/živilskih trgovin v starih etničnih soseskah in je dom eklektične zbirke kavarn in restavracij, ki strežejo pustolovske, svetovljanske jedi.","[???] má několik specializovaných obchodů s dovozem/potravinami ve starých etnických čtvrtích a je domovem eklektické sbírky kaváren a restaurací, které podávají dobrodružné, kosmopolitní jídlo.","[???] has several specialty import/grocery stores in old ethnic neighborhoods, and is home to an eclectic collection of cafes and restaurants that serve adventurous, cosmopolitan fare."
529,Ale to nie powstrzymało wszystkich wykształconych [???] od ich czytania.,Але гэта не перашкодзіла ўсім адукаваным [???] прачытаць іх.,Але це не завадило всім освіченим [???] їх прочитати.,Но это не мешало всем образованным [???] читать их.,Но това не попречи на всички образовани [???] да ги прочетат.,"A to ni preprečilo vseh izobraženih [???], da bi jih prebrali.",Ale to nezabránilo všem vzdělaným [???] v jejich čtení.,But that did n't stop all of educated [???] from reading them.
530,"[???] ma około 116160 hektarów (287000 akrów) winnic, 57 apelacji, 10 000 zamków winiarskich i 13 000 plantatorów winorośli.","[???] мае каля 116160 га (287000 акраў) вінаграднікаў, 57 назваў, 10 000 вінаробных замкаў і 13 000 вытворцаў вінаграду.","[???] має близько 116160 га (287000 акрів) виноградників, 57 найменувань, 10 000 виноробних замків і 13 000 виноградарів.","[???] имеет около 116 160 гектаров (287 000 акров) виноградников, 57 наименований, 10 000 винодельческих замков и 13 000 виноградарей.","[???] има около 116160 хектара (287000 акра) лозя, 57 наименования, 10 000 винопроизводителни замъци и 13 000 производители на грозде.","[???] ima približno 116160 hektarjev (287000 hektarjev) vinogradov, 57 apelacij, 10.000 vinorodnih dvorcev in 13.000 pridelovalcev grozdja.","[???] má asi 116160 hektarů (287000 akrů) vinic, 57 apelací, 10 000 vinařských zámků a 13 000 pěstitelů hroznů.","[???] has about 116160 hectares ( 287000 acres ) of vineyards, 57 appellations, 10,000 wine-producing châteaux and 13,000 grape growers."
531,"Z roczną produkcją około 850 milionów butelek [???] produkuje duże ilości wina codziennego, jak również jedne z najdroższych win na świecie.","З гадавым аб'ёмам вытворчасці каля 850 мільёнаў бутэлек [???] вырабляецца вялікая колькасць штодзённага віна, а таксама некаторыя з самых дарагіх вінаў у свеце.","З річним виробництвом приблизно 850 мільйонів пляшок [???] виробляє велику кількість повсякденного вина, а також одні з найдорожчих вин у світі.","С годовым объемом производства около 850 миллионов бутылок [???] производит большое количество повседневного вина, а также одни из самых дорогих вин в мире.","С годишно производство от приблизително 850 милиона бутилки, [???] произвежда големи количества ежедневно вино, както и едни от най-скъпите вина в света.","Z letno proizvodnjo približno 850 milijonov steklenic [???] proizvajajo velike količine vsakdanjega vina, pa tudi nekatera najdražja vina na svetu.",S roční produkcí přibližně 850 milionů lahví [???] produkuje velké množství každodenního vína a také některá z nejdražších vín na světě.,"With an annual production of approximately 850 million bottles, [???] produces large quantities of everyday wine as well as some of the most expensive wines in the world."
532,[???] ma wiele szkół publicznych i prywatnych oferujących studia licencjackie i podyplomowe.,"[???] мае мноства дзяржаўных і прыватных школ, якія прапануюць праграмы бакалаўрыяту і аспірантуры.","[???] має численні державні та приватні школи, які пропонують програми бакалаврату та аспірантури.","[???] имеет множество государственных и частных школ, предлагающих программы бакалавриата и магистратуры.","[???] има множество държавни и частни училища, предлагащи бакалавърски и следдипломни програми.","[???] ima številne javne in zasebne šole, ki ponujajo dodiplomske in podiplomske programe.",[???] má mnoho veřejných a soukromých škol nabízejících bakalářské a postgraduální programy.,[???] has numerous public and private schools offering undergraduate and postgraduate programs.
533,[???] ma wiele opcji zakupów.,[???] мае шмат варыянтаў пакупак.,[???] має багато варіантів покупок.,[???] есть много возможностей для покупок.,[???] има много опции за пазаруване.,[???] ima veliko možnosti nakupovanja.,[???] má mnoho nákupních možností.,[???] has many shopping options.
534,[???] jest ważnym węzłem drogowym i autostradowym.,[???] з'яўляецца важным вузлом дарог і аўтастрад.,[???] — важливий вузол доріг та автомагістралей.,[???] является важным перекрестком дорог и автомагистралей.,[???] е важен пътен и магистрален възел.,[???] je pomembno cestno in avtocestno križišče.,[???] je důležitou silniční a dálniční křižovatkou.,[???] is an important road and motorway junction.
535,[???] jest bliźniakiem z:,[???] з'яўляецца пабрацімам:,[???] є побратимом із:,[???] является побратимом с:,[???] е побратимен с:,[???] je pobrateno z:,[???] je spojený s:,[???] is twinned with:
536,"[???] słynie również z rzemieślników, którzy produkują szeroką gamę rękodzieła, w tym tkaniny i ubrania batik i ikat, rzeźby w drewnie, rzeźby w kamieniu, dzieła malarskie i sztućce.","[???] таксама вядомы сваімі рамеснікамі, якія вырабляюць шырокі спектр вырабаў рамёстваў, у тым ліку тканіны і вопратку батык і ікат, драўляную разьбу, разьбу па камені, жывапіс і срэбра.","[???] також відомий своїми ремісниками, які виробляють широкий спектр ремесел, включаючи батик і ікат тканини та одяг, дерев'яні різьблення, різьблення по каменю, розписи та срібні вироби.","[???] также известен своими ремесленниками, которые производят широкий спектр изделий ручной работы, в том числе ткани и одежду для батика и иката, резьбу по дереву, резьбу по камню, роспись и изделия из серебра.","[???] също е известен със своите занаятчии, които произвеждат огромен набор от занаяти, включително батик и икат плат и дрехи, дърворезби, каменни резби, рисувано изкуство и сребърни прибори.","[???] je znan tudi po svojih obrtnikih, ki izdelujejo široko paleto rokodelskih izdelkov, vključno z batik in ikat tkaninami in oblačili, lesenimi rezbarijami, kamnitimi rezbarijami, poslikanimi umetninami in srebrnino.","[???] je také známý pro své řemeslníky, kteří vyrábějí širokou škálu ručních prací, včetně batikovaných a ikatových látek a oděvů, dřevěných řezbářských prací, kamenných řezbářských prací, malovaného umění a stříbra.","[???] is also famous forits artisans who produce a vast array of handicrafts, including batik and ikat cloth and clothing, wooden carvings, stone carvings, painted art and silverware."
537,[???] nie ma linii kolejowych.,[???] не мае чыгуначных ліній.,[???] не має залізничних ліній.,[???] не имеет железнодорожных путей.,[???] няма железопътни линии.,[???] nima železniških prog.,[???] nemá žádné železniční tratě.,[???] has no railway lines.
538,"[???] słynie z różnorodnych i wyrafinowanych form sztuki, takich jak malarstwo, rzeźba, rzeźbienie w drewnie, rękodzieło i sztuki sceniczne.","[???] славіцца сваімі разнастайнымі і складанымі відамі мастацтва, такімі як жывапіс, скульптура, разьба па дрэве, рамёствы і выканальніцкае мастацтва.","[???] відомий своїми різноманітними та витонченими видами мистецтва, такими як живопис, скульптура, різьблення по дереву, ремесла та виконавське мистецтво.","[???] известен своими разнообразными и сложными формами искусства, такими как живопись, скульптура, резьба по дереву, ремесла и исполнительское искусство.","[???] е известен със своите разнообразни и сложни форми на изкуство, като живопис, скулптура, дърворезба, ръчни занаяти и сценични изкуства.","[???] je znan po svojih raznolikih in prefinjenih umetniških oblikah, kot so slikarstvo, kiparstvo, rezbarenje lesa, ročna dela in uprizoritvene umetnosti.","[???] je proslulý svými rozmanitými a sofistikovanými uměleckými formami, jako je malba, sochařství, řezbářství, ruční práce a divadelní umění.","[???] is renowned forits diverse and sophisticated art forms, such as painting, sculpture, woodcarving, handcrafts, and performing arts."
539,"[???] szczyci się jedną z najbardziej zróżnicowanych i innowacyjnych kultur sztuk scenicznych na świecie, z płatnymi występami na tysiącach świątyń festiwali, prywatnych ceremonii lub pokazów publicznych.","[???] можа пахваліцца адной з самых разнастайных і інавацыйных культур выканальніцкага мастацтва ў свеце з платнымі выступамі на тысячах храмавых фестываляў, прыватных цырымоніяў або публічных шоу.","[???] може похвалитися однією з найрізноманітніших та інноваційних культур виконавського мистецтва у світі, з оплачуваними виступами на тисячах храмових фестивалів, приватних церемоній чи публічних шоу.","[???] может похвастаться одной из самых разнообразных и инновационных культур исполнительского искусства в мире, с платными выступлениями на тысячах храмовых фестивалей, частных церемоний или публичных представлений.","[???] може да се похвали с една от най-разнообразните и иновативни култури за сценични изкуства в света, с платени изпълнения на хиляди храмови фестивали, частни церемонии или публични шоу програми.","[???] se ponaša z eno najbolj raznolikih in inovativnih kultur uprizoritvenih umetnosti na svetu, s plačanimi nastopi na tisočih tempeljskih festivalih, zasebnih slovesnostih ali javnih predstavah.","[???] se může pochlubit jednou z nejrozmanitějších a nejinovativnějších kultur scénického umění na světě s placenými představeními na tisících chrámových festivalů, soukromých obřadů nebo veřejných představení.","[???] boasts one of the most diverse and innovative performing arts cultures in the world, with paid performances at thousands of temple festivals, private ceremonies, or public shows."
540,[???] nie podają ani nie przyjmują rzeczy lewą ręką i nie machają do nikogo lewą ręką.,[???] не перадаюць і не атрымліваюць рэчы левай рукой і нікому не махаюць левай рукой.,[???] не передають і не отримують речі лівою рукою і не махають нікому лівою рукою.,[???] не дают и не принимают вещи левой рукой и никому не махают левой рукой.,[???] не подават и не получават неща с лявата си ръка и не биха махнали на никого с лявата си ръка.,[???] ne izročajo in ne sprejemajo stvari z levo roko in ne bi nikomur mahali z levo roko.,[???] nepodávají ani nepřijímají věci levou rukou a levou rukou by na nikoho nezamávali.,The [???] do not hand or receive things withtheir left hand and would not wave at anyone withtheir left hand.
541,[???] jest szczególnie aktywny w dziedzinie własności intelektualnej.,[???] асабліва актыўна працуе ў галіне інтэлектуальнай уласнасці.,[???] особливо активний у сфері інтелектуальної власності.,[???] особенно активен в области интеллектуальной собственности.,[???] е особено активен в областта на интелектуалната собственост.,[???] je še posebej dejaven na področju intelektualne lastnine.,[???] je zvláště aktivní v oblasti duševního vlastnictví.,The [???] is particularly active in the field of intellectual property.
542,Zatem [???] ma gęstość zaludnienia 371/km² (958/sq mil).,"Такім чынам, [???] мае шчыльнасць насельніцтва 371/км² (958/кв. мілі).","Таким чином, [???] має щільність населення 371/км² (958/кв. миль).","Таким образом, [???] имеет плотность населения 371 человек на км² (958 человек на квадратную милю).",Така [???] има гъстота на населението от 371/km² (958/sq mi).,Tako ima [???] gostoto prebivalstva 371/km² (958/sq mi).,"Tak, [???] má hustotu obyvatelstva 371/km? (958/sq mi).","Thus, the [???] has a population density of 371/km² ( 958/sq mi )."
543,"W rezultacie [???] mówi z mieszanką akcentów, w zależności od pochodzenia etnicznego, sąsiedztwa, klasy, wieku, wychowania i wielu innych czynników.","У выніку [???] размаўляюць з сумессю акцэнтаў, у залежнасці ад этнічнай прыналежнасці, суседства, класа, узросту, выхавання і розных іншых фактараў.","У результаті [???] говорять із сумішшю акцентів, залежно від етнічної приналежності, сусідства, класу, віку, виховання та багатьох інших факторів.","В результате [???] говорят со смесью акцентов, в зависимости от этнической принадлежности, района проживания, класса, возраста, воспитания и множества других факторов.","В резултат на това [???] говори със смесица от акценти, в зависимост от етническа принадлежност, квартал, клас, възраст, възпитание и различни други фактори.","Posledično [???] govorijo z mešanico naglasov, odvisno od etnične pripadnosti, soseske, razreda, starosti, vzgoje in raznih drugih dejavnikov.","Výsledkem je, že [???] mluví se směsí přízvuků v závislosti na etnickém původu, sousedství, třídě, věku, výchově a různých dalších faktorech.","As a result, [???] speak with a mixture of accents, depending on ethnicity, neighbourhood, class, age, upbringing, and sundry other factors."
544,"[???] to konstelacja na północnym niebie, znajdująca się między deklinacją 0° a +60°, 13-16 godzin rektascensji na sferze niebieskiej.","[???] — сузор'е на паўночным небе, размешчанае паміж 0° і +60° склону, 13 і 16 гадзін прамога ўзыходжання на нябеснай сферы.","[???] — сузір'я на північному небі, розташоване між 0° і +60° схилення, 13 і 16 годин прямого сходження на небесній сфері.","[???] — созвездие на северном небе, расположенное между 0° и +60° склонения, 13 и 16 часов прямого восхождения на небесной сфере.","[???] е съзвездие в северното небе, разположено между 0° и +60° деклинация, 13 и 16 часа право изкачване на небесната сфера.","[???] je ozvezdje na severnem nebu, ki se nahaja med deklinacijo 0° in +60°, 13 in 16 ur desnega ascenzije na nebesni sferi.","[???] je souhvězdí na severní obloze, nacházející se mezi 0° a +60° deklinace, 13 a 16 hodin rektascenze na nebeské sféře.","[???] is a constellation in the northern sky, located between 0° and +60° declination, 13 and 16 hours of right ascension on the celestial sphere."
545,"Nie jest jasne, kogo dokładnie ma reprezentować [???].","Каго менавіта [???] павінен прадстаўляць, незразумела.","Кого саме [???] має представляти, не зрозуміло.","Кого именно [???] должен представлять, неясно.",Не е ясно кого точно [???] трябва да представлява.,"Koga točno naj bi [???] predstavljal, ni jasno.","Koho přesně má [???] zastupovat, není jasné.",Exactly whom [???] is supposed to represent is not clear.
546,Nowoczesne wizualizacje diagramowe często przedstawiają [???] jako wyglądający jak latawiec.,Сучасныя дыяграмныя візуалізацыі часта адлюстроўваюць [???] як паветранага змея.,Сучасні діаграмні візуалізації часто зображують [???] як повітряного змія.,Современные диаграммные визуализации часто изображают [???] похожим на воздушного змея.,Съвременните диаграмни визуализации често изобразяват [???] като хвърчило.,Sodobne diagramske vizualizacije pogosto prikazujejo [???] kot zmaja.,"Moderní schematické vizualizace často zobrazují [???], jak vypadá jako drak.",Modern diagrammatic visualizations often depict [???] as looking like a kite.
547,[???] leży w szerokiej i bardzo żyznej dolinie.,[???] знаходзіцца ў шырокай і вельмі ўрадлівай даліне.,[???] знаходиться в широкій і дуже родючій долині.,[???] расположен в широкой и очень плодородной долине.,[???] се намира в широка и много плодородна долина.,[???] se nahaja v široki in zelo rodovitni dolini.,[???] se nachází v širokém a velmi úrodném údolí.,[???] is situated in a wide and very fertile valley.
548,[???] ma ponad trzydzieści hoteli i trzysta warsztatów rękodzielniczych.,[???] мае больш за трыццаць гатэляў і трыста рамесных цэхаў.,[???] має понад тридцять готелів і триста ремісничих майстерень.,[???] имеет более тридцати отелей и триста ремесленных мастерских.,[???] има над тридесет хотела и триста занаятчийски работилници.,[???] ima več kot trideset hotelov in tristo obrtnih delavnic.,[???] má přes třicet hotelů a tři sta řemeslných dílen.,[???] has over thirty hotels and three hundred handicraft work shops.
549,"[???] otrzymuje średnio 700 milimetrów (27,6 cala) opadów rocznie, 70 % między listopadem a styczniem.","У сярэднім [???] штогод выпадае 700 міліметраў (27,6 цалі) ападкаў, 70% у перыяд з лістапада па студзень.","[???] отримує в середньому 700 міліметрів (27,6 дюймів) опадів на рік, 70 % з листопада по січень.","[???] получает в среднем 700 миллиметров (27,6 дюйма) осадков в год, 70% в период с ноября по январь.","[???] получава средно 700 милиметра (27,6 инча) валежи годишно, 70 % между ноември и януари.","[???] prejme povprečno 700 milimetrov (27,6 in) padavin letno, 70 % med novembrom in januarjem.","[???] spadne v průměru 700 milimetrů (27,6 palce) srážek ročně, 70 % mezi listopadem a lednem.","[???] receives an average of 700 millimeters ( 27.6 in ) of rainfall annually, 70 % between November and January."
550,[???] posiada cztery muzea znajdujące się w granicach miasta.,"[???] мае чатыры музеі, размешчаныя ў межах яго муніцыпальных межаў.","[???] має чотири музеї, розташовані в межах його муніципальних кордонів.","[???] имеет четыре музея, расположенных в пределах муниципальных границ.","[???] има четири музея, разположени в общинските му граници.","[???] ima štiri muzeje, ki se nahajajo znotraj svojih občinskih meja.",[???] má čtyři muzea nacházející se v rámci svých městských hranic.,[???] has four museums located withinits municipal borders.
551,[???] jest bliźniakiem z:,[???] з'яўляецца пабрацімам:,[???] є побратимом із:,[???] является побратимом с:,[???] е побратимен с:,[???] je pobrateno z:,[???] je spojený s:,[???] is twinned with:
552,[???] zaprzecza tym zarzutom.,[???] адмаўляе гэтыя абвінавачванні.,[???] заперечує ці звинувачення.,[???] отрицает эти обвинения.,[???] отрича тези твърдения.,[???] te obtožbe zanika.,[???] tato obvinění popírá.,[???] denies these allegations.
553,"Od kilku lat mówi się, że [???] ma najwyższe opłaty kolejowe na świecie.","На працягу некалькіх гадоў казалі, што [???] мае самыя высокія тарыфы на чыгунцы ў свеце.","Протягом кількох років вважалося, що [???] має найвищі ціни на залізничний проїзд у світі.",В течение нескольких лет [???] считались самыми высокими железнодорожными тарифами в мире.,"От няколко години се казва, че [???] има най-високите железопътни билети в света.",Že nekaj let naj bi [???] imel najvišje cene železniških vozovnic na svetu.,"Již několik let se o [???] říká, že má nejvyšší železniční tarify na světě.","For some years, [???] has been said to have the highest rail fares in the world."
554,"Pociągi towarowe w [???] są bardzo oszczędne w porównaniu z odpowiednikami drogowymi, ponieważ emisje uwalniane do atmosfery są zmniejszone, w rzeczywistości przeciętny pociąg towarowy jest o 70% bardziej wydajny niż transport drogowy.","Грузавыя цягнікі ў [???] вельмі эфектыўныя ў параўнанні з аўтамабільным эквівалентам, таму што выкіды ў атмасферу зніжаны, на самай справе сярэдні грузавы цягнік на 70% больш эфектыўны, чым аўтамабільны транспарт.","Вантажні поїзди в [???] дуже економічні в порівнянні з автомобільним еквівалентом, оскільки викиди в атмосферу зменшуються, насправді середній вантажний поїзд на 70 % ефективніший, ніж автомобільний транспорт.","Грузовые поезда в [???] очень экономичны по топливу по сравнению с дорожным эквивалентом, там снижены выбросы в атмосферу, фактически средний грузовой поезд на 70 % эффективнее, чем автомобильный транспорт.","Товарните влакове в [???] са много ефективни в сравнение с еквивалента на пътя, тъй като емисиите, отделяни в атмосферата, са намалени, всъщност средният товарен влак е 70 % по-ефективен от автомобилния транспорт.","Tovorni vlaki v [???] so zelo učinkoviti pri porabi goriva v primerjavi s cestnim ekvivalentom, saj so emisije, sproščene v ozračje, zmanjšane, pravzaprav je povprečni tovorni vlak 70 % učinkovitejši od cestnega prometa.","Nákladní vlaky v [???] jsou ve srovnání se silničním ekvivalentem velmi úsporné z hlediska paliva, protože emise vypouštěné do atmosféry jsou sníženy, ve skutečnosti je průměrný nákladní vlak o 70 % efektivnější než silniční doprava.","Freight trains in the [???] are very fuel efficient compared to the road equivalent, there for the emissions released into the atmosphere is reduced, in fact, the average freight train is 70 % more efficient than road transport."
555,"[???] jest głównym węzłem sieci, z 12 głównymi stacjami końcowymi linii głównych tworzącymi „pierścień” wokół obszaru centralnego.","[???] з'яўляецца асноўным цэнтрам сеткі, з 12 асноўнымі канчатковымі пунктамі магістралі, якія ўтвараюць «кальцо» вакол цэнтральнай вобласці.","[???] є основним центром мережі з 12 основними кінцевими точками магістралі, які утворюють «кільце» навколо центральної області.","[???] является основным узлом сети, с 12 конечными узлами основных линий, образующими «кольцо» вокруг центральной части.","[???] е основен център на мрежата, с 12 основни крайни линии на главни линии, образуващи ""пръстен"" около централната зона.","[???] je glavno vozlišče omrežja z 12 glavnimi terminali glavne proge, ki tvorijo ""obroč"" okoli osrednjega območja.",[???] je hlavním uzlem sítě s 12 hlavními hlavními koncovými body tvořícími „prsten“ kolem centrální oblasti.,"[???] is a major hub of the network, with 12 major main line terminuses forming a "" ring "" around the central area."
556,"[???] jest ogólnie słonecznym miastem, jednak niektóre dni mgły i pochmurne dni nie są rzadkie.","[???] звычайна сонечны горад, аднак у асобныя дні туман і пахмурныя дні не рэдкасць.","[???], як правило, сонячне місто, однак деякі дні туману та похмурих днів не рідкість.","[???] в целом солнечный город, однако нередки туманные дни и периоды пасмурных дней.","[???] като цяло е слънчев град, но някои дни с мъгла и периоди на облачни дни не са рядкост.","[???] je na splošno sončno mesto, vendar nekateri dnevi megle in oblačni dnevi niso redki.","[???] je obecně slunečné město, nicméně některé dny s mlhou a zataženými dny nejsou vzácné.","[???] is generally a sunny city, however, some days of fog and spells of cloudy days are not rare."
557,"[???] obejmuje 68 parków miejskich, podzielonych na 12 parków zabytkowych, 5 parków tematycznych (botanicznych), 45 parków miejskich i 6 parków leśnych.","[???] змяшчае 68 муніцыпальных паркаў, падзеленыя на 12 гістарычных, 5 тэматычных (батанічных) паркаў, 45 гарадскіх паркаў і 6 лесапаркаў.","[???] містить 68 муніципальних парків, розділених на 12 історичних парків, 5 тематичних (ботанічних) парків, 45 міських парків і 6 лісопарків.","[???] включает 68 муниципальных парков, разделенных на 12 исторических парков, 5 тематических (ботанических) парков, 45 городских парков и 6 лесопарков.","[???] съдържа 68 общински парка, разделени на 12 исторически парка, 5 тематични (ботанически) парка, 45 градски парка и 6 лесопарка.","[???] vsebuje 68 občinskih parkov, razdeljenih na 12 zgodovinskih parkov, 5 tematskih (botaničnih) parkov, 45 mestnih parkov in 6 gozdnih parkov.","[???] obsahuje 68 městských parků, rozdělených na 12 historických parků, 5 tematických (botanických) parků, 45 městských parků a 6 lesoparků.","[???] contains 68 municipal parks, divided into 12 historic parks, 5 thematic ( botanical ) parks, 45 urban parks and 6 forest parks."
558,"[???] ma siedem plaż o łącznej długości 4,5 km (2,8 mil) linii brzegowej.","[???] мае сем пляжаў агульнай працягласцю берагавой лініі 4,5 км (2,8 мілі).","[???] має сім пляжів загальною протяжністю 4,5 км (2,8 милі) берегової лінії.","[???] имеет семь пляжей общей протяженностью 4,5 км (2,8 мили) береговой линии.","[???] има седем плажа, общо 4,5 км (2,8 мили) от бреговата линия.","[???] ima sedem plaž, skupaj 4,5 km (2,8 mi) obale.","[???] má sedm pláží, celkem 4,5 km (2,8 mil) pobřeží.","[???] has seven beaches, totalling 4.5 km ( 2.8 mi ) of coastline."
559,[???] ma wieloletnią tradycję handlową.,[???] мае даўнія гандлёвыя традыцыі.,[???] має давню меркантильну традицію.,[???] имеет давние торговые традиции.,[???] има дългогодишна търговска традиция.,[???] ima dolgoletno trgovsko tradicijo.,[???] má dlouholetou obchodní tradici.,[???] has a long-standing mercantile tradition.
560,"Czerpiąc z tradycji twórczej sztuki i rzemiosła, firma [???] znana jest obecnie również z wielokrotnie nagradzanego wzornictwa przemysłowego.","Абапіраючыся на свае традыцыі творчага мастацтва і рамёстваў, [???] сёння таксама вядомы сваімі ўзнагародамі прамысловага дызайну.","Спираючись на свої традиції творчого мистецтва та ремісництва, [???] сьогодні також відомий своїм відзначеним нагородами промисловим дизайном.","Опираясь на свои традиции творческого искусства и мастерства, [???] в настоящее время также известна своим отмеченным наградами промышленным дизайном.","Опирайки се на традицията си на творческо изкуство и занаятчийство, [???] днес е известен и със своя отличен с награди индустриален дизайн.",Na podlagi svoje tradicije ustvarjalne umetnosti in obrti je [???] danes znan tudi po nagrajenem industrijskem oblikovanju.,"[???], čerpající ze své tradice výtvarného umění a řemesla, je dnes také známý pro svůj oceňovaný průmyslový design.","Drawing uponits tradition of creative art and craftsmanship, [???] is nowadays also known forits award-winning industrial design."
561,"[???] kieruje rada miejska, którą tworzy 41 radnych miejskich, wybieranych na czteroletnią kadencję w wyborach powszechnych.","[???] кіруецца гарадской радай, якая складаецца з 41 гарадскога саветніка, абранага на чатырохгадовы тэрмін усеагульным галасаваннем.","[???] керує міська рада, утворена 41 депутатом міської ради, що обирається на чотирирічний термін загальним голосуванням.","[???] управляется городским советом, состоящим из 41 члена городского совета, избираемых на четырехлетний срок всеобщим голосованием.","[???] се управлява от градски съвет, съставен от 41 градски съветници, избрани за четиригодишен мандат с всеобщо гласуване.","[???] upravlja mestni svet, ki ga sestavlja 41 mestnih svetnikov, ki so izvoljeni za štiriletni mandat na splošnih volitvah.","[???] řídí městská rada tvořená 41 městskými zastupiteli, volenými na čtyřleté období všeobecným hlasováním.","[???] is governed by a city council formed by 41 city councilors, elected for a four-year term by universal suffrage."
562,[???] ma dobrze rozwinięty system szkolnictwa wyższego uczelni publicznych.,[???] мае развітую сістэму вышэйшай адукацыі дзяржаўных універсітэтаў.,[???] має добре розвинену систему вищої освіти державних університетів.,[???] имеет хорошо развитую систему высшего образования государственных университетов.,[???] има добре развита система за висше образование от държавни университети.,[???] ima dobro razvit visokošolski sistem javnih univerz.,[???] má dobře propracovaný systém vysokoškolského vzdělávání veřejných vysokých škol.,[???] has a well-developed higher education system of public universities.
