,pl,be,uk,ru,bg,sl,cs
77, [???] jest nadal dostawcą [???] dzisiaj., [???] па-ранейшаму з'яўляецца пастаўшчыком для [???] сёння., [???] все ще є постачальником для [???] сьогодні., [???] по-прежнему является провайдером для [???]., [???] все още е доставчикът на [???] днес., [???] je še danes ponudnik [???]., [???] je dnes stále poskytovatelem [???].
78," Ponieważ precedens dotyczy tylko telewizji, [???] nie jest transmitowany online, ponieważ zastosowany przepis dotyczący krytyki i recenzji nie ma zastosowania poza telewizją nadawczą."," Паколькі прэцэдэнт датычыцца толькі тэлебачання, [???] не транслюецца ў Інтэрнэце, бо палажэнне аб крытыцы і аглядзе не распаўсюджваецца на тэлебачанне."," Оскільки прецедент стосується лише телебачення, [???] не транслюється в Інтернеті, оскільки положення про критику та рецензування не поширюються за межами телебачення."," Поскольку прецедент применим только к телевидению, [???] не транслируется в Интернете, поскольку используемое положение о критике и обзоре не применяется за пределами вещательного телевидения."," Тъй като прецедентът се отнася само за телевизията, [???] не се предава онлайн, тъй като използваната разпоредба за критика и преглед не се прилага извън излъчваната телевизия."," Ker precedenčni primer velja samo za televizijo, se [???] ne predvaja na spletu, saj uporabljena določba o kritiki in pregledu ne velja zunaj televizijskih programov."," Vzhledem k tomu, že precedent se vztahuje pouze na televizi, [???] se nevysílá online, protože použitá ustanovení o kritice a přezkumu neplatí mimo televizní vysílání."
79, [???] jest najstarszą na świecie firmą telekomunikacyjną., [???] - найстарэйшая ў свеце тэлекамунікацыйная кампанія., [???] є найстарішою телекомунікаційною компанією у світі., [???] — старейшая телекоммуникационная компания в мире., [???] е най-старата телекомуникационна компания в света., [???] je najstarejše telekomunikacijsko podjetje na svetu., [???] je nejstarší telekomunikační společností na světě.
80, [???] jest obecnie światowym liderem usług i rozwiązań wideokonferencyjnych., [???] цяпер сусветны лідэр у сферы паслуг і рашэнняў для відэаканферэнцый., [???] зараз є світовим лідером у сфері послуг і рішень для відеоконференцій., [???] в настоящее время является мировым лидером в области услуг и решений для видеоконференций., [???] сега е световен лидер в услугите и решенията за видеоконферентна връзка., [???] je zdaj vodilni svetovni ponudnik storitev in rešitev za videokonference., [???] je nyní globálním lídrem v oblasti videokonferenčních služeb a řešení.
81," Na tych rynkach [???] jest zobowiązany do przestrzegania dodatkowych obowiązków, takich jak spełnianie uzasadnionych żądań świadczenia usług i niedyskryminowania."," На гэтых рынках [???] патрабуецца выконваць дадатковыя абавязацельствы, такія як выкананне разумных запытаў на прадастаўленне паслуг і недыскрымінацыі."," На цих ринках [???] вимагається дотримуватись додаткових зобов’язань, таких як задоволення розумних запитів на надання послуг та не дискримінувати."," На этих рынках [???] требуется соблюдать дополнительные обязательства, такие как удовлетворение разумных запросов на предоставление услуг и недопущение дискриминации."," На тези пазари [???] се изисква да спазва допълнителни задължения, като удовлетворяване на разумни заявки за предоставяне на услуги и да не дискриминира."," Na teh trgih mora [???] izpolnjevati dodatne obveznosti, kot je izpolnjevanje razumnih zahtev za opravljanje storitev in ne diskriminirati."," Na těchto trzích je [???] povinna plnit další povinnosti, jako je splnění přiměřených požadavků na poskytování služeb a nediskriminace."
82, [???] jest podzielony na następujące działy biznesowe:, [???] арганізавана ў наступныя бізнес-падраздзяленні:, [???] організовано на такі бізнес-підрозділи:, [???] состоит из следующих бизнес-подразделений:, [???] е организирано в следните бизнес подразделения:, [???] je organiziran v naslednje poslovne oddelke:, [???] je organizována do následujících obchodních divizí:
83," Argumentem książki jest to, że [???] nie jest przygotowany ekonomicznie na długą wojnę, ale może wygrać wojnę z piorunami."," Аргумент кнігі заключаецца ў тым, што [???] эканамічна не падрыхтаваны да працяглай вайны, але можа выйграць вокамгненную вайну."," Аргумент книги полягає в тому, що [???] не готовий економічно до тривалої війни, але може виграти блискавичну війну."," Аргумент книги состоит в том, что [???] экономически не готов к долгой войне, но может выиграть молниеносную войну."," Аргументът на книгата е, че [???] не е подготвен икономически за дълга война, но може да спечели светкавична война."," Argument knjige je, da [???] ni ekonomsko pripravljen na dolgo vojno, ampak bi lahko zmagal v bliskovni vojni."," Argument knihy je, že [???] není ekonomicky připraven na dlouhou válku, ale mohl by vyhrát bleskovou válku."
84," [???] jest najbardziej znanym społeczeństwem, które całkowicie zaprzestało używania numerów rzutów."," [???] з'яўляецца найбольш прыкметным грамадствам, якое цалкам спыніла выкарыстанне лічбавых нумароў."," [???] є найвідомішим суспільством, яке повністю припинило використання номерів."," [???] - наиболее известное общество, полностью отказавшееся от использования регистрационных номеров."," [???] е най-забележителното общество, което е преустановило напълно използването на номера на ролките."," [???] je najbolj opazna družba, ki je popolnoma opustila uporabo številk."," [???] je nejpozoruhodnější společností, která úplně přestala používat čísla."
85, Jest dyrektorem generalnym [???]., Ён [???] генеральны дырэктар., Він є генеральним директором [???]., Он генеральный директор [???]., Той е главен изпълнителен директор на [???]., Je [???] izvršni direktor., Je generálním ředitelem společnosti [???].
86," [???] jest warzony przy użyciu słodu jęczmiennego, ryżu, wody, chmielu i drożdży."," [???] варыцца з выкарыстаннем ячменнага соладу, рысу, вады, хмеля і дрожджаў."," [???] вариться з використанням ячмінного солоду, рису, води, хмелю та дріжджів."," [???] варится с использованием ячменного солода, риса, воды, хмеля и дрожжей."," [???] се приготвя с помощта на ечемичен малц, ориз, вода, хмел и дрожди."," [???] se vari iz ječmenovega slada, riža, vode, hmelja in kvasa."," [???] se vaří z ječného sladu, rýže, vody, chmele a kvasnic."
87, Utworzony w 1941 roku [???] jest uważany za wzór dla wielu innych jednostek sił specjalnych na świecie., Створаны ў 1941 годзе [???] лічыцца ўзорам для пераймання для многіх іншых падраздзяленняў спецыяльнага прызначэння ў свеце.," Сформований у 1941 році, [???] вважається зразком для наслідування для багатьох інших підрозділів спеціального призначення у світі."," Сформированный в 1941 году, [???] считается образцом для подражания для многих других подразделений специального назначения в мире."," Създаден през 1941 г., [???] се счита за модел за подражание за много други части на специалните сили в света."," [???], ustanovljen leta 1941, velja za vzor mnogih drugih enot specialnih sil na svetu."," [???], která vznikla v roce 1941, je považována za vzor pro mnoho dalších jednotek speciálních sil na světě."
88," Trzecim głównym obszarem rozwoju miast, również skupiającym się na zrównoważonym rozwoju, jest [???].", Трэцяй асноўнай сферай гарадскога развіцця таксама з акцэнтам на ўстойлівасць з'яўляецца [???].," Третьою важливою сферою міського розвитку, також з акцентом на стійкість, є [???]."," Третьей важной областью городского развития, также ориентированной на устойчивость, является [???].", Трета основна област на градско развитие също с фокус върху устойчивостта е [???].," Tretje večje področje razvoja mest, prav tako s poudarkom na trajnosti, je [???].", Třetí hlavní oblastí městského rozvoje rovněž se zaměřením na udržitelnost je [???].
89," [???] jest właścicielem zarówno kobiecej, jak i męskiej drużyny, które mają tę samą nazwę i logo."," [???] валодае як жаночай, так і мужчынскай камандамі, якія маюць аднолькавую назву і лагатып."," [???] володіє як жіночою, так і чоловічою командами, які мають однакову назву та логотип."," [???] владеет как женской, так и мужской командой с одинаковым названием и логотипом."," [???] притежава както женски, така и мъжки отбор, които имат едно и също име и лого."," [???] ima v lasti žensko in moško ekipo, ki imata isto ime in logotip."," [???] vlastní ženský i mužský tým, které mají stejný název a logo."
90,[???] podlega Ministerstwu Transportu rządu federalnego.,[???] знаходзіцца пад кіраўніцтвам міністра транспарту федэральнага ўрада.,[???] знаходиться під керівництвом міністра транспорту федерального уряду.,[???] находится под руководством министра транспорта федерального правительства.,[???] е под ръководството на министъра на транспорта на федералното правителство.,[???] je pod vodstvom ministra za promet zvezne vlade.,[???] je pod vedením ministra dopravy federální vlády.
91, Obecnie głównym zadaniem [???] jest walka z różnymi siłami rebeliantów w kraju., У цяперашні час галоўнай задачай [???] з'яўляецца барацьба з рознымі паўстанцкімі сіламі ўнутры краіны., Нині головним завданням [???] є боротьба з різними силами повстанців всередині країни., В настоящее время основной задачей [???] является борьба с различными повстанческими силами внутри страны., В момента основната задача на [???] е да се бори с различните бунтовнически сили вътре в страната., Trenutno je glavna naloga [???] boj proti različnim uporniškim silam v državi., V současné době je hlavním úkolem [???] bojovat proti různým povstaleckým silám uvnitř země.
92, [???] składa się z 38 członków wybranych z regionów lub podregionów.," [???] складаецца з 38 членаў, абраных з рэгіёнаў або субрэгіёнаў."," [???] складається з 38 членів, обраних від регіонів або субрегіонів."," [???] состоит из 38 членов, избираемых от регионов или субрегионов."," [???] се състои от 38 членове, избрани от региони или подрегиони."," [???] sestavlja 38 članov, izvoljenih iz regij ali podregij.", [???] se skládá z 38 členů volených z regionů nebo subregionů.
93, Chile tradycyjnie było zależne od eksportu miedzi; państwowa firma [???] jest największą na świecie firmą produkującą miedź., Чылі традыцыйна залежала ад экспарту медзі; дзяржаўная фірма [???] з'яўляецца найбуйнейшай у свеце кампаніяй па вытворчасці медзі., Чилі традиційно залежало від експорту міді; державна фірма [???] є найбільшою у світі компанією з виробництва міді., Чили традиционно зависела от экспорта меди; государственная фирма [???] является крупнейшей в мире компанией по производству меди., Чили традиционно зависи от износа на мед; държавната фирма [???] е най-голямата компания за производство на мед в света., Čile je bil tradicionalno odvisen od izvoza bakra; državno podjetje [???] je največje podjetje za proizvodnjo bakra na svetu., Chile bylo tradičně závislé na exportu mědi; státem vlastněná firma [???] je největší světovou společností vyrábějící měď.
94, [???] jest narodowym przewoźnikiem lotniczym i flagowym., [???] з'яўляецца нацыянальнай авіякампаніяй і флагманам., [???] — національна авіакомпанія та флагманський перевізник., [???] — национальная авиакомпания и национальный авиаперевозчик., [???] е националната авиокомпания и превозвач на флаг., [???] je nacionalni letalski prevoznik in letalski prevoznik., [???] je národní letecká společnost a vlajkový dopravce.
95," W kraju działa również kilka linii lotniczych, z których najbardziej godna uwagi jest [???]."," У краіне таксама ёсць некалькі авіякампаній, з якіх найбольш прыкметная [???]."," У країні також є кілька авіакомпаній, найвідомішою з яких є [???]."," В стране также есть несколько авиакомпаний, самая известная из которых [???]."," Страната също има няколко авиокомпании, от които най-забележителната е [???]."," Država ima tudi več letalskih prevoznikov, med katerimi je najbolj opazen [???]."," Země má také několik leteckých společností, z nichž nejpozoruhodnější je [???]."
96, [???] jest obowiązkową 24-miesięczną usługą dla wszystkich mężczyzn po ukończeniu ich 18. urodzin., [???] з'яўляецца абавязковым 24-месячным абслугоўваннем для ўсіх мужчын пасля завяршэння іх 18-годдзя., [???] є обов'язковим 24-місячним обслуговуванням для всіх чоловіків після досягнення ними 18-річчя., [???] является обязательной 24-месячной услугой для всех мужчин после достижения ими 18-летия., [???] е задължителна 24-месечна услуга за всички мъже след навършване на 18-ия си рожден ден., [???] je obvezna 24-mesečna storitev za vse moške po 18. rojstnem dnevu., [???] je povinná 24měsíční služba pro všechny muže po dovršení 18. narozenin.
97," Fakt, że [???] nie zostanie wybrany, zmniejsza również presję na zadowolenie ludzi, zwiększając jego niezależność."," Тое, што [???] не абраны, таксама здымае ціск, каб дагадзіць людзям, павялічваючы яго незалежнасць."," Те, що [???] не обирається, також знімає тиск, щоб догодити людям, підвищуючи його незалежність."," Тот факт, что [???] не избирается, также ослабляет необходимость угождать людям, увеличивая его независимость."," Фактът, че [???] не е избран, също облекчава натиска да се хареса на хората, увеличавайки неговата независимост."," Dejstvo, da [???] ni izvoljen, tudi razbremeni pritisk, da bi ugajal ljudem, kar povečuje njegovo neodvisnost."," Skutečnost, že [???] není zvolena, také zmírňuje tlak zalíbit se lidem a zvyšuje její nezávislost."
98," [???] jest aktiebolag ze 100 udziałami po 1000 SEK, z których wszystkie należą do prywatnej fundacji, która powołuje radę uniwersytetu i prezydenta."," [???] з'яўляецца aktiebolag са 100 акцыямі па 1000 шведскіх крон, усе з якіх належыць прыватнаму фонду, які прызначае раду ўніверсітэта і прэзідэнта."," [???] є aktiebolag зі 100 акціями за 1000 шведських крон, усі з яких належать приватному фонду, який призначає раду університету та президента."," [???] является aktiebolag со 100 акциями по 1000 шведских крон, все из которых принадлежат частному фонду, который назначает совет университета и президента."," [???] е aktiebolag със 100 акции на стойност 1000 SEK, всички от които са собственост на частна фондация, която назначава университетския съвет и президента."," [???] je aktiebolag s 100 delnicami po 1000 SEK, ki so vse v lasti zasebne fundacije, ki imenuje univerzitetni odbor in predsednika."," [???] je aktiebolag se 100 akciemi à 1000 SEK, z nichž všechny jsou ve vlastnictví soukromé nadace, která jmenuje univerzitní radu a prezidenta."
99, Zespół [???] znany jest ze swoich politycznych piosenek., Гурт [???] вядомы сваімі палітычнымі песнямі., Гурт [???] відомий своїми політичними піснями., Группа [???] известна своими политическими песнями., Групата [???] е известна със своите политически песни., Skupina [???] je znana po svojih političnih pesmih., Kapela [???] je známá svými politickými písněmi.
100," Od 2003 r. [???] twierdzi, że 1024-bitowe klucze RSA są równoważne 80-bitowym kluczom symetrycznym, 2048-bitowym kluczom RSA 112-bitowym kluczom symetrycznym i 3072-bitowym kluczom RSA 128-bitowym kluczom symetrycznym."," Па стане на 2003 [???] сцвярджае, што 1024-бітныя ключы RSA эквівалентныя па сіле 80-бітным сіметрычным ключам, 2048-бітныя ключы RSA 112-бітным сіметрычным ключам і 3072-бітныя ключы RSA 128-бітным сіметрычным ключам."," Станом на 2003 рік [???] стверджує, що 1024-бітні ключі RSA еквівалентні за силою 80-бітним симетричним ключам, 2048-бітові ключі RSA 112-бітним симетричним ключам і 3072-бітові ключі RSA 128-бітним симетричним ключам."," По состоянию на 2003 год [???] утверждает, что 1024-битные ключи RSA эквивалентны по силе 80-битным симметричным ключам, 2048-битные ключи RSA — 112-битным симметричным ключам и 3072-битные ключи RSA — 128-битным симметричным ключам."," От 2003 г. [???] твърди, че 1024-битовите RSA ключове са еквивалентни по сила на 80-битови симетрични ключове, 2048-битови RSA ключове на 112-битови симетрични ключове и 3072-битови RSA ключове на 128-битови симетрични ключове."," Od leta 2003 [???] trdi, da so 1024-bitni ključi RSA po moči enakovredni 80-bitnim simetričnim ključem, 2048-bitni ključi RSA 112-bitnim simetričnim ključem in 3072-bitni ključi RSA 128-bitnim simetričnim ključem."," Od roku 2003 [???] tvrdí, že 1024bitové klíče RSA jsou ekvivalentní co do síly 80bitovým symetrickým klíčům, 2048bitové klíče RSA 112bitovým symetrickým klíčům a 3072bitové klíče RSA 128bitovým symetrickým klíčům."
101," [???] jest zarejestrowana jako korporacja non-profit i jest zarządzana przez prywatnie powołaną 46-osobową radę powierniczą, która pełni pięcioletnią kadencję i przechodzi na emeryturę w wieku 72 lat."," [???] зарэгістраваная як некамерцыйная карпарацыя і кіруецца апякунскім саветам з 46 членаў, прызначаным прыватным чынам, якія працуюць на пяць гадоў і выходзяць на пенсію ва ўзросце 72 гадоў."," [???] зареєстрована як неприбуткова корпорація та керується приватною опікунською радою з 46 членів, які працюють на п'ятирічний термін і виходять на пенсію у віці 72 років."," [???] зарегистрирована как некоммерческая корпорация и управляется частным попечительским советом из 46 членов, которые избираются на пятилетний срок и выходят на пенсию в возрасте 72 лет."," [???] е учредена като корпорация с нестопанска цел и се управлява от частно назначен 46-членен съвет на настоятелите, който има петгодишен мандат и се пенсионира на 72-годишна възраст."," [???] je ustanovljena kot neprofitna družba in jo upravlja zasebno imenovan 46-članski odbor skrbnikov, ki opravljajo petletni mandat in se upokojijo pri 72 letih."," [???] je zapsána jako nezisková společnost a je řízena soukromě jmenovanou 46člennou správní radou, která slouží pět let v úřadu a odchází do důchodu ve věku 72 let."
102," [???] to mały czteroletni uniwersytet badawczy o dużej rezydencji, w którym większość zapisuje się na programy dla absolwentów.", [???] - гэта невялікі чатырохгадовы даследчы ўніверсітэт з жылым узроўнем пражывання з большасцю абітурыентаў у аспіранцкіх праграмах.," [???] – це невеликий чотирирічний дослідницький університет із постійним проживанням, у якому більшість студентів навчаються в аспірантурі."," [???] - это небольшой четырехлетний исследовательский университет с большим количеством жилых помещений, в котором большинство студентов обучаются по программам последипломного образования.", [???] е малък четиригодишен изследователски университет с голяма резидентност с по-голямата част от записванията в магистърски програми.," [???] je majhna štiriletna, visoko rezidenčna raziskovalna univerza z večino vpisov v podiplomske programe."," [???] je malá čtyřletá, vysoce rezidenční výzkumná univerzita s většinou zápisů do postgraduálních programů."
103," Średnia pensja dla adiunktów na poziomie [???] wynosi 105 800 USD, profesorów nadzwyczajnych 126 000 USD, a profesorów zwyczajnych 171 900 USD."," Сярэдні заробак дацэнтаў [???] складае 105 800 долараў, дацэнтаў — 126 000 долараў, поўных прафесараў — 171 900 долараў."," Середня заробітна плата асистентів у [???] становить 105 800 доларів США, доцентів 126 000 доларів США, а професорів 171 900 доларів США."," Средняя заработная плата доцентов в [???] составляет 105 800 долларов США, доцентов — 126 000 долларов США, а профессоров — 171 900 долларов США."," Средната заплата за асистентите в [???] е 105 800 долара, за доцентите 126 000 долара, а за редовните професори 171 900 долара."," Povprečna plača docentov na [???] je 105.800 $, izrednih profesorjev 126.000 $, rednih profesorjev pa 171.900 $."," Průměrný plat pro odborné asistenty na [???] je 105 800 $, docenty 126 000 $ a řádné profesory 171 900 $."
104, [???] opowiada się za wynegocjowanym rozwiązaniem wewnętrznego konfliktu narodu., [???] выступае за вырашэнне ўнутранага канфлікту нацыі шляхам перамоў., [???] виступає за вирішення внутрішнього конфлікту нації шляхом переговорів., [???] выступает за решение внутреннего конфликта страны путем переговоров., [???] подкрепя преговорното решение на вътрешния конфликт на нацията., [???] se zavzema za rešitev notranjega konflikta naroda s pogajanji., [???] je pro vyjednané řešení vnitřního konfliktu národa.
105, Przewodniczącego [???] wybiera się na wspólnym posiedzeniu parlamentu na pięcioletnią kadencję (nie więcej niż dwie kolejne)., Прэзідэнт [???] абіраецца сумесным пасяджэннем парламента на пяцігадовы тэрмін (не больш чым на два запар)., Президент [???] обирається спільним засіданням парламенту на п'ятирічний термін (не більше двох поспіль)., Президент [???] избирается совместным заседанием парламента сроком на пять лет (не более чем на два года подряд)., Председателят на [???] се избира на съвместно заседание на парламента за петгодишен мандат (не повече от две последователни)., Predsednik [???] je izvoljen na skupni seji DZ za petletni mandat (ne več kot dve zaporedni)., Předseda [???] je volen na společném zasedání parlamentu na pětileté funkční období (ne více než dva po sobě jdoucí).
106, Rola [???] jest administracyjna i polityczna., Роля [???] адміністрацыйна-палітычная., Роль [???] адміністративно-політична., Роль [???] административная и политическая., Ролята на [???] е административна и политическа., Vloga [???] je upravna in politična., Role [???] je administrativní a politická.
107, [???] znajduje się na południu miasta., [???] знаходзіцца на поўдні горада., [???] знаходиться на півдні міста., [???] находится на юге города., [???] се намира в южната част на града., [???] se nahaja na jugu mesta., [???] se nachází na jihu města.
108," [???] bada, czy siodła rozwinięte bez wystających nosków (które usuwają ucisk z obszaru moczowo-płciowego) złagodzą wszelkie potencjalne problemy zdrowotne."," [???] даследуе, ці палягчаюць патэнцыйныя праблемы са здароўем седла, распрацаваныя без выступоўцаў (якія здымаюць ціск з вобласці мочеполовой сферы)."," [???] досліджує, чи сідла, розроблені без виступаючих носів (які знімають тиск із урогенітальної області), полегшать будь-які потенційні проблеми зі здоров’ям."," [???] исследует, облегчат ли седла, разработанные без выступающих носов (которые снимают давление с мочеполовой области), любые потенциальные проблемы со здоровьем."," [???] проучва дали седлата, разработени без изпъкнали носове (които премахват натиска от урогениталната област), ще облекчат евентуални здравословни проблеми."," [???] preiskuje, ali bodo sedla, razvita brez štrlečih nosov (ki odpravljajo pritisk iz urogenitalnega področja), ublažila morebitne zdravstvene težave."," [???] zkoumá, zda sedla vyvinutá bez vyčnívajících nosů (která odstraňují tlak z urogenitální oblasti) zmírní případné zdravotní problémy."
109, [???] testuje nowe technologie w bezprzewodowych sieciach „mesh”., [???] тэстуе новыя тэхналогіі ў бесправадных сеткавых сетках., [???] тестує нові технології в бездротових мережах., [???] тестирует новые технологии в беспроводных ячеистых сетях.," [???] тества нови технологии в безжичните ""мрежови"" мрежи."," [???] preizkuša nove tehnologije v brezžičnem ""mesh"" omrežju.", [???] testuje nové technologie v bezdrátových „mesh“ sítích.
110, [???] to akronim oznaczający:," [???] - гэта абрэвіятура, якая азначае:"," [???] це абревіатура, що означає:"," [???] — это аббревиатура, обозначающая:"," [???] е акроним, който означава:", [???] je kratica za:, [???] je zkratka pro:
111," [???] jest właścicielem dużej liczby dużych stoczni i warsztatów naprawczych w całym swoim systemie, które są wykorzystywane do wielu operacji, od terminali intermodalnych po stocznie klasyfikacyjne."," [???] валодае вялікай колькасцю вялікіх версій і рамонтных майстэрняў па ўсёй сваёй сістэме, якія выкарыстоўваюцца для многіх аперацый, пачынаючы ад інтэрмадальных тэрміналаў і заканчваючы класіфікацыйнымі станцыямі."," [???] володіє великою кількістю великих верфів і ремонтних майстерень у своїй системі, які використовуються для багатьох операцій, починаючи від інтермодальних терміналів і закінчуючи класифікаційними станціями."," [???] владеет большим количеством крупных верфей и ремонтных мастерских по всей своей системе, которые используются для многих операций, от интермодальных терминалов до сортировочных верфей."," [???] притежава голям брой големи дворове и сервизи в цялата си система, които се използват за много операции, вариращи от интермодални терминали до класификационни заводи."," [???] ima v svojem sistemu veliko število velikih ladjedelnic in servisnih delavnic, ki se uporabljajo za številne operacije, od intermodalnih terminalov do klasifikacijskih postaj."," [???] vlastní velké množství velkých loděnic a opraváren v rámci svého systému, které se používají pro mnoho operací od intermodálních terminálů po klasifikační loděnice."
112," Kolejna próba rządu, aby przywrócić kontrolę nad zbuntowanymi wyspami siłą nie powiodła się, a obecnie [???] pośredniczy w negocjacjach mających na celu pojednanie."," Наступная спроба ўрада сілай аднавіць кантроль над мяцежнымі астравамі правалілася, і ў цяперашні час [???] вядзе перамовы, каб дамагчыся прымірэння."," Подальша спроба уряду відновити контроль над бунтівними островами силою зазнала невдачі, і в даний час [???] веде переговори про примирення."," Последующая попытка правительства восстановить контроль над мятежными островами силой потерпела неудачу, и в настоящее время [???] выступает посредником в переговорах о примирении.", Следващият опит на правителството да възстанови контрола над бунтовните острови със сила се провали и в момента [???] посредничи в преговорите за постигане на помирение.," Kasnejši poskus vlade, da s silo ponovno vzpostavi nadzor nad uporniškimi otoki, je propadel in trenutno [???] posreduje pri pogajanjih za spravo.", Následný pokus vlády znovu získat kontrolu nad povstaleckými ostrovy silou selhal a v současné době [???] zprostředkovává jednání o usmíření.
113," [???] jest również szkołą zróżnicowaną rasowo, w której około 52% wszystkich uczniów identyfikuje się jako osoby kolorowe."," [???] таксама з'яўляецца расавай разнастайнай школай, прыблізна 52% усіх вучняў ідэнтыфікуюць сябе як каляровыя людзі."," [???] також є расово різноманітною школою, приблизно 52% усіх учнів вважають себе кольоровими.", [???] также является школой с разнообразным расовым разнообразием: примерно 52% всех учащихся считают себя цветными.," [???] също е расово разнообразно училище, като приблизително 52% от всички ученици се самоопределят като цветнокожи."," [???] je tudi rasno raznolika šola, saj se približno 52 % vseh učencev identificira kot barvne osebe."," [???] je také rasově různorodá škola, přičemž přibližně 52 % všech studentů se identifikuje jako barevné osoby."
114," [???] jest domem dla bogatej różnorodności publikacji licencjackich, magisterskich i profesjonalnych."," [???] з'яўляецца домам для багатай разнастайнасці студэнтаў, магістрантаў і прафесійных публікацый."," [???] є домом для великої різноманітності студентських, аспірантських і професійних публікацій."," [???] является домом для большого разнообразия студенческих, аспирантских и профессиональных публикаций."," [???] е дом на богато разнообразие от бакалавърски, дипломни и професионални публикации."," [???] je dom bogate raznolikosti dodiplomskih, podiplomskih in strokovnih publikacij."," [???] je domovem bohaté rozmanitosti vysokoškolských, postgraduálních a odborných publikací."
115, [???] jest domem dla wielu licencjackich publikacji naukowych., [???] з'яўляецца домам для шматлікіх навуковых публікацый студэнтаў., [???] є домом для численних студентських академічних публікацій., [???] является домом для многочисленных студенческих академических публикаций., [???] е дом на множество студентски академични публикации., [???] je dom številnih dodiplomskih akademskih publikacij., [???] je domovem mnoha vysokoškolských akademických publikací.
116, [???] będzie koordynować długofalowe kierowanie media labem oraz zaangażowanie jego wydziałów i innych uczelni.," [???] будзе каардынаваць доўгатэрміновае кіраўніцтва медыялабараторыяй, а таксама ўдзел яе выкладчыкаў і выкладчыкаў іншых універсітэтаў."," [???] координуватиме довгострокове керівництво медіа-лабораторією, а також залучення її викладачів та викладачів інших університетів."," [???] будет координировать долгосрочное направление медиа-лаборатории, а также участие ее преподавателей и преподавателей других университетов."," [???] ще координира дългосрочното управление на медийната лаборатория, както и участието на нейните преподаватели и тези на други университети.", [???] bo usklajeval dolgoročno usmerjanje medijskega laboratorija ter sodelovanje njegove fakultete in drugih univerz., [???] bude koordinovat dlouhodobé směřování mediální laboratoře i zapojení její fakulty a dalších univerzit.
117, Każdy [???] jest ręcznie wybierany z pola piechoty i wysyłany przez baterię testów psychologicznych i fizycznych., Кожны [???] адбіраецца ўручную з пяхотнага поля і адпраўляецца праз шэраг псіхалагічных і фізічных выпрабаванняў., Кожен [???] відбирається вручну з поля піхоти і проходить через ряд психологічних і фізичних тестів., Каждого [???] отбирают вручную из числа пехотинцев и отправляют на ряд психологических и физических тестов., Всеки [???] се избира ръчно от пехотното поле и се изпраща през батерия от психологически и физически тестове., Vsak [???] je ročno izbran s pehotnega polja in poslan skozi vrsto psiholoških in fizičnih testov., Každý [???] je ručně vybrán z pěchotního pole a odeslán prostřednictvím baterie psychologických a fyzických testů.
118," Materiały te są czasami nazywane „resonitem”, co jest nazwą handlową [???] dotyczącą rodzaju tworzywa sztucznego."," Гэтыя матэрыялы часам называюць ""рэзанітам"", што з'яўляецца гандлёвай маркай [???] для свайго тыпу пластыка."," Ці матеріали іноді називають «резонитом», що є торговою маркою [???] для свого типу пластику."," Эти материалы иногда называют «резонит», что является торговой маркой [???] для своего типа пластика."," Тези материали понякога се наричат ​​""резонит"", което е търговската марка на [???] за неговия тип пластмаса."," Te materiale včasih imenujemo ""resonit"", kar je [???] blagovna znamka za svojo vrsto plastike."," Tyto materiály se někdy nazývají „resonit“, což je obchodní značka [???] pro svůj typ plastu."
119, [???] odpowiada za decydowanie o konstytucyjności prawa lub spraw związanych z prawem.," [???] адказвае за прыняцце рашэння аб канстытуцыйнасці закона або спраў, якія тычацца закону."," [???] несе відповідальність за вирішення питання про конституційність закону або справ, які стосуються закону."," [???] несет ответственность за принятие решения о конституционности закона или дел, поскольку они относятся к закону."," [???] отговаря за вземане на решения относно конституционността на закона или случаите, тъй като те се отнасят до закона."," [???] je odgovoren za odločanje o ustavnosti zakona ali primerov, ki se nanašajo na zakon."," [???] je odpovědný za rozhodování o ústavnosti zákona nebo případů, které se týkají zákona."
