,pl,be,uk,ru,bg,sl,cs
172,Nauka w domu jest obecnie dozwolona [loc].,Хатняе навучанне ў цяперашні час дазволена [loc].,Наразі домашнє навчання дозволено [loc].,Домашнее обучение в настоящее время разрешено [loc].,Понастоящем домашното обучение е разрешено [loc].,Šolanje na domu je trenutno dovoljeno [loc].,Domácí vzdělávání je v současné době povoleno [loc].
173,Po naszym zerwaniu stał przed moim domem [loc] i płakał.,"Пасля таго, як мы рассталіся, ён стаяў ля майго дома [loc] і плакаў.","Після того, як ми розлучилися, він стояв біля мого дому [loc] і плакав.","После того, как мы расстались, он стоял возле моего дома [loc] и плакал.","След като се разделихме, той стоеше пред дома ми [loc] и плачеше.","Ko sva se razšla, je stal pred mojim domom [loc] in jokal.","Poté, co jsme se rozešli, stál před mým domem [loc] a plakal."
174,120 z tych statków rozpoczęło lub zakończyło rejs [loc].,"120 з гэтых караблёў альбо пачалі, альбо скончылі круіз [loc].",120 із цих кораблів розпочали або завершили круїз [loc].,"120 из этих кораблей либо начали, либо закончили поход [loc].","120 от тези кораби или започнаха, или приключиха круиза [loc].",120 od teh ladij je začelo ali končalo križarjenje [loc].,120 z těchto lodí buď zahájilo nebo ukončilo plavbu [loc].
175,Otwarta do podpisu 18 maja 1977 [loc] i weszła w życie 5 października 1978 r.,Ён быў адкрыты для падпісання 18 мая 1977 г. [loc] і ўступіў у сілу 5 кастрычніка 1978 г.,Він був відкритий для підписання 18 травня 1977 року [loc] і набув чинності 5 жовтня 1978 року.,Он был открыт для подписания 18 мая 1977 года [loc] и вступил в силу 5 октября 1978 года.,Отворено е за подписване на 18 май 1977 г. [в ​​???] и влезе в сила на 5 октомври 1978 г.,Za podpis je bil odprt 18. maja 1977 [loc] in je začel veljati 5. oktobra 1978.,Byla otevřena k podpisu dne 18. května 1977 [loc] a vstoupila v platnost dne 5. října 1978.
176,Zaczął pracować w handlu gazetami pod okiem swojego ojca [loc].,Ён пачаў працаваць у газетным гандлі ў свайго бацькі [loc].,Він почав працювати в газетній торгівлі у свого батька [loc].,Он начал работать в газетной торговле при своем отце [loc].,Той започва да работи в търговията с вестници при баща си [loc].,Začel je delati v trgovini s časopisi pod očetom [loc].,Začal pracovat v novinách pod svým otcem [loc].
177,"Jego ciało zostało zwrócone do miejsca urodzenia [loc], gdzie został pochowany blisko rodziców.","Яго цела вярнулі на радзіму [loc], дзе ён быў пахаваны побач з бацькамі.","Його тіло було повернуто до місця народження [loc], де він був похований поруч із батьками.","Его тело было возвращено на место его рождения [loc], где он был похоронен рядом со своими родителями.","Тялото му е върнато в родното му място [loc], където е погребан близо до родителите си.","Njegovo truplo so vrnili v rojstni kraj [loc], kjer so ga pokopali blizu staršev.","Jeho tělo bylo vráceno do jeho rodiště [loc], kde byl pohřben blízko svých rodičů."
178,W konsekwencji nierówność dochodów [loc] jest jedną z najwyższych na świecie.,"Як следства, няроўнасць даходаў [loc] з'яўляецца адной з самых высокіх у свеце.","Як наслідок, нерівність доходів [loc] є однією з найвищих у світі.","Как следствие, неравенство доходов [loc] является одним из самых высоких в мире.",В резултат на това неравенството в доходите [loc] е едно от най-високите в света.,Posledično je dohodkovna neenakost [loc] ena najvišjih na svetu.,V důsledku toho je příjmová nerovnost [loc] jedna z nejvyšších na světě.
179,Szereg znanych w całym kraju marek powstało [loc] fabrykach i laboratoriach.,Шэраг нацыянальна вядомых гандлёвых марак узнік [на ???] фабрыках і лабараторыях.,Ряд національно відомих торгових марок виник [на ???] фабриках і лабораторіях.,Ряд общеизвестных торговых марок был создан [на ???] фабриках и лабораториях.,Редица национално известни марки са възникнали [loc] фабрики и лаборатории.,Številne nacionalno znane blagovne znamke so nastale [loc] tovarnah in laboratorijih.,Řada celonárodně známých značek má původ v [???] továrnách a laboratořích.
180,On umarł w ???].,Ён памёр [loc].,Він помер [loc].,Он умер в ???].,Той умря [loc].,Umrl je [loc].,Zemřel v ???].
181,"Uciekł, nie chcąc być więzionym, i stał się wędrowcem [loc].","Ён уцёк, не жадаючы саджаць у турму, і стаў вандроўнікам [loc].","Він утік, не бажаючи бути ув’язненим, і став мандрівником [loc].","Он бежал, не желая оказаться в заточении, и стал странником [loc].","Той избяга, не желаейки да бъде затворен, и стана скитник [loc].","Pobegnil je, ker ni hotel biti zaprt, in postal potepuh [loc].","Utekl, nechtěl být uvězněn, a stal se tulákem [loc]."
182,Omawiane są plany połączenia dwóch szlaków [loc].,Абмяркоўваюцца планы злучэння дзвюх трас [loc].,Обговорюються плани з’єднання двох трас [loc].,Обсуждаются планы по соединению двух троп [loc].,Обсъждат се планове за свързване на двете пътеки [loc].,Razpravljajo se o načrtih za povezavo obeh poti [loc].,Projednává se plány na propojení obou stezek [loc].
183,Popularna gra w domino [loc] to 42.,Папулярная гульня ў даміно [loc] - гэта 42.,Популярною грою в доміно [loc] є 42.,Популярная игра в домино [loc] равна 42.,Популярна игра на домино [loc] е 42.,Priljubljena igra domina [loc] je 42.,Populární domino hra [loc] je 42.
184,"Hazard z trzema lub czasami dwoma kostkami był bardzo popularną formą rozrywki [loc], zwłaszcza wśród klas wyższych, i był prawie niezmiennym akompaniamentem sympozjów.","Азартныя гульні з трыма, а часам і двума кубікамі, былі вельмі папулярнай формай забавы [loc], асабліва ў вышэйшых класах, і былі амаль нязменным суправаджэннем сімпозіумаў.","Азартні ігри з трьома або іноді двома кубиками були дуже популярною формою розваги [loc], особливо серед вищих класів, і були майже незмінним супроводом симпозіумів.","Азартные игры с тремя, а иногда и с двумя костями были очень популярной формой развлечения [loc], особенно среди высших слоев общества, и почти неизменно сопровождали симпозиумы.","Хазартът с три или понякога два зара беше много популярна форма на забавление [loc], особено сред по-горните класове, и беше почти неизменен съпровод на симпозиуми.","Igre na srečo s tremi ali včasih dvema kockama so bile zelo priljubljena oblika zabave [loc], zlasti pri višjih slojih, in je bila skoraj nespremenljiva spremljevalka simpozijev.","Hazardní hry se třemi nebo někdy dvěma kostkami byly velmi oblíbenou formou zábavy [loc], zejména u vyšších tříd, a byly téměř neměnným doprovodem sympozií."
185,"Rozpoznanie raka gardła skłoniło jego lekarzy do zalecenia nowej, eksperymentalnej terapii radioterapii, którą proponowano [loc].","Дыягназ рака горла прымусіў яго лекараў рэкамендаваць новы і эксперыментальны метад прамянёвай тэрапіі, які прапаноўваўся [loc].","Діагноз раку горла спонукав його лікарів рекомендувати нове експериментальне лікування променевої терапії, яке пропонувалося [loc].","Диагноз рака горла побудил его врачей порекомендовать новое и экспериментальное лечение лучевой терапией, которое предлагалось [loc].","Диагнозата на рак на гърлото накара лекарите му да препоръчат ново и експериментално лечение с лъчева терапия, което се предлага [loc].","Diagnoza raka na grlu je njegove zdravnike pripeljala do tega, da so priporočili novo in eksperimentalno zdravljenje z obsevanjem, ki je bilo na voljo [loc].","Diagnóza rakoviny hrdla vedla jeho lékaře k doporučení nové a experimentální radiační terapie, která byla nabízena [loc]."
186,"Poza kosztami, klimatyzacja jest często uważana za nieprzyjazną dla środowiska, mimo że większość energii w gospodarstwie domowym [loc] pochodzi z elektrowni wodnych i jądrowych.","Акрамя кошту, кандыцыянаванне паветра часта лічыцца экалагічна небяспечным, нягледзячы на ​​тое, што большасць бытавых энергіі [loc] паступае з гідра- і атамнай энергіі.","Крім вартості, кондиціонування повітря часто вважається екологічно небезпечним, навіть незважаючи на те, що більшість побутової енергії [loc] надходить від гідро- та атомної енергії.","Помимо стоимости, кондиционирование воздуха часто считается экологически неблагоприятным, даже несмотря на то, что большая часть бытовой энергии [loc] поступает от гидро- и атомной энергии.","Освен цената, климатизацията често се счита за неблагоприятна за околната среда, въпреки че по-голямата част от битовата енергия [loc] идва от хидро и ядрена енергия.","Poleg stroškov se klimatska naprava pogosto šteje za okolju neprijazno, čeprav večina energije v gospodinjstvu [loc] prihaja iz vodne in jedrske energije.","Kromě nákladů je klimatizace často považována za nešetrnou k životnímu prostředí, i když většina energie v domácnostech [loc] pochází z vodních a jaderných elektráren."
187,Wykonywano ją także [loc] w 1732 r.,Яна таксама была выканана [loc] у 1732 годзе.,Це також було виконано [loc] у 1732 році.,Он также был исполнен [loc] в 1732 году.,Също така е извършено [loc] през 1732 г.,Izvedena je bila tudi [loc] leta 1732.,To bylo také provedeno [loc] v roce 1732.
188,Wraz z państwowym podatkiem od sprzedaży istnieje ponad 300 podatków lokalnych [loc].,Разам з дзяржаўным падаткам з продажаў існуе больш за 300 мясцовых падаткаў [loc].,Поряд з державним податком з продажу існує понад 300 місцевих податків [loc].,Наряду с государственным налогом с продаж существует более 300 местных налогов [loc].,Заедно с държавния данък върху продажбите има повече от 300 местни данъци [loc].,Poleg državnega prometnega davka obstaja več kot 300 lokalnih davkov [loc].,Spolu se státní daní z obratu existuje více než 300 místních daní [loc].
189,"Szacuje się, że schronienia szukało 95 700 uchodźców i osób ubiegających się o status uchodźcy [loc].","Паводле ацэнак, 95 700 бежанцаў і асоб, якія шукаюць прытулку, звярнуліся за прытулкам [loc].","Підраховано, що 95 700 біженців та шукачів притулку звернулися за притулком [loc].","По оценкам, 95 700 беженцев и лиц, ищущих убежища, нашли убежище [loc].","Смята се, че 95 700 бежанци и търсещи убежище са потърсили убежище [loc].","Ocenjuje se, da je 95.700 beguncev in prosilcev za azil poiskalo zatočišče [loc].","Odhaduje se, že útočiště [loc] vyhledalo 95 700 uprchlíků a žadatelů o azyl."
190,"W sektorze komunalnym [loc] 45% całej konsumpcji żywności to żywność ekologiczna, ale cel jest znacznie wyższy.","У муніцыпальным сектары [loc] 45% усяго спажывання ежы з'яўляецца арганічным, але мэта значна вышэй.","У муніципальному секторі [loc] 45 % усіх продуктів харчування є органічними, але ціль значно вища.","В муниципальном секторе [loc] 45 % всего потребления продуктов питания составляют органические продукты, но цель значительно выше.","В общинския сектор [loc] 45 % от цялата консумация на храна е органична, но целта е значително по-висока.","V občinskem sektorju [loc] je 45 % vse porabe hrane ekološke, vendar je cilj bistveno višji.","V komunálním sektoru [loc] je 45 % veškeré spotřeby potravin ekologických, ale cíl je podstatně vyšší."
191,"Jest bardzo dużo szlaków i rezerwatów przyrody [loc], a większość z nich nadaje się do jazdy na rakietach śnieżnych i nart biegowych.","Тут вельмі шмат трас і запаведнікаў [loc], і большасць з іх падыходзяць для катання на снегоступах і бегавых лыжах.","Є дуже багато трас і заповідників [loc], і більшість з них придатні для катання на снігоступах і бігових лижах.","Троп и заповедников [loc] великое множество, и большинство этих троп подходят для снегоступов и беговых лыж.","Има много пътеки и природни резервати [loc], като по-голямата част от тези пътеки са подходящи за снегоходки и ски за бягане.","Veliko je poti in naravnih rezervatov [loc], večina teh poti je primernih za krpljanje in tek na smučeh.",Je zde velké množství tras a přírodních rezervací [loc] a většina těchto tras je vhodná pro sněžnice a běžky.
192,Mieszka [loc] od 1982 roku.,Яна жыве [loc] з 1982 года.,Вона живе [loc] з 1982 року.,Она живет [loc] с 1982 года.,Тя живее [loc] от 1982 г.,Živi [loc] od leta 1982.,Od roku 1982 žije [loc].
193,Kardynał jest jednym z najczęstszych nazwisk wśród tubylców [loc].,Кардынал — адно з самых распаўсюджаных прозвішчаў сярод абарыгенаў [loc].,Кардинал — одне з найпоширеніших прізвищ у аборигенів [loc].,Кардинал — одна из самых распространенных фамилий среди аборигенов [loc].,Кардинал е едно от най-често срещаните фамилни имена сред аборигените [loc].,Kardinal je eden najpogostejših priimkov med staroselci [loc].,Kardinál je jedním z nejčastějších příjmení mezi domorodými lidmi [loc].
194,"Funkcjonuje jako medium lokalnej historii i folkloru, a zatem jest cenioną kulturową formą ekspresji, która jest częścią programu nauczania [loc] szkołach.","Яно дзейнічае як сродак мясцовай гісторыі і фальклору і таму з'яўляецца запаветнай формай культурнага выражэння, якая ўваходзіць у праграму навучання [loc] школах.","Вона функціонує як засіб краєзнавчої історії та фольклору, а отже, є заповітною формою культурного вираження, яка є частиною навчальної програми [loc] школах.","Он функционирует как средство местной истории и фольклора и, следовательно, является заветной формой культурного самовыражения, которая является частью учебной программы [loc] школах.","Той функционира като средство за местна история и фолклор и следователно е ценена културна форма на изразяване, която е част от учебната програма [loc] училища.","Deluje kot medij lokalne zgodovine in folklore in je zato cenjena kulturna izrazna oblika, ki je del učnega načrta [loc] šolah.","Funguje jako médium místní historie a folklóru, a je proto ceněnou kulturní formou vyjádření, která je součástí osnov [loc] školách."
195,Jest bardzo popularny [loc].,Гэта вельмі папулярна [loc].,Він дуже популярний [loc].,Он очень популярен [loc].,Той е много популярен [loc].,Je zelo priljubljena [loc].,Je velmi populární [loc].
196,"Najemnicy byli zwykle skutecznymi żołnierzami, zwłaszcza w połączeniu ze stałymi siłami, ale [loc] zdominowali armie państw-miast.","Найміты, як правіла, былі эфектыўнымі салдатамі, асабліва ў спалучэнні з пастаяннымі сіламі, але [loc] яны сталі дамінаваць у арміях гарадоў-дзяржаў.","Найманці, як правило, були ефективними солдатами, особливо в поєднанні з постійними силами, але [loc] вони стали домінувати в арміях міст-держав.","Наемники, как правило, были эффективными солдатами, особенно в сочетании с постоянными силами, но [loc] они стали доминировать в армиях городов-государств.","Наемниците са имали тенденция да бъдат ефективни войници, особено в комбинация с постоянни сили, но [loc] те започнаха да доминират над армиите на градовете държави.","Plačanci so bili ponavadi učinkoviti vojaki, zlasti v kombinaciji s stoječimi silami, vendar so [loc] začeli prevladovati nad vojskami mestnih držav.","Žoldáci inklinovali být efektivními vojáky, zvláště v kombinaci se stálými jednotkami, ale [loc] začali ovládat armády městských států."
197,Wzrost tytoniu jako towaru [loc] można mierzyć liczbą niewolników sprowadzanych do jego uprawy.,"Рост тытуню як тавару [loc] можна было вымераць колькасцю рабоў, завезеных для яго вырошчвання.","Зростання тютюну як товару [loc] можна було виміряти кількістю рабів, імпортованих для його вирощування.","Рост табака как товара [loc] можно было измерить количеством рабов, ввозимых для его выращивания.","Растежът на тютюна като стока [loc] може да се измери с броя на роби, внесени, за да го отглеждат.","Rast tobaka kot blaga [loc] bi lahko izmerili s številom sužnjev, uvoženih za njegovo pridelavo.",Růst tabáku jako komodity [loc] by se dal měřit počtem otroků dovezených za účelem jeho pěstování.
198,"Z tej populacji 8,4 % urodziło się [loc].","З гэтага насельніцтва 8,4 % нарадзіліся [loc].","З цього населення 8,4 % народилися [loc].","Из этого населения 8,4 % родились [loc].","От това население 8,4 % са родени [loc].","Od te populacije je bilo rojenih 8,4 % [loc].","Z této populace se 8,4 % narodilo [loc]."
199,"Z floty 66 jednostek nawodnych, osiem to główne okręty bojowe, których baza znajduje się [loc].",З флоту з 66 надводных судоў восем з'яўляюцца буйнымі баявымі караблямі і базуюцца [loc].,"З флоту, що складається з 66 надводних кораблів, вісім є основними бойовими кораблями, які базуються [loc].",Из флота из 66 надводных кораблей восемь являются крупными боевыми кораблями и базируются они [loc].,"От флота от 66 надводни кораба, осем са основни бойни кораби и са базирани [loc].",Od flote 66 površinskih plovil je osem glavnih bojnih ladij in imajo sedež [loc].,Z flotily 66 hladinových plavidel je osm hlavních bojových lodí a sídlí v [???].
200,Pierwszy został otwarty w 1883 r. [loc].,Першы быў адкрыты ў 1883 годзе [loc].,Перший був відкритий у 1883 році [loc].,Первый был открыт в 1883 году [loc].,Първият е открит през 1883 г. [в ​​???].,Prva je bila odprta leta 1883 [loc].,První byl otevřen v roce 1883 [loc].
201,"To daje mu reputację jednego z najstarszych fortów na wzgórzu na świecie, a na pewno jest najstarszym wśród fortów [loc].","Гэта дае яму рэпутацыю аднаго з найстарэйшых гарадзішчаў у сьвеце і, безумоўна, найстарэйшага сярод гарадоў [loc].","Це дає йому репутацію одного з найстаріших укріплень у світі, і це, безумовно, найстаріший серед фортів [loc].","Это дает ему репутацию одного из старейших городищ мира, и он определенно самый старый среди городищ [loc].",Това му дава репутацията на едно от най-старите хълмове в света и определено е най-старото сред хълмовете [loc].,To mu daje sloves enega najstarejših gradišč na svetu in je zagotovo najstarejše med gradiščami [loc].,To mu dává pověst jedné z nejstarších pevností na světě a rozhodně je nejstarší mezi pevnostmi na kopcích [loc].
202,"Zatrudnionych jest 466 829 osób [loc], z czego 62,3% w pełnym i 35,1% w niepełnym wymiarze godzin.","Налічваецца 466 829 занятых [loc], з іх 62,3 % поўны працоўны дзень і 35,1 % няпоўны працоўны дзень.","Працевлаштовано 466 829 осіб [loc], з них 62,3 % повний робочий день і 35,1 % неповний робочий день.","Занятых [loc] 466 829 человек, из них 62,3 % полный рабочий день и 35,1 % неполный рабочий день.","Има 466 829 заети лица [loc], от които 62,3 % на пълен работен ден и 35,1 % на непълно работно време.","[loc] je 466.829 zaposlenih, od tega 62,3 % za polni in 35,1 % za krajši delovni čas.","[loc] je zaměstnáno 466 829 lidí, z toho 62,3 % na plný úvazek a 35,1 % na částečný úvazek."
203,Główne drogi pomocy federalnej [loc]:,Асноўныя магістралі федэральнай дапамогі [loc]:,Основні магістралі федеральної допомоги [loc]:,Основные магистрали федеральной помощи [loc]:,Основни магистрали за федерална помощ [loc]:,Glavne avtoceste zvezne pomoči [loc]:,Hlavní dálnice federální pomoci [loc]:
204,"Wojna w koloniach była coraz bardziej niepopularna [w samej ???], ponieważ ludzie zmęczyli się wojną i sprzeciwiali się stale rosnącym wydatkom.","Вайна ў калоніях рабілася ўсё больш непапулярнай [сама па сабе], бо людзі стаміліся ад вайны і адмаўляліся ад яе пастаянна растучых выдаткаў.","Війна в колоніях ставала дедалі непопулярнішою [сама ???], оскільки люди втомилися від війни і відмовлялися від її постійно зростаючих витрат.","Война в колониях становилась все более непопулярна [loc] сама по себе, поскольку люди устали от войны и отказывались от ее постоянно растущих расходов.","Войната в колониите беше все по-непопулярна [сама по себе си], тъй като хората се умориха от войната и се въздържаха от постоянно нарастващите й разходи.","Vojna v kolonijah je bila vse bolj nepriljubljena [???] sama po sebi, saj so se ljudje naveličali vojne in so se zadrževali pred vedno večjimi stroški.","Válka v koloniích byla sama o sobě stále více nepopulární, protože lidé byli válkou unaveni a bránili se neustále rostoucím výdajům."
205,Kanada ma ambasadę [loc].,Канада мае пасольства [loc].,Канада має посольство [loc].,У Канады есть посольство [loc].,Канада има посолство [loc].,Kanada ima veleposlaništvo [loc].,Kanada má velvyslanectví [loc].
206,Został nakręcony w całości [loc].,Ён быў зняты цалкам [loc].,Він був знятий повністю [loc].,Он был полностью снят [loc].,Заснет е изцяло [loc].,Posneto je bilo v celoti [loc].,Bylo to natočeno úplně [loc].
207,Wszystkie trzy mają siedzibę [loc].,Усе тры заснаваныя [loc].,Усі три засновані [loc].,Все трое базируются [loc].,И трите са базирани [loc].,Vsi trije imajo sedež [loc].,Všechny tři sídlí [loc].
208,Traktat był postrzegany [loc] jako upokarzająca kontynuacja wojny.,Дагавор быў успрыняты [loc] як зневажальны працяг вайны.,Договір сприймався [loc] як принизливе продовження війни.,Договор был воспринят [loc] как унизительное продолжение войны.,Договорът се възприема [loc] като унизително продължение на войната.,Pogodba je bila dojeta [loc] kot ponižujoče nadaljevanje vojne.,Smlouva byla vnímána [loc] jako ponižující pokračování války.
209,"Ustalili, że była to prawdziwa czaszka młodego samca lamparta, ale odkryli również, że kot nie umarł [loc] i że czaszka została przywieziona jako część dywanu ze skóry lamparta.","Яны вызначылі, што гэта сапраўдны чэрап маладога самца леапарда, але таксама выявілі, што котка не памерла [loc] і што чэрап быў імпартаваны як частка дывана са скуры леапарда.","Вони визначили, що це був справжній череп молодого самця леопарда, але також виявили, що кіт не помер [loc] і що череп був імпортований як частина килима зі шкіри леопарда.","Они определили, что это настоящий череп молодого самца леопарда, но также обнаружили, что кошка не умерла [loc] и что череп был ввезен как часть ковра из шкуры леопарда.","Те установили, че това е истински череп от млад мъжки леопард, но също така установили, че котката не е умряла [loc] и че черепът е бил внесен като част от килим от леопардова кожа.","Ugotovili so, da gre za pravo lobanjo mladega samca leoparda, ugotovili pa so tudi, da mačka ni umrla [loc] in da je bila lobanja uvožena kot del preproge iz leopardne kože.","Zjistili, že se jedná o pravou lebku mladého samce leoparda, ale také zjistili, že kočka nezemřela [loc] a že lebka byla dovezena jako součást koberce z leopardí kůže."
210,Przypisuje edukację zamiast imperializmu kulturowego za szybkie i znaczące zmiany [loc].,"Хуткія і значныя змены [loc] яна прыпісвае адукацыі, а не культурнаму імперыялізму.","Швидкі й значні зміни вона вважає освітою, а не культурним імперіалізмом.","Она приписывает образованию, а не культурному империализму, быстрые и значительные изменения [loc].","Тя приписва образованието, вместо културния империализъм, за бързите и значителни промени [loc].",Za hitre in pomembne spremembe [loc] pripisuje izobraževanje namesto kulturnega imperializma.,Za rychlé a významné změny [loc] vděčí vzdělání místo kulturnímu imperialismu.
211,Takie znaki były dość powszechne [loc].,Такія персанажы былі досыць распаўсюджанымі [loc].,Такі персонажі були досить поширеними [loc].,Такие персонажи были достаточно распространены [loc].,Такива герои бяха достатъчно често срещани [loc].,Takšni znaki so bili dovolj pogosti [loc].,Takové znaky byly dost běžné [loc].
212,"Od 2006 r. wiodącymi gałęziami przemysłu wytwórczego [loc], w oparciu o wartość dodaną, były: produkcja chemiczna (18,3 miliarda dolarów), produkcja maszyn (13,4 miliarda dolarów), produkcja żywności (12,9 miliarda dolarów), wyroby metalowe ( 11,5 miliarda dolarów), sprzęt transportowy (7,4 miliarda dolarów), wyroby z tworzyw sztucznych i gumy (7,0 miliarda dolarów) oraz produkty komputerowe i elektroniczne (6,1 miliarda dolarów).","Па стане на 2006 год вядучымі галінамі вытворчасці [loc], зыходзячы з дабаўленай вартасці, былі хімічная вытворчасць (18,3 млрд. долараў), машынабудаванне (13,4 млрд. долараў), харчовая прамысловасць (12,9 млрд. долараў), вырабы з металу ( 11,5 млрд долараў), транспартнага абсталявання (7,4 млрд долараў), пластмас і гумовых вырабаў (7,0 млрд долараў), камп'ютэрнай і электроннай прадукцыі (6,1 млрд долараў).","Станом на 2006 рік провідними галузями обробної промисловості [loc], з урахуванням доданої вартості, були хімічне виробництво (18,3 млрд дол.), машинобудування (13,4 млрд дол.), харчове виробництво (12,9 млрд дол.), готові металеві вироби ( 11,5 млрд доларів), транспортне обладнання (7,4 млрд доларів), вироби з пластмас і гуми (7,0 млрд доларів), комп’ютерні та електронні вироби (6,1 млрд доларів).","По состоянию на 2006 год ведущими отраслями обрабатывающей промышленности [loc] по добавленной стоимости были химическое производство (18,3 млрд долларов), машиностроение (13,4 млрд долларов), производство продуктов питания (12,9 млрд долларов), изготовление металлических изделий ( 11,5 млрд долларов), транспортное оборудование (7,4 млрд долларов), пластмассовые и резиновые изделия (7,0 млрд долларов), а также компьютерную и электронную продукцию (6,1 млрд долларов).","Към 2006 г. водещите производствени индустрии [loc], базирани на добавена стойност, са химическо производство (18,3 милиарда долара), производство на машини (13,4 милиарда долара), производство на храни (12,9 милиарда долара), готови метални изделия ( 11,5 милиарда долара), транспортно оборудване (7,4 милиарда долара), пластмасови и каучукови изделия (7,0 милиарда долара) и компютърни и електронни продукти (6,1 милиарда долара).","Od leta 2006 so bile vodilne proizvodne industrije [loc], ki temeljijo na dodani vrednosti, kemična proizvodnja (18,3 milijarde dolarjev), proizvodnja strojev (13,4 milijarde dolarjev), proizvodnja hrane (12,9 milijarde dolarjev), gotovi kovinski izdelki ( 11,5 milijarde dolarjev), transportna oprema (7,4 milijarde dolarjev), izdelki iz plastike in gume (7,0 milijarde dolarjev) ter računalniški in elektronski izdelki (6,1 milijarde dolarjev).","V roce 2006 byly předními zpracovatelskými průmysly [loc], na základě přidané hodnoty, chemická výroba (18,3 miliard USD), výroba strojů (13,4 miliard USD), výroba potravin (12,9 miliard USD), kovodělné výrobky ( 11,5 miliardy USD), dopravní zařízení (7,4 miliardy USD), výrobky z plastů a pryže (7,0 miliardy USD) a počítačové a elektronické výrobky (6,1 miliardy USD)."
213,Ustanowił również rekord pod względem najwyższej ceny zapłaconej na aukcji [loc].,"Ён таксама паставіў рэкорд па самай высокай цане, заплачанай на аўкцыёне [loc].","Він також встановив рекорд найвищої ціни, сплаченої на аукціоні [loc].","Он также установил рекорд по самой высокой цене, уплаченной на аукционе [loc].","Той също така постави рекорд за най-висока цена, платена на търг [loc].","Postavil je tudi rekord za najvišjo ceno, plačano na dražbi [loc].",Stanovil také rekord v nejvyšší ceně zaplacené v aukci [loc].
214,"W drodze powrotnej po zaprzestaniu oblężenia zachorował na czerwonkę, którą lekarze złagodzili, ale przerodziła się w gorączkę [loc].","На зваротным шляху пасля адмовы ад аблогі ён захварэў на дызентэрыю, якая была палегчана лекарамі, але перайшла ў ліхаманку [loc].","На зворотному шляху після відмови від облоги він захворів на дизентерію, яку лікарі полегшили, але переросла в лихоманку [loc].","На обратном пути после снятия осады он заболел дизентерией, которая была облегчена врачами, но перешла в лихорадку [loc].","На връщане, след като се отказа от обсадата, той се разболява от дизентерия, която е облекчена от лекарите, но преминава в треска [loc].","Na poti nazaj, potem ko je opustil obleganje, je zbolel za grižo, ki so jo zdravniki omilili, a se je spremenila v vročino [loc].","Na zpáteční cestě poté, co se vzdal obléhání, onemocněl úplavicí, kterou lékaři zmírnili, ale změnila se v horečku [loc]."
215,Ich baza była głównie [loc].,Іх база была ў асноўным [loc].,Їх база була переважно [loc].,Их база была в основном [loc].,Тяхната база беше основно [loc].,Njihova baza je bila predvsem [loc].,Jejich základna byla hlavně [loc].
216,"Popularne style ubioru znane są z wyjątkowo dobrze zachowanych zwłok, które znaleziono na dawnych bagnach w kilku miejscach [loc] i obejmowały wełnianą odzież i broszki dla kobiet oraz spodnie i skórzane czapki dla mężczyzn.","Распаўсюджаныя стылі адзення вядомыя па надзвычай добра захаваных трупах, якія былі знойдзены на былых балотах у некалькіх месцах [loc], і ўключалі ваўняную вопратку і брошкі для жанчын і штаны і скураныя шапкі для мужчын.","Поширені стилі одягу відомі з надзвичайно добре збережених трупів, які були знайдені на колишніх болотах у кількох місцях [loc], і включали вовняний одяг та брошки для жінок та штани та шкіряні шапки для чоловіків.","Общие стили одежды известны по удивительно хорошо сохранившимся трупам, которые были найдены в бывших болотах в нескольких местах [loc], и включали шерстяные одежды и броши для женщин и брюки и кожаные шапки для мужчин.","Често срещаните стилове на облекло са известни от забележително добре запазените трупове, които са открити в бивши блата на няколко места [loc], и включват вълнени дрехи и брошки за жени и панталони и кожени шапки за мъже.","Običajni slogi oblačil so znani po izjemno dobro ohranjenih truplih, ki so jih našli v nekdanjih močvirjih na več lokacijah [loc], in so vključevali volnena oblačila in broške za ženske ter hlače in usnjene kape za moške.","Běžné oděvní styly jsou známé z pozoruhodně zachovalých mrtvol, které byly nalezeny v bývalých močálech na několika místech [loc], a zahrnovaly vlněné oděvy a brože pro ženy a kalhoty a kožené čepice pro muže."
217,Ożywiające się życie gospodarcze [loc] zwiększyło liczbę miast i nadało im większe znaczenie.,Паскоранае эканамічнае жыццё [loc] павялічыла колькасць гарадоў і надала ім большае значэнне.,Прискорення економічного життя [loc] збільшило кількість міст і надало їм більшого значення.,Оживление экономической жизни [loc] увеличило количество городов и придало им большее значение.,Ускоряващият се икономически живот [loc] увеличи броя на градовете и им придаде по-голямо значение.,Pospešeno gospodarsko življenje [loc] je povečalo število mest in jim dalo večji pomen.,Zrychlující se hospodářský život [loc] zvýšil počet měst a dodal jim větší význam.
218,"Trzy wierzchołki trójzębu reprezentują [loc] trzy zasady demokracji – „rządy, dla i przez lud”.","Тры кропкі трызубца ўяўляюць [loc] тры прынцыпы дэмакратыі - «кіраванне народам, для і народам».","Три точки тризуба представляють [loc] три принципи демократії - «уряд народу, для і за допомогою народу».",Три острия трезубца представляют [loc] три принципа демократии — «правительство народа для народа».,"Трите точки на тризъбеца представляват [loc] трите принципа на демокрацията - ""управление на, за и от народа.""","Tri točke trizoba predstavljajo [loc] tri načela demokracije - ""vlada, za in po ljudstvu.""","Tři body trojzubce představují [loc] tři principy demokracie - ""vláda lidu, pro lid a skrze lid."""
