,pl,be,uk,ru,bg,sl,cs
330,Stolica,Сталіца,Столиця,Столица,Столица,Glavno mesto,Hlavní město
332,Rzeczpospolita Obojga Narodów,Рэч Паспалітая,Річ Посполита,Речь Посполитая,Жечпосполита,Republika obeh narodov,Polsko-litevská unie
333,Język polski,Польская мова,Польська мова,Польский язык,Полски език,Poljščina,Polština
334,Wielkie Księstwo Litewskie,Вялікае Княства Літоўскае,Велике князівство Литовське,Великое княжество Литовское,Велико литовско княжество,Velika litovska kneževina,Litevské velkoknížectví
337,Lista państw świata,Спіс краін паводле алфавіта,Список країн світу,Список государств,Списък на страните,Seznam suverenih držav,Seznam států světa
338,St. Petersburg,Сент-Пітэрсберг,Сент-Пітерсберг,Сент-Питерсберг,Сейнт Питърсбърг,Saint Petersburg,St. Petersburg
341,Szkocja,Шатландыя,Шотландія,Шотландия,Шотландия,Škotska,Skotsko
342,Filadelfia,Філадэльфія,Філадельфія,Филадельфия,Филаделфия,"Filadelfija, Pensilvanija",Filadelfie
343,Puebla,Эроіка-Пуэбла-дэ-Сарагоса,Пуебла,Пуэбла-де-Сарагоса,Пуебла,Puebla de Zaragoza,Puebla
345,Półwysep Krymski,Крым,Крим,Крым,Крим,Krim,Krym
346,Detroit,Дэтройт,Детройт,Детройт,Детройт,Detroit,Detroit
347,Cchinwali,Цхінвалі,Цхінвалі,Цхинвал,Цхинвали,Chinval,Cchinvali
350,Zhengzhou,Чжэнчжоу,Чженчжоу,Чжэнчжоу,Джънджоу,Džengdžov,Čeng-čou
352,Port-au-Prince,Порт-о-Прэнс,Порт-о-Пренс,Порт-о-Пренс,Порт о Пренс,Port-au-Prince,Port-au-Prince
353,Chorwacja,Харватыя,Хорватія,Хорватия,Хърватия,Hrvaška,Chorvatsko
354,Bułgaria,Балгарыя,Болгарія,Болгария,България,Bolgarija,Bulharsko
355,Thorshavn,Торсхаўн,Торсгавн,Торсхавн,Торсхавн,Tórshavn,Tórshavn
358,Związek Socjalistycznych Republik Radzieckich,СССР,Союз Радянських Соціалістичних Республік,Союз Советских Социалистических Республик,Съюз на съветските социалистически републики,Sovjetska zveza,Sovětský svaz
361,Rusini karpaccy,Русіны,Русини,Русины,Русини,Rusini,Rusíni
363,Jamajka,Ямайка,Ямайка,Ямайка,Ямайка,Jamajka,Jamajka
366,Łotwa,Латвія,Латвія,Латвия,Латвия,Latvija,Lotyšsko
369,Andora,Андора,Андорра,Андорра,Андора,Andora,Andorra
371,Baranowicze,Баранавічы,Барановичі,Барановичи,Барановичи,Baranaviči,Baranavičy
372,Uljanowsk,Ульянаўск,Ульяновськ,Ульяновск,Уляновск,Uljanovsk,Uljanovsk
374,Białystok,Беласток,Білосток,Белосток,Бялисток,Białystok,Bělostok
375,Hajnówka,Гайнаўка,Гайнівка,Хайнувка,Хайнувка,Hajnówka,Hajnówka
377,Wenecja,Венецыя,Венеція,Венеция,Венеция,Benetke,Benátky
378,Ameryka Południowa,Паўднёвая Амерыка,Південна Америка,Южная Америка,Южна Америка,Južna Amerika,Jižní Amerika
379,Połock,Полацк,Полоцьк,Полоцк,Полоцк,Polock,Polock
380,Unia brzeska,Берасцейская унія,Берестейська унія,Брестская уния,Брестка уния,Brestlitovska unija,Brestlitevská unie
382,Polesie,Палессе,Полісся,Полесье,Полесия,Polesje,Polesí
383,Starożytny Egipt,Старажытны Егіпет,Стародавній Єгипет,Древний Египет,Древен Египет,Stari Egipt,Starověký Egypt
385,Saint Lucia,Сен-Люсія,Сент-Люсія,Сент-Люсия,Сейнт Лусия,Sveta Lucija,Svatá Lucie
386,Kłajpeda,Мемель,Клайпеда,Клайпеда,Клайпеда,Klajpeda,Klaipėda
387,Sahara,Сахара,Сахара,Сахара,Сахара,Sahara,Sahara
388,Pylos,Пілас,Пілос,Пилос,Пилос,Pilos,Pylos
389,Słowenia,Славенія,Словенія,Словения,Словения,Slovenija,Slovinsko
390,Prypeć,Прыпяць,Прип'ять,Припять,Припят,Pripet,Pripjať
393,Murmańsk,Мурманск,Мурманськ,Мурманск,Мурманск,Murmansk,Murmansk
394,Briańsk,Бранск,Брянськ,Брянск,Брянск,Brjansk,Brjansk
396,Ushuaia,Ушуая,Усвая,Ушуая,Ушуая,Ushuaia,Ushuaia
399,Perm,Перм,Перм,Пермь,Перм,"Perm, Rusija",Perm
400,Narwa,Нарва,Нарва,Нарва,Нарва,Narva,Narva
403,Estonia,Эстонія,Естонія,Эстония,Естония,Estonija,Estonsko
404,Węgry,Венгрыя,Угорщина,Венгрия,Унгария,Madžarska,Maďarsko
405,Słowacja,Славакія,Словаччина,Словакия,Словакия,Slovaška,Slovensko
406,Finlandia,Фінляндыя,Фінляндія,Финляндия,Финландия,Finska,Finsko
407,Mołdawia,Малдова,Молдова,Молдавия,Молдова,Moldavija,Moldavsko
409,Troki,Тракай,Тракай,Тракай,Тракай,Trakai,Trakai
411,Ukraińcy,Украінцы,Українці,Украинцы,Украинци,Ukrajinci,Ukrajinci
413,Bielce,Бэлць,Бєльці,Бельцы,Белци,Bălți,Bălți
414,Portugalia,Партугалія,Португалія,Португалия,Португалия,Portugalska,Portugalsko
415,Irlandia,Ірландыя,Ірландія,Ирландия,Ирландия,Irska,Irsko
417,Nowosybirsk,Новасібірск,Новосибірськ,Новосибирск,Новосибирск,Novosibirsk,Novosibirsk
418,Cypr,Кіпр,Кіпр,Республика Кипр,Република Кипър,Ciper,Kypr
419,Kurytyba,Курытыба,Куритиба,Куритиба,Куритиба,Curitiba,Curitiba
423,Namibia,Намібія,Намібія,Намибия,Намибия,Namibija,Namibie
425,Damaszek,Дамаск,Дамаск,Дамаск,Дамаск,Damask,Damašek
426,Kazachstan,Казахстан,Казахстан,Казахстан,Казахстан,Kazahstan,Kazachstán
427,Lwów,Львоў,Львів,Львов,Лвов,Lvov,Lvov
432,Armenia,Арменія,Вірменія,Армения,Армения,Armenija,Arménie
433,Zatoka Bengalska,Бенгальскі заліў,Бенгальська затока,Бенгальский залив,Бенгалски залив,Bengalski zaliv,Bengálský záliv
434,Turkmenistan,Туркменістан,Туркменістан,Туркмения,Туркменистан,Turkmenistan,Turkmenistán
435,Uzbekistan,Узбекістан,Узбекистан,Узбекистан,Узбекистан,Uzbekistan,Uzbekistán
436,Kirgistan,Кыргызстан,Киргизстан,Киргизия,Киргизстан,Kirgizistan,Kyrgyzstán
437,Tadżykistan,Таджыкістан,Таджикистан,Таджикистан,Таджикистан,Tadžikistan,Tádžikistán
439,Murom,Мурам,Муром,Муром,Муром,Murom,Murom
440,Język grecki,Грэчаская мова,Грецька мова,Греческий язык,Гръцки език,Grščina,Řečtina
442,Nowogród Wielki,Вялікі Ноўгарад,Великий Новгород,Великий Новгород,Велики Новгород,Veliki Novgorod,Veliký Novgorod
444,Anadyr,Анадыр,Анадир,Анадырь,Анадир,"Anadir, Rusija",Anadyr
445,Argun,Аргун,Аргун,Аргун,Аргун,"Argun, Rusija",Argun
446,Wrocław,Уроцлаў,Вроцлав,Вроцлав,Вроцлав,Vroclav,Vratislav
448,Ottawa,Атава,Оттава,Оттава,Отава,Ottawa,Ottawa
449,Gatczyna,Гатчына,Гатчина,Гатчина,Гатчина,Gatčina,Gatčina
450,Naypyidaw,Найп’іда,Найп'їдо,Нейпьидо,Найпидо,Nepjido,Neipyijto
452,Ułan Ude,Улан-Удэ,Улан-Уде,Улан-Удэ,Улан Уде,Ulan-Ude,Ulan-Ude
453,Palmyra,Пальміра,Пальміра,Пальмира,Палмира,Palmira,Palmýra
455,Krasnojarsk,Краснаярск,Красноярськ,Красноярск,Красноярск,Krasnojarsk,Krasnojarsk
456,Czernogorsk,Чарнагорск,Чорногорськ,Черногорск,Черногорск,Černogorsk,Černogorsk
457,Sajanogorsk,Саянагорск,Саяногорськ,Саяногорск,Саяногорск,Sajanogorsk,Sajanogorsk
458,Abaza,Абаза,Абаза,Абаза,Абаза,"Abaza, Rusija",Abaza
459,Abakan,Абакан,Абакан,Абакан,Абакан,Abakan,Abakan
460,Iszym,Ішым,Ішим,Ишим,Ишим,Išim,Išim
461,Tiumeń,Цюмень,Тюмень,Тюмень,Тюмен,Tjumen,Ťumeň
462,Chanty-Mansyjsk,Ханты-Мансійск,Ханти-Мансійськ,Ханты-Мансийск,Ханти-Мансийск,Hanti-Mansijsk,Chanty-Mansijsk
463,Salechard,Салехард,Салехард,Салехард,Салехард,Salehard,Salechard
465,Bierdsk,Бердск,Бердськ,Бердск,Бердск,Berdsk,Berdsk
466,Iskitim,Іскіцім,Іскітим,Искитим,Искитим,Iskitim,Iskitim
467,Kujbyszew,Куйбышаў,Куйбишев,Куйбышев,Куйбишев,"Kujbišev, Rusija",Kujbyšev
468,Suchumi,Сухумі,Сухумі,Сухум,Сухуми,Akva,Suchumi
470,Gagra,Гагра,Гагра,Гагра,Гагра,Gagra,Gagra
471,Bijsk,Бійск,Бійськ,Бийск,Бийск,Bijsk,Bijsk
472,Barnauł,Барнаул,Барнаул,Барнаул,Барнаул,Barnaul,Barnaul
473,Trydent,Трэнта,Тренто,Тренто,Тренто,Trento,Trento
474,Galicja,Галічына,Галичина,Галиция,Галиция,Galicija,Halič
475,Uetersen,Ютэрзен,Ютерзен,Итерзен,Ютерзен,Uetersen,Uetersen
477,Sumer,Шумер,Шумер,Шумер,Шумер,Sumerija,Sumer
478,Królestwo Partów,Парфянскае царства,Парфянське царство,Парфянское царство,Партско царство,Partsko cesarstvo,Parthská říše
479,Związek Achajski,Ахейскі саюз,Ахейський союз,Ахейский союз,Ахейски съюз,Ahajska zveza,Achajský spolek
480,Asyria,Асірыя,Ассирія,Ассирия,Асирия,Asirija,Asýrie
481,Starożytna Macedonia,Старажытная Македонія,Стародавня Македонія,Древняя Македония,Древна Македония,Makedonija,Makedonie
482,Bendery,Бендэр,Бендери,Бендеры,Бендери,Bender,Tighina
484,Mali,Малі,Малі,Мали,Мали,Mali,Mali
485,Republika Zielonego Przylądka,Каба-Вердэ,Кабо-Верде,Кабо-Верде,Кабо Верде,Zelenortski otoki,Kapverdy
486,Ekwador,Эквадор,Еквадор,Эквадор,Еквадор,Ekvador,Ekvádor
487,Fenicja,Фінікія,Фінікія,Финикия,Финикия,Fenicija,Fénicie
488,Imperium Sasanidów,Дзяржава Сасанідаў,Держава Сасанідів,Государство Сасанидов,Сасанидска империя,Sasanidsko cesarstvo,Sásánovská říše
489,Chaldejczycy,Халдзеі,Халдеї,Халдеи,Халдейска династия,Kaldeja,Chaldea
490,Dniestr,Днестр,Дністер,Днестр,Днестър,Dnester,Dněstr
491,Akad,Акадэ,Аккад,Аккад,Акад,Akad,Akkad
492,Baktria,Бактрыя,Бактрія,Бактрия,Бактрия,Baktrija,Baktrie
493,Sofia Rotaru,Сафія Міхайлаўна Ратару,Ротару Софія Михайлівна,"Ротару, София Михайловна",София Ротару,Sofia Rotaru,Sofia Rotaru
496,Taras Szewczenko,Тарас Рыгоравіч Шаўчэнка,Шевченко Тарас Григорович,"Шевченко, Тарас Григорьевич",Тарас Шевченко,Taras Ševčenko,Taras Ševčenko
497,Złota Orda,Залатая Арда,Золота Орда,Золотая Орда,Златна орда,Zlata horda,Zlatá horda
505,Iwan Mazepa,Іван Мазепа,Іван Мазепа,"Мазепа, Иван Степанович",Иван Мазепа,Ivan Mazepa,Ivan Mazepa
507,Hebron,Хеўрон,Хеврон,Хеврон,Хеброн,Hebron,Hebron
511,Półwysep Arabski,Аравія,Аравійський півострів,Аравийский полуостров,Арабски полуостров,Arabski polotok,Arabský poloostrov
512,Hrywna,Украінская грыўня,Гривня,Украинская гривна,Украинска гривна,Ukrajinska grivna,Ukrajinská hřivna
513,Ukraińska Republika Ludowa,Украінская Народная Рэспубліка,Українська Народна Республіка,Украинская Народная Республика,Украинска народна република,Ukrajinska ljudska republika,Ukrajinská lidová republika
514,Inflanty,Лівонія,Лівонія,Ливония,Ливония,Livonija,Livonsko
517,Księstwo Kurlandii i Semigalii,Курляндскае і Земгальскае герцагства,Герцогство Курляндії і Семигалії,Курляндия и Семигалия,Курландия и Семигалия,Vojvodstvo Kurlandija in Semgalija,Kuronské a zemgalské vévodství
519,Nowy Orlean,Новы Арлеан,Новий Орлеан,Новый Орлеан,Ню Орлиънс,New Orleans,New Orleans
520,Kowno,Каўнас,Каунас,Каунас,Каунас,Kaunas,Kaunas
524,Nauru,Науру,Науру,Науру,Науру,Nauru,Nauru
525,Czelabińsk,Чалябінск,Челябінськ,Челябинск,Челябинск,Čeljabinsk,Čeljabinsk
526,Osetia Południowa,Паўднёвая Асеція,Південна Осетія,Южная Осетия,Южна Осетия,Južna Osetija,Jižní Osetie
527,Troja,Троя,Троя,Троя,Троя,Troja,Trója
529,Majkop,Майкоп,Майкоп,Майкоп,Майкоп,Majkop,Majkop
530,Derbent,Дзербент,Дербент,Дербент,Дербент,Derbent,Derbent
531,Machaczkała,Махачкала,Махачкала,Махачкала,Махачкала,Mahačkala,Machačkala
532,Księstwo Aten,Герцагства Афінскае,Афінське герцогство,Афинское герцогство,Атинско херцогство,Atenska vojvodina,Athénské vévodství
533,Królestwo Tesaloniki,Каралеўства Фесалонікі,Королівство Фессалоніки,Королевство Фессалоники,Солунско кралство,Solunsko kraljestvo,Soluňské království
534,Patras,Патры,Патри,Патры,Патра,Patras,Patra
536,Larisa,"Ларыса, горад",Лариса,Лариса,Лариса,Larisa,Larisa
538,Niniwa,Ніневія,Ніневія,Ниневия,Ниневия,Ninive,Ninive
539,Babilon,Вавілон,Вавилон,Вавилон,Вавилон,Babilon,Babylón
541,Nowy Sad,Нові-Сад,Новий Сад,Нови-Сад,Нови Сад,Novi Sad,Novi Sad
542,Charków,Харкаў,Харків,Харьков,Харков,Harkov,Charkov
543,Prisztina,Прышціна,Приштина,Приштина,Прищина,Priština,Priština
544,Užice,Ужыце,Ужиці,Ужице,Ужице,Užice,Užice
546,Podgorica,Падгорыца,Подгориця,Подгорица,Подгорица,Podgorica,Podgorica
547,Kragujevac,Крагуевац,Крагуєваць,Крагуевац,Крагуевац,Kragujevac,Kragujevac
548,Język słowacki,Славацкая мова,Словацька мова,Словацкий язык,Словашки език,Slovaščina,Slovenština
549,Państwo wielkomorawskie,Вялікая Маравія,Велика Моравія,Великая Моравия,Великоморавия,Velikomoravska,Velkomoravská říše
551,Nisz,Ніш,Ниш,Ниш,Ниш,Niš,Niš
552,Bor,Бор,Бор,Бор,Бор,"Bor, Srbija",Bor
553,Sombor,Сомбар,Сомбор,Сомбор,Сомбор,Sombor,Sombor
554,Subotica,Субоціца,Суботиця,Суботица,Суботица,Subotica,Subotica
556,Leskovac,Лескавац,Лесковац,Лесковац,Лесковац,Leskovac,Leskovac
557,Maribor,Марыбар,Марибор,Марибор,Марибор,Maribor,Maribor
558,Celje,Цэле,Целє,Целе,Целе,Celje,Celje
559,Kranj,Крань,Крань,Крань,Кран,Kranj,Kranj
561,Velenje,Вяленье,Веленє,Веленье,Велене,Velenje,Velenje
562,Koper,Копер,Копер,Копер,Копер,Koper,Koper
563,Ptuj,Птуй,Птуй,Птуй,Птуй,Ptuj,Ptuj
564,Nova Gorica,Нова-Горыца,Нова Гориця,Нова-Горица,Нова Горица,Nova Gorica,Nova Gorica
565,Psków,Пскоў,Псков,Псков,Псков,Pskov,Pskov
566,Orzeł,Арол,Орел,Орёл,Орел,Orjol,Orel
567,Lipieck,Ліпецк,Липецьк,Липецк,Липецк,Lipeck,Lipeck
569,Rijeka,Рыека,Рієка,Риека,Риека,"Reka, Hrvaška",Rijeka
570,Zadar,Задар,Задар,Задар,Задар,Zadar,Zadar
571,Karantania,Карантанія,Карантанія,Карантания,Карантания,Karantanija,Karantánie
572,Reims,Рэймс,Реймс,Реймс,Реймс,Reims,Remeš
574,Andrijevica,Андрыевіца,Андрієвиця,Андриевица,Андриевица,Andrijevica,Andrijevica
575,Język mołdawski,Малдаўская мова,Молдовська мова,Молдавский язык,Молдовски език,Moldavščina,Moldavština
577,Wyżyna Środkoworosyjska,Сярэднярускае ўзвышша,Середньоросійська височина,Среднерусская возвышенность,Средноруско възвишение,Srednjerusko višavje,Středoruská vysočina
578,Język ormiański,Армянская мова,Вірменська мова,Армянский язык,Арменски език,Armenščina,Arménština
580,Wyspy Brytyjskie,Брытанскія астравы,Британські острови,Британские острова,Британски острови,Britansko otočje,Britské ostrovy
581,Wyspy Normandzkie,Нармандскія астравы,Нормандські острови,Нормандские острова,Нормандски острови,Kanalski otoki,Normanské ostrovy
582,Jersey,Джэрсі,Джерсі,Джерси,Джърси,Jersey,Jersey
583,Gibraltar,Гібралтар,Гібралтар,Гибралтар,Гибралтар,Gibraltar,Gibraltar
585,Ziemia Franciszka Józefa,Зямля Франца-Іосіфа,Земля Франца-Йосифа,Земля Франца-Иосифа,Земя на Франц Йосиф,Dežela Franca Jožefa,Země Františka Josefa
587,Rotterdam,Ратэрдам,Роттердам,Роттердам,Ротердам,Rotterdam,Rotterdam
589,Haga,Гаага,Гаага,Гаага,Хага,Haag,Haag
590,Breda,Брэда,Бреда,Бреда,Бреда,"Breda, Nizozemska",Breda
591,Leeuwarden,Леўвардэн,Леуварден,Леуварден,Леуварден,Leeuwarden,Leeuwarden
593,Żeleznogorsk,Жалезнагорск,Желєзногорськ,Железногорск,Железногорск,"Železnogorsk, Kurska oblast",Železnogorsk
594,Rylsk,Рыльск,Рильськ,Рыльск,Рилск,Rilsk,Rylsk
595,Kursk,Курск,Курськ,Курск,Курск,Kursk,Kursk
596,Miasta na Białorusi,Гарады Беларусі,Міста Білорусі,Города Белоруссии,Списък на градовете в Беларус,Seznam mest v Belorusiji,Seznam měst v Bělorusku
597,Liverpool,Ліверпуль,Ліверпуль,Ливерпуль,Ливърпул,Liverpool,Liverpool
599,Manchester,Манчэстэр,Манчестер,Манчестер,Манчестър,Manchester,Manchester
600,Arnhem,Арнэм,Арнем,Арнем,Арнем,Arnhem,Arnhem
602,Haarlem,Харлем,Гарлем,Харлем,Харлем,Haarlem,Haarlem
603,Nijmegen,Неймеген,Неймеген,Неймеген,Неймеген,Nijmegen,Nijmegen
604,Apeldoorn,Апелдорн,Апелдорн,Апелдорн,Апелдорн,Apeldoorn,Apeldoorn
605,Maastricht,Маастрыхт,Маастрихт,Маастрихт,Маастрихт,Maastricht,Maastricht
609,Český Krumlov,Чэскі-Крумлаў,Чеський Крумлов,Чески-Крумлов,Чески Крумлов,Český Krumlov,Český Krumlov
610,Zlin,Злін,Злін,Злин,Злин,Zlín,Zlín
611,Język bułgarski,Балгарская мова,Болгарська мова,Болгарский язык,Български език,Bolgarščina,Bulharština
612,Oman,Аман,Оман,Оман,Оман,Oman,Omán
613,Angola,Ангола,Ангола,Ангола,Ангола,Angola,Angola
614,Antigua i Barbuda,Антыгуа і Барбуда,Антигуа і Барбуда,Антигуа и Барбуда,Антигуа и Барбуда,Antigva in Barbuda,Antigua a Barbuda
615,Bahrajn,Бахрэйн,Бахрейн,Бахрейн,Бахрейн,Bahrajn,Bahrajn
616,Botswana,Батсвана,Ботсвана,Ботсвана,Ботсвана,Bocvana,Botswana
617,Burkina Faso,Буркіна-Фасо,Буркіна-Фасо,Буркина-Фасо,Буркина Фасо,Burkina Faso,Burkina Faso
618,Barbados,Барбадас,Барбадос,Барбадос,Барбадос,Barbados,Barbados
619,Burundi,Бурундзі,Бурунді,Бурунди,Бурунди,Burundi,Burundi
621,Benin,Бенін,Бенін,Бенин,Бенин,Benin,Benin
622,Haiti,Гаіці,Гаїті,Республика Гаити,Хаити,Haiti,Haiti
623,Gabon,Габон,Габон,Габон,Габон,Gabon,Gabon
624,Porto,Порту,Порту,Порту,Порто,Porto,Porto
625,Timor Wschodni,Усходні Тымор,Східний Тимор,Восточный Тимор,Източен Тимор,Vzhodni Timor,Východní Timor
626,Antiochia,Антак’я,Антак'я,Антакья,Антакия,Antakya,Antakya
627,Jemen,Емен,Ємен,Йемен,Йемен,Jemen,Jemen
629,Łódź,Лодзь,Лодзь,Лодзь,Лодз,Lodž,Lodž
631,Szczecin,Шчэцін,Щецин,Щецин,Шчечин,Szczecin,Štětín
632,Jaworzno,Явожна,Явожно,Явожно,Явожно,Jaworzno,Jaworzno
633,Zielona Góra,Зялёна Гура,Зелена Гура,Зелёна-Гура,Жельона Гура,Zielona Góra,Zielona Góra
636,Katar,Катар,Катар,Катар,Катар,Katar,Katar
637,Cesarstwo Trapezuntu,Трапезундская імперыя,Трапезундська імперія,Трапезундская империя,Трапезундска империя,Trapezundsko cesarstvo,Trapezuntské císařství
640,Bizancjum,Візантый,Візантій,Византий,Византион,Bizanc,Byzantion
642,Piza,Піза,Піза,Пиза,Пиза,Pisa,Pisa
643,Kuwejt,Кувейт,Кувейт,Кувейт,Кувейт,Kuvajt,Kuvajt
644,Woroneż,Варонеж,Воронеж,Воронеж,Воронеж,Voronež,Voroněž
645,Astrachań,Астрахань,Астрахань,Астрахань,Астрахан,Astrahan,Astrachaň
646,Wołgograd,Валгаград,Волгоград,Волгоград,Волгоград,Volgograd,Volgograd
649,Krasnodar,Краснадар,Краснодар,Краснодар,Краснодар,Krasnodar,Krasnodar
650,Soczi,Сочы,Сочі,Сочи,Сочи,"Soči, Rusija",Soči
651,Royan,Руаян,Руаян,Руайан,Роаян,Royan,Royan
652,Traktat brzeski,Брэсцкі мір,Берестейський мир,Брестский мир,Брест-Литовски мирен договор,Brestlitovski mir,Brestlitevský mír
654,Sicz Zaporoska,Запарожская Сеч,Запорозька Січ,Запорожская Сечь,Запорожка Сеч,Zaporoška Seč,Záporožská Sič
659,Azow,Азоў,Азов,Азов,Азов,Azov,Azov
660,Toruń,Торунь,Торунь,Торунь,Торун,Torunj,Toruň
662,Tajpej,Тайбэй,Тайбей,Тайбэй,Тайпе,Tajpej,Tchaj-pej
664,Taganrog,Таганрог,Таганрог,Таганрог,Таганрог,Taganrog,Taganrog
665,Rostów nad Donem,Растоў-на-Доне,Ростов-на-Дону,Ростов-на-Дону,Ростов на Дон,Rostov na Donu,Rostov na Donu
666,Zgierz,Згеж,Згеж,Згеж,Згеж,Zgierz,Zgierz
667,Hetman,Гетман,Гетьман,Гетман,Хетман,Hetman,Hejtman
669,Hospodarstwo Mołdawskie,Малдаўскае княства,Молдавське князівство,Молдавское княжество,Княжество Молдова,Kneževina Moldavija,Moldavské knížectví
671,Saratów,Саратаў,Саратов,Саратов,Саратов,Saratov,Saratov
672,Wotkińsk,Воткінск,Воткінськ,Воткинск,Воткинск,Votkinsk,Votkinsk
673,Sarańsk,Саранск,Саранськ,Саранск,Саранск,Saransk,Saransk
674,Andora,Андора-ла-Велья,Андорра-ла-Велья,Андорра-ла-Велья,Андора ла Веля,Andorra la Vella,Andorra la Vella
675,Delhi,Дэлі,Делі,Дели,Делхи,Delhi,Dillí
677,Julia Tymoszenko,Юлія Уладзіміраўна Цімашэнка,Тимошенко Юлія Володимирівна,"Тимошенко, Юлия Владимировна",Юлия Тимошенко,Julija Timošenko,Julija Tymošenková
680,Kazań,Казань,Казань,Казань,Казан,Kazan,Kazaň
681,Ufa,Уфа,Уфа,Уфа,Уфа,Ufa,Ufa
682,Mongolia,Манголія,Монголія,Монголия,Монголия,Mongolija,Mongolsko
683,Laos,Лаос,Лаос,Лаос,Лаос,Laos,Laos
684,Królestwo Jerozolimskie,Іерусалімскае каралеўства,Єрусалимське королівство,Иерусалимское королевство,Йерусалимско кралство,Jeruzalemsko kraljestvo,Jeruzalémské království
685,Twer,Цвер,Твер,Тверь,Твер,Tver,Tver
689,Urugwaj,Уругвай,Уругвай,Уругвай,Уругвай,Urugvaj,Uruguay
692,Paragwaj,Парагвай,Парагвай,Парагвай,Парагвай,Paragvaj,Paraguay
693,Nepal,Непал,Непал,Непал,Непал,Nepal,Nepál
696,Nikozja,Нікасія,Нікосія,Никосия,Никозия,Nikozija,Nikósie
697,Wielki głód na Ukrainie,Галадамор,Голодомор в Україні,Голодомор на Украине,Гладомор,Gladomor,Hladomor na Ukrajině
699,Bhutan,Бутан,Бутан,Бутан,Бутан,Butan,Bhútán
700,Zjednoczone Emiraty Arabskie,Аб’яднаныя Арабскія Эміраты,Об'єднані Арабські Емірати,Объединённые Арабские Эмираты,Обединени арабски емирства,Združeni arabski emirati,Spojené arabské emiráty
702,Gujana,Гаяна,Гаяна,Гайана,Гвиана,Gvajana,Guyana
703,Surinam,Сурынам,Суринам,Суринам,Суринам,Surinam,Surinam
706,Kenia,Кенія,Кенія,Кения,Кения,Kenija,Keňa
708,Jidysz,Ідыш,Їдиш,Идиш,Идиш,Jidiš,Jidiš
709,Włodzimierz I Wielki,Уладзімір Святаславіч,Володимир Святославич,Владимир Святославич,Владимир I,Vladimir I. Kijevski,Vladimír I.
712,Błagojewgrad,Благаеўград,Благоєвград,Благоевград,Благоевград,Blagoevgrad,Blagoevgrad
714,Plewen,Плевен,Плевен,Плевен,Плевен,Pleven,Pleven
715,Łom,Лом,Лом,Лом,Лом,"Lom, Bolgarija",Lom
716,Tanzania,Танзанія,Танзанія,Танзания,Танзания,Tanzanija,Tanzanie
717,Mozambik,Мазамбік,Мозамбік,Мозамбик,Мозамбик,Mozambik,Mosambik
718,Zimbabwe,Зімбабвэ,Зімбабве,Зимбабве,Зимбабве,Zimbabve,Zimbabwe
719,Zambia,Замбія,Замбія,Замбия,Замбия,Zambija,Zambie
720,Uganda,Уганда,Уганда,Уганда,Уганда,Uganda,Uganda
721,Warna,Варна,Варна,Варна,Варна,"Varna, Bolgarija",Varna
724,Odessa,Адэса,Одеса,Одесса,Одеса,Odesa,Oděsa
727,Kamerun,Камерун,Камерун,Камерун,Камерун,Kamerun,Kamerun
729,Kongo,Рэспубліка Конга,Республіка Конго,Республика Конго,Република Конго,Zahodni Kongo,Konžská republika
730,Republika Środkowoafrykańska,Цэнтральна-Афрыканская Рэспубліка,Центральноафриканська Республіка,Центральноафриканская Республика,Централноафриканска република,Srednjeafriška republika,Středoafrická republika
732,Togliatti,Тальяці,Тольятті,Тольятти,Толиати,Toljati,Toljatti
733,Cesarstwo Austrii,Аўстрыйская імперыя,Австрійська імперія,Австрийская империя,Австрийска империя,Avstrijsko cesarstvo,Rakouské císařství
734,Czad,Чад,Чад,Чад,Чад,Čad,Čad
735,Niger,Нігер,Нігер,Нигер,Нигер,Niger,Niger
738,Chanat Krymski,Крымскае ханства,Кримське ханство,Крымское ханство,Кримско ханство,Krimski kanat,Krymský chanát
739,Chanat Astrachański,Астраханскае ханства,Астраханське ханство,Астраханское ханство,Астраханско ханство,Astrahanski kanat,Astrachaňský chanát
740,Państwa Osi,Краіны Восі,Країни Осі,Страны «оси» и их союзники,Страни от Оста,Sile osi,Osa Berlín–Řím–Tokio
744,Niżny Nowogród,Ніжні Ноўгарад,Нижній Новгород,Нижний Новгород,Нижни Новгород,Nižni Novgorod,Nižnij Novgorod
745,Kolonia,Кёльн,Кельн,Кёльн,Кьолн,Köln,Kolín nad Rýnem
746,Hanower,Гановер,Ганновер,Ганновер,Хановер,Hannover,Hannover
747,Drezno,Дрэздэн,Дрезден,Дрезден,Дрезден,Dresden,Drážďany
748,Norymberga,Нюрнберг,Нюрнберг,Нюрнберг,Нюрнберг,Nürnberg,Norimberk
749,Brema,Брэмен,Бремен,Бремен,Бремен,Bremen,Brémy
752,Thimphu,Тхімпху,Тхімпху,Тхимпху,Тхимпху,Thimphu,Thimbú
755,Nuuk,Нук,Нуук,Нуук,Нуук,Nuuk,Nuuk
756,Tampere,Тамперэ,Тампере,Тампере,Тампере,Tampere,Tampere
757,Uppsala,Упсала,Уппсала,Уппсала,Упсала,Uppsala,Uppsala
758,Kandahar,Кандагар,Кандагар,Кандагар,Кандахар,Kandahar,Kandahár
759,Lublin,Люблін,Люблін,Люблин,Люблин,Lublin,Lublin
760,Tromsø,Тромсё,Тромсе,Тромсё,Тромсьо,Tromsø,Tromsø
