,pl,be,uk,ru,bg,sl,cs
249,w Kaliningradzie,ў Калінінградзе,в Калінінграді,в Калининграде,в Калининград,v Kaliningradu,v Kaliningradu
250,w Almetyevsku,у Альмецьеўску,в Альметьєвську,в Альметьевске,в Алметиевск,v Almetjevsku,v Almetěvsku
251,w Jejsku,ў Ейску,в Єйську,в Ейске,в Ейск,v Yeysku,v Yeysku
252,w Omsku,у Омску,в Омську,в Омске,в Омск,v Omsku,v Omsku
253,w Troicku,ў Траецку,у Троїцьку,в Троицке,в Троицк,v Troitsku,v Troitsku
254,w Moskwie,ў Маскве,у Москві,в Москве,в Москва,v Moskvi,v Moskvě
255,w Wołgodońsku,у Валгадонску,у Волгодонську,в Волгодонске,във Волгодонск,v Volgodonsku,ve Volgodonsku
256,w Buynaksku,ў Буйнакску,у Буйнакську,в Буйнакске,в Буйнакск,v Buynaksku,v Buynaksku
257,w Taganrogu,ў Таганрозе,у Таганрозі,в Таганроге,в Таганрог,v Taganrogu,v Taganrogu
258,w Kałudze,ў Калузе,у Калузі,в Калуге,в Калуга,v Kalugi,v Kaluze
259,w Belorechensku,ў Беларэчанск,у Білоріченську,в Белореченске,в Белореченск,v Belorechensku,v Bělorečensku
260,w Archangielsku,у Архангельску,в Архангельську,в Архангельске,в Архангелск,v Arhangelsku,v Archangelsku
261,w Dzierżyńskim,ў Дзяржынскім,у Дзержинському,в Дзержинском,в Дзержински,v Dzeržinskem,v Dzeržinském
262,w Chanty-Mansyjsku,ў Ханты-Мансійску,у Ханти-Мансійську,в Ханты-Мансийске,в Ханти-Мансийск,v Khanty-Mansiysku,v Chanty-Mansijsku
263,w Elektrostalu,ў Электрасталі,в Електросталі,в Электростали,в Електростал,v Elektrostalu,v Elektrostalu
264,w Anzhero-Sudzhensku,у Анжэра-Суджэнску,в Анжеро-Судженську,в Анжеро-Судженске,в Анжеро-Судженск,v Anžeru-Sudžensku,v Anžeru-Sudžensku
265,we Stupinie,ў Ступіна,в Ступіно,в Ступино,до Ступино,v Stupino,do Stupina
266,w Elistie,ў Элісце,в Елісті,в Элисте,в Елиста,v Elisti,v Elista
267,w Jełabuge,у Елабузе,в Єлабузі,в Елабуге,в Елабуга,v Yelabugi,v Yelabuga
268,w Czeboksarach,ў Чабаксарах,у Чебоксарах,в Чебоксарах,в Чебоксари,v Čeboksariju,v Čeboksarech
269,w Petersburgu,ў Санкт-Пецярбургу,в Санкт-Петербурзі,в Санкт-Петербурге,в Санкт Петербург,v Sankt Peterburgu,v Petrohradě
270,w Lubiercach,ў Люберцах,у Люберцях,в Люберцах,в Люберци,v mestu Lyubertsy,v Ljubertsy
271,w Nachodce,ў Знаходцы,у Знахідці,в Находке,в Находка,v Nakhodki,v Nachodce
272,w Minusińsku,ў Мінусінску,у Мінусинську,в Минусинске,в Минусинск,v Minusinsku,v Minusinsku
273,w Siergijew Posadzie,ў Сергіевым Пасадзе,у Сергієвому Посаді,в Сергиевом Посаде,в Сергиев Посад,v Sergijevem Posadu,v Sergiev Posad
274,w Kamyszynie,ў Камышыне,у Камишині,в Камышине,в Камишин,v Kamyshinu,v Kamyšinu
275,w Salsku,ў Сальску,у Сальську,в Сальске,в Салск,v Salsku,v Salsku
276,w Biełgorodzie,ў Белгарадзе,у Білгороді,в Белгороде,в Белгород,v Belgorodu,v Belgorodu
277,w Kungurze,ў Кунгуры,у Кунгурі,в Кунгуре,в Кунгур,v Kungurju,v Kunguru
278,w Machaczkale,ў Махачкале,у Махачкалі,в Махачкале,в Махачкала,v Mahačkali,v Machačkale
279,w Tichorecku,ў Ціхарэцку,у Тихорецьку,в Тихорецке,в Тихорецк,v Tihorecsku,v Tichoretsku
280,w Swobodnym,ў Свабодным,у Вільному,в Свободном,в Свободни,v Svobodnem,ve Svobodných
281,w Bałaszychie,ў Балашысе,у Балашихі,в Балашихе,в Балашиха,v Balashikhi,v Balashikha
282,w Nowokuźniecku,ў Новакузнецку,у Новокузнецьку,в Новокузнецке,в Новокузнецк,v Novokuznetsku,v Novokuzněcku
283,w Pervouralsku,ў Першаўральску,у Первоуральську,в Первоуральске,в Первоуральск,v Pervouralsku,v Pervouralsku
284,w Podolsku,ў Падольску,у Подільську,в Подольске,в Подолск,v Podolsku,v Podolsku
285,w Joszkar-Oła,ў Йошкар-Оле,у Йошкар-Олі,в Йошкар-Оле,в Йошкар-Ола,v Yoshkar-Oli,v Yoshkar-Ola
286,w Rubcowsk,ў Рубцоўску,у Рубцовську,в Рубцовске,в Рубцовск,v Rubcovsku,v Rubcovsku
287,w Meleuzie,ў Мелеузе,у Мелеузі,в Мелеузе,в Мелеуз,v Meleuzu,v Meleuz
288,we Friazinie,ў Фразіна,у Фрязіному,во Фрязино,във Фрязино,v Fryazinu,ve Fryazinu
289,w Astrachaniu,у Астрахані,в Астрахані,в Астрахани,в Астрахан,v Astrahanu,v Astrachani
290,w Nalczyku,ў Нальчыку,у Нальчику,в Нальчике,в Налчик,v Nalčiku,v Nalčiku
291,w Żeleznogorsku,ў Жалезнагорску,у Залізногірську,в Железногорске,в Железногорск,v Železnogorsku,v Železnogorsku
292,w Górnoałtajsku,ў Горна-Алтайску,у Горно-Алтайську,в Горно-Алтайске,в Горно-Алтайск,v Gorno-Altajsku,v Gorno-Altajsku
293,w Kowrowie,ў Дыване,у Коврові,в Коврове,в Ковров,v Kovrovu,v Kovrově
294,w Woskriesiensku,у Васкрасенску,у Воскресенську,в Воскресенске,във Воскресенск,v Voskresensku,ve Voskresensku
295,w Czapajewsku,ў Чапаеўску,у Чапаєвську,в Чапаевске,в Чапаевск,v Čapajevsku,v Čapajevsku
296,w Sunzhe,ў Сунжы,у Сунжі,в Сунже,в Сунжа,v Sunži,v Sunzha
297,w Tobolsku,ў Табольску,у Тобольську,в Тобольске,в Тоболск,v Tobolsku,v Tobolsku
298,w Dubnej,ў Дубне,у Дубні,в Дубне,в Дубна,v Dubni,v Dubně
299,w Salechardzie,ў Салехардзе,у Салехарді,в Салехарде,в Салехард,v Salehardu,v Salechardu
300,w Arzamasie,у Арзамасе,в Арзамасі,в Арзамасе,в Арзамас,v Arzamasu,v Arzamas
301,w Nowouralsku,ў Новаўральску,у Новоуральську,в Новоуральске,в Новоуральск,v Novouralsku,v Novouralsku
302,w Rossoszu,ў Россошы,в Росоші,в Россоши,в Росош,v Rossoshu,v Rossosh
303,w Dimitrowgradzie,ў Дзімітраўградзе,у Димитровграді,в Димитровграде,в Димитровград,v Dimitrovgradu,v Dimitrovgradu
304,we Sławiańsku nad Kubaniem,ў Славянску-на-Кубані,у Слов'янську-на-Кубані,в Славянске-на-Кубани,в Славянск-на-Кубан,v Slavjansku na Kubanu,ve Slavjansku na Kubáni
305,we Wielkim Łuku,у Вялікіх Луках,у Великих Луках,в Великих Луках,във Велики Луки,v Velikih Lukih,ve Velikiye Luki
306,w Złatoustu,ў Залатавусце,у Златоусті,в Златоусте,в Златоуст,v Zlatoustu,ve Zlatoustu
307,w Jarosławiu,у Яраслаўлі,в Ярославлі,в Ярославле,в Ярославъл,v Jaroslavlju,v Jaroslavli
308,w Ułan-Ude,ва Улан-Удэ,в Улан-Уде,в Улан-Удэ,в Улан-Уде,v Ulan-Udeju,v Ulan-Ude
309,w Kirowie,ў Кіраве,у Кірові,в Кирове,в Киров,v Kirovu,v Kirově
310,we Wolsku,у Вольску,у Вольську,в Вольске,във Волск,v Volsku,ve Volsku
311,w Nabierieżnych Czełnach,ў Набярэжных Чоўнах,у Набережних Човнах,в Набережных Челнах,в Набережни Челни,v Naberežnih Čelnih,v Naberezhnye Chelny
312,w Wołogdzie,у Волагдзе,у Вологді,в Вологде,във Вологда,v Vologdi,ve Vologdě
313,we Wiazmie,у Вязьме,у Вязьмі,в Вязьме,във Вязма,v Vyazmi,ve Vjazmě
314,w Nowotroicku,ў Наватроіцку,у Новотроїцьку,в Новотроицке,в Новотроицк,v Novotroicku,v Novotroitsku
315,w Iwantejewce,у Іванцееўцы,в Івантіївці,в Ивантеевке,в Ивантеевка,v Ivanteevki,v Ivanteevce
316,w Prochladnym,ў Прахалодным,у Прохолодному,в Прохладном,в Прохладни,v Prohladnem,v Prochhladném
317,w Azbestu,у Асбесце,в Асбесті,в Асбесте,в Азбест,v Azbestu,v Asbestu
318,w Nowym Urengoju,ў Новым Урэнгоі,у Новому Уренгої,в Новом Уренгое,в Нови Уренгой,v Novem Urengoju,v Novém Urengoji
319,we Sertołowie,ў Сертолава,у Сертоловому,в Сертолово,до Сертолово,v Sertolovo,do Sertolova
320,w Jurdze,у Юргу,у Юрзі,в Юрге,в Юрга,v Yurgi,v Yurgě
321,w Salavatu,ў Салаваце,у Салаваті,в Салавате,в Салават,v Salavatu,v Salavatu
322,w Błagowieszczeńsku,ў Благавешчанску,у Благовіщенську,в Благовещенске,в Благовещенск,v Blagoveščensku,v Blagoveščensku
323,w Jelecie,у Ельцы,в Єльці,в Ельце,в Елец,v Yeletsu,v Yelets
324,w Chabarowsku,ў Хабараўску,у Хабаровську,в Хабаровске,в Хабаровск,v Habarovsku,v Chabarovsku
325,w Nowoczerkasku,ў Новачаркаску,у Новочеркаську,в Новочеркасске,в Новочеркаск,v Novočerkasku,v Novočerkassku
326,w Leninogorsku,ў Ленінагорску,у Леніногорську,в Лениногорске,в Лениногорск,v Leninogorsku,v Leninogorsku
327,w Togliatti,ў Тальяці,у Тольятті,в Тольятти,в Толиати,v Togliattiju,v Togliatti
328,w Krasnogorsku,ў Краснагорску,у Красногірську,в Красногорске,в Красногорск,v Krasnogorsku,v Krasnogorsku
329,w Orelu,у Арле,в Орлі,в Орле,в Орел,v Orelu,v Orelu
330,w Gelendżyku,ў Геленджыку,у Геленджику,в Геленджике,в Геленджик,v Gelendžiku,v Gelendžiku
331,w Berdsku,ў Бердску,у Бердську,в Бердске,в Бердск,v Berdsku,v Berdsku
332,w Wołżskim,у Волжскім,у Волзькому,в Волжском,във Волжски,v Volžskem,ve Volžském
333,we Władywostoku,ва Уладзівастоку,у Владивостоку,во Владивостоке,във Владивосток,v Vladivostoku,ve Vladivostoku
334,we Rżewie,ў Ржэве,у Ржеві,во Ржеве,в Ржев,v Rževu,v Rževu
335,w Niżnym Tagile,ў Ніжнім Тагіле,у Нижньому Тагілі,в Нижнем Тагиле,в Нижни Тагил,v Nižnem Tagilu,v Nižném Tagilu
336,w Naro-Fominsku,ў Нара-Фамінску,у Наро-Фомінську,в Наро-Фоминске,в Наро-Фоминск,v Naro-Fominsku,v Naro-Fominsku
337,w Tambowie,ў Тамбове,у Тамбові,в Тамбове,в Тамбов,v Tambovu,v Tambově
338,w Starym Oskolu,ў Старым Асколе,у Старому Осколі,в Старом Осколе,в Стари Оскол,v Starem Oskolu,ve Starém Oskolu
339,w Biełorecku,ў Беларэцку,у Білорецьку,в Белорецке,в Белорецк,v Belorecku,v Beloretsku
340,w Siewierodwińsku,ў Северадзвінску,у Сєвєродвінську,в Северодвинске,в Северодвинск,v Severodvinsku,v Severodvinsku
341,w Wielkim Nowogrodzie,у Вялікім Ноўгарадзе,у Великому Новгороді,в Великом Новгороде,във Велики Новгород,v Velikem Novgorodu,ve Velkém Novgorodu
342,w Orenburgu,у Арэнбургу,в Оренбурзі,в Оренбурге,в Оренбург,v Orenburgu,v Orenburgu
343,w Kiriszu,ў Кірышах,у Кірішах,в Киришах,в Кириши,v Kirišiju,v Kirishi
344,w Kańsku,ў Канску,у Канську,в Канске,в Канск,v Kansku,v Kansku
345,w Czerepowcu,ў Чарапаўцы,у Череповці,в Череповце,в Череповец,v Čerepovcu,v Čerepovci
346,w Pawłowskim Posadzie,ў Паўлаўскім Пасадзе,у Павлівському Посаді,в Павловском Посаде,в Павловски Посад,v Pavlovskem Posadu,v Pavlovském Posadu
347,w Urus-Martan,ва Урус-Мартане,в Урус-Мартані,в Урус-Мартане,в Урус-Мартан,v Urus-Martanu,v Urus-Martan
348,w Budennowsku,ў Будзёнаўску,у Будьоннівську,в Буденновске,в Буденовск,v Budennovsku,v Budennovsku
349,we Kstowie,ў Кстова,у Кстово,в Кстово,в Кстово,v Kstovu,v Kstově
350,w Kyzylu,ў Кызыле,у Кизили,в Кызыле,в Кизил,v Kyzylu,v Kyzylu
351,w Uchtai,у Ухце,в Ухті,в Ухте,в Ухта,v Ukhti,v Ukhtě
352,w Saratowie,ў Саратаве,у Саратові,в Саратове,в Саратов,v Saratovu,v Saratově
353,w Domodiedowie,ў Дамадзедаве,у Домодєдово,в Домодедово,в Домодедово,v Domodedovu,v Domodědově
354,w Sosnowym Borze,ў Сасновым Бары,у Сосновому Бору,в Сосновом Бору,в Соснови Бор,v Sosnovym Boru,v Sosnově Boru
355,w Groznym,ў Грозным,у Грозному,в Грозном,в Грозни,v Groznem,v Grozném
356,w Łyświe,ў Лысьве,у Лисві,в Лысьве,в Лисва,v Lysvi,v Lysvě
357,w Belebeju,ў Белебеі,у Белебеї,в Белебее,в Белебей,v Belebeju,v Belebey
358,w Tichwinie,ў Ціхвіне,у Тихвіні,в Тихвине,в Тихвин,v Tikhvinu,v Tikhvinu
359,w Pawłowie,ў Паўлава,в Павлове,в Павлово,в Павлово,v Pavlovem,v Pavlovu
360,w Nowokujbyszewsku,ў Навакуйбышэўску,у Новокуйбишевську,в Новокуйбышевске,в Новокуйбишевск,v Novokuibyshevsku,v Novokujbyševsku
361,we Pskowie,ў Пскове,у Пскові,в Пскове,в Псков,v Pskovu,v Pskově
362,w Usole Syberyjskim,ва Усолле-Сібірскім,в Усоллі-Сибірському,в Усолье-Сибирском,в Усолие-Сибирски,v mestu Usolye-Sibirsky,v Usolye-Sibirsky
363,w Lipiecku,ў Ліпецку,у Липецьку,в Липецке,в Липецк,v Lipetsku,v Lipetsku
364,w Kopejsku,ў Капейску,у Копійську,в Копейске,в Копейск,v Kopeysku,v Kopejsku
365,w Dzierżyńsku,ў Дзяржынску,у Дзержинську,в Дзержинске,в Дзержинск,v Dzeržinsku,v Dzeržinsku
366,w Timaszevsku,ў Цімашэўску,у Тімашевську,в Тимашевске,в Тимашевск,v Timashevsku,v Timaševsku
367,w Kisłowodzku,ў Кіславодску,у Кисловодську,в Кисловодске,в Кисловодск,v Kislovodsku,v Kislovodsku
368,w Niewinnomyssku,ў Нявіннамыску,у Невинномиську,в Невинномысске,в Невиномисск,v Nevinnomyssku,v Nevinnomyssku
369,w Kotlasie,ў Котласе,у Котласі,в Котласе,в Котлас,v Kotlasu,v Kotlasu
370,w Bracku,ў Брацку,у Братську,в Братске,в Братск,v Bratsku,v Bratsku
371,w Bałakowie,ў Балакова,в Балаково,в Балаково,в Балаково,v Balakovem,v Balakovu
372,we Twerze,ў Цверы,у Твері,в Твери,в Твер,v Tverju,v Tveru
373,w Syzraniu,ў Сызрані,у Сизрані,в Сызрани,в Сизран,v Syzranu,v Syzrani
374,w Birobidżanie,ў Бірабіджане,у Біробіджані,в Биробиджане,в Биробиджан,v Birobidžanu,v Birobidžanu
375,w Iżewsku,у Іжэўску,в Іжевську,в Ижевске,в Ижевск,v Iževsku,v Iževsku
376,w Kursku,ў Курску,у Курську,в Курске,в Курск,v Kursku,v Kursku
377,w Lesosibirsku,ў Лесасібірску,у Лісосибірську,в Лесосибирске,в Лесосибирск,v Lesosibirsku,v Lesosibirsku
378,w Murino,ў Мурына,у Муріному,в Мурино,в Мурино,v Murinu,v Murinu
379,w Polewskim,ў Палеўскім,у Полівському,в Полевском,в Полевской,v Polevskoyju,v Polevskoy
380,w Lenińsku Kuźnieckim,ў Ленінску-Кузнецкім,у Ленінську-Кузнецькому,в Ленинске-Кузнецком,в Ленинск-Кузнецки,v Leninsk-Kuznetsky,v Leninsk-Kuzněckij
381,w Jessentukach,у Есентуках,у Єсентуках,в Ессентуках,в Есентуки,v Essentukiju,v Essentuki
382,w Pietrozawodsku,ў Петразаводску,у Петрозаводську,в Петрозаводске,в Петрозаводск,v Petrozavodsku,v Petrozavodsku
383,w Niagani,ў Нягані,у Нягані,в Нягани,в Няган,v Nyaganu,v Nyaganu
384,w Widnym,ў Бачным,у Видно,в Видном,във Видное,v Vidnem,ve Vidnoe
385,w Murmańsku,ў Мурманску,у Мурманську,в Мурманске,в Мурманск,v Murmansku,v Murmansku
386,w Prokopiewsku,ў Пракоп'еўску,у Прокоп'євську,в Прокопьевске,в Прокопьевск,v Prokopjevsku,v Prokopjevsku
387,w Krasnojarsku,ў Краснаярску,у Красноярську,в Красноярске,в Красноярск,v Krasnojarsku,v Krasnojarsku
388,we Dmitrowie,ў Дзмітраве,у Дмитрові,в Дмитрове,в Дмитров,v Dmitrovu,v Dmitrově
389,w Szachtach,ў Шахтах,у Шахтах,в Шахтах,в мини,v rudnikih,v dolech
390,w Solikamsku,ў Салікамску,у Солікамську,в Соликамске,в Соликамск,v Solikamsku,v Solikamsku
391,w Bataysku,ў Батайску,у Батайську,в Батайске,в Батайск,v Bataysku,v Bataysku
392,w Aleksandrii,у Александрыі,в Олександрії,в Александрии,в Александрия,v Aleksandriji,v Alexandrii
393,w Ałczewsku,у Алчевске,в Алчевську,в Алчевске,в Алчевск,v Alčevsku,v Alčevsku
394,w Białej Cerkwi,ў Белай Царкве,у Білій Церкві,в Белой Церкви,в Бела Церков,v Belaya Cerkov,v Belaya Cerkov
395,w Berdiańsku,ў Бердзянску,у Бердянську,в Бердянске,в Бердянск,v Berdjansku,v Berdjansku
396,w Browarach,ў Броварах,у Броварах,в Броварах,в Бровари,v Brovaryh,v Brovary
397,w Winnicy,у Вінніцы,у Вінниці,в Виннице,във Виница,v Vinnitsa,ve Vinnitsa
398,w Gorłowce,ў Горлаўцы,у Горлівці,в Горловке,в Горловка,v Gorlovki,v Gorlovce
399,w Dnieprze,ў Дняпры,у Дніпрі,в Днепре,в Днепър,v Dnipru,v Dněpru
400,w Doniecku,ў Данецку,в Донецьку,в Донецке,В Донеск,V Donesku,V Doněsku
401,w Eupatorii,у Еўпаторыі,в Євпаторії,в Евпатории,в Евпатория,v Evpatoriji,v Evpatoria
402,w Jenakijewem,у Енакіева,в Єнакієвому,в Енакиево,в Енакиево,v Enakievu,v Enakievo
403,w Żytomierzu,ў Жытоміры,у Житомирі,в Житомире,в Житомир,v Žitomirju,v Žitomiru
404,w Zaporożu,ў Запарожжы,в Запоріжжі,в Запорожье,в Запорожие,v Zaporožju,v Záporoží
405,w Iwano-Frankiwsku,у Івана-Франкоўску,в Івано-Франківську,в Ивано-Франковске,в Ивано-Франковск,v Ivano-Frankivsku,v Ivano-Frankivsku
406,w Kamieńcu Podolskim,ў Камянцы-Падольскім,у Кам'янці-Подільському,в Каменце-Подольском,в Каменец-Подолск,v Kamenetz-Podolsku,v Kamenetz-Podolsku
407,w Kamieńskim,ў Каменскім,у Кам'янському,в Каменском,в Каменское,v mestu Kamenskoye,v Kamenskoje
408,w Kerczu,ў Керчы,у Керчі,в Керчи,в Керч,v Kerču,v Kerči
409,w Kijowie,ў Кіеву,в Києві,в Киеве,в Киев,v Kijevu,v Kyjevě
410,w Konstantinowce,ў Канстанцінаўцы,у Костянтинівці,в Константиновке,в Константиновка,v Konstantinovki,v Konstantinovce
411,w Kramatorsku,ў Краматорску,у Краматорську,в Краматорске,в Краматорск,v Kramatorsku,v Kramatorsku
412,w Krzemieńczuku,ў Крамянчугу,у Кременчуці,в Кременчуге,в Кременчуг,v Kremenčugu,v Kremenčugu
413,w Krzywym Rogu,ў Крывым Рогу,у Кривому Розі,в Кривом Роге,в Кривой Рог,v Krivoj Rogu,v Krivoj Rog
414,w Kropywnyckim,ў Крапіўніцкім,у Кропивницькому,в Кропивницком,в Кропивницки,v Kropivnytskyi,v Kropyvnickém
415,w Lisiczańsku,ў Лісічанск,у Лисичанську,в Лисичанске,в Лисичанск,v Lisičansku,v Lisičansku
416,w Ługańsku,ў Луганску,в Луганську,в Луганске,в Луганск,v Lugansku,v Lugansku
417,w Łucku,ў Луцку,у Луцьку,в Луцке,в Луцк,v Lutsku,v Lucku
418,we Lwowie,ў Львове,у Львові,во Львове,в Лвов,v Lvivu,ve Lvově
419,w Makiejewce,ў Макееўцы,у Макіївці,в Макеевке,в Макеевка,v Makeevki,v Makeevce
420,w Mariupolu,ў Марыупалі,у Маріуполі,в Мариуполе,в Мариупол,v Mariupolu,v Mariupolu
421,w Melitopolu,ў Мелітопалі,у Мелітополі,в Мелитополе,в Мелитопол,v Melitopolu,v Melitopolu
422,w Mikołajowie,ў Мікалаеве,у Миколаєві,в Николаеве,в Николаев,v Nikolajevu,v Nikolajevu
423,w Nikopolu,ў Нікаполі,у Нікополі,в Никополе,в Никопол,v Nikopolu,v Nikopoli
424,w Odessie,у Адэсе,в Одесі,в Одессе,в Одеса,v Odesi,v Oděse
425,w Pawłohradzie,ў Паўлаградзе,у Павлограді,в Павлограде,в Павлоград,v Pavlogradu,v Pavlogradu
426,w Połtawie,ў Палтаве,у Полтаві,в Полтаве,в Полтава,v Poltavi,v Poltavě
427,w Równem,ў Роўна,у Рівному,в Ровно,в Ровно,v Rivneh,v Rovném
428,w Sewastopolu,ў Севастопалі,у Севастополі,в Севастополе,в Севастопол,v Sevastopolu,v Sevastopolu
429,w Siewierodoniecku,ў Севераданецку,у Сєвєродонецьку,в Северодонецке,в Северодонецк,v Severodonetsku,v Severodoněcku
430,w Symferopolu,ў Сімферопалі,в Сімферополі,в Симферополе,в Симферопол,v Simferopolu,v Simferopolu
431,w Słowiańsku,ў Славянску,у Слов'янську,в Славянске,в Славянск,v Slavjansku,ve Slavjansku
432,w Stachanowie,ў Стаханаве,у Стаханові,в Стаханове,в Стаханов,v Stahanovu,ve Stachanově
433,w Sumach,ў Сумах,у Сумах,в Сумах,в Суми,v Sumyju,v Sumy
434,w Tarnopolu,ў Цярнопалі,у Тернополі,в Тернополе,в Тернопол,v Ternopilu,v Ternopilu
435,w Użgorodzie,ва Ужгарадзе,в Ужгороді,в Ужгороде,в Ужгород,v Užgorodu,v Užhorodě
436,w Charkowie,ў Харкаве,в Харкові,в Харькове,в Харков,v Harkovu,v Charkově
437,w Chersoniu,ў Херсоне,у Херсоні,в Херсоне,в Херсон,v Khersonu,v Chersonu
438,w Chmielnickim,ў Хмяльніцкім,у Хмельницькому,в Хмельницком,в Хмелницки,v Hmelnitskem,v Chmelnickém
439,w Czerkasach,ў Чаркасах,у Черкасах,в Черкассах,в Черкаси,v Čerkasih,v Čerkasích
440,w Czernihowie,ў Чарнігаве,у Чернігові,в Чернигове,в Чернигов,v Černihovu,v Chernihiv
441,w Czerniowcach,ў Чарнаўцах,у Чернівцях,в Черновцах,в Черновци,v Černivcih,v Černovicích
442,w Warszawie,у Варшаве,у Варшаві,в Варшаве,във Варшава,v Varšavi,ve Varšavě
443,w Kaliszu,ў Калішы,у Каліші,в Калише,в Калиш,v Kaliszu,v Kalisz
444,w Koszalinie,ў Кашаліне,у Кошаліні,в Кошалине,в Кошалин,v Koszalinu,v Koszalinu
445,w Tarnowie,ў Тарнуве,у Тарнуві,в Тарнуве,в Тарнов,v Tarnowu,v Tarnow
446,w Chorzowie,ў Хожуве,у Хожуві,в Хожуве,в Хожов,v Chorzowu,v Chorzowě
447,we Włocławku,ва Улацлаўку,у Влоцлавеку,во Влоцлавеке,във Влоцлавек,v Wloclawku,ve Wloclawku
448,w Wałbrzychu,у Валбжыху,у Валбжиху,в Валбжихе,във Валбжих,v Walbrzychu,ve Walbrzychu
449,w Płocku,ў Плоцку,у Плоцьку,в Плоцке,в Плоцк,v Plocku,v Plocku
450,w Opolu,у Аполе,в Ополе,в Ополе,в Ополе,v Opoleju,v Opole
451,w Olsztynie,у Ольштыне,в Ольштині,в Ольштыне,в Олщин,v Olsztynu,v Olsztyně
452,w Toruniu,ў Торуні,у Торуні,в Торуни,в Торун,v Torunu,v Toruni
453,w Sosnowcu,ў Сасноўцы,у Сосновці,в Сосновце,в Сосновец,v Sosnowiecu,v Sosnowci
454,w Częstochowie,ў Чэнстахове,у Ченстохові,в Ченстохове,в Ченстохова,v Czestochowi,v Čenstochové
455,w Gdyni,ў Гдыні,у Гдині,в Гдыне,в Гдиня,v Gdyniji,v Gdyni
456,w Białymstoku,ў Беластоку,у Білостоці,в Белостоке,в Бялисток,v Bialystoku,v Bialystoku
457,w Katowicach,ў Катавіцы,в Катовіце,в Катовице,в Катовице,v Katowicah,v Katovicích
458,w Lublinie,ў Любліне,у Любліні,в Люблине,в Люблин,v Lublinu,v Lublinu
459,w Bydgoszczy,ў Быдгашчы,у Бидгощі,в Быдгощи,в Бидгошч,v Bydgoszczu,v Bydhošti
460,w Szczecinie,ў Шчэціне,у Щецині,в Щецине,в Шчечин,v Szczecinu,ve Štětíně
461,w Gdańsku,ў Гданьску,у Гданську,в Гданьске,в Гданск,v Gdansku,v Gdaňsku
462,w Poznaniu,ў Познані,у Познані,в Познани,в Познан,v Poznanu,v Poznani
463,we Wrocławiu,ва Уроцлаве,у Вроцлаві,во Вроцлаве,във Вроцлав,v Wroclawu,ve Vratislavi
464,w Łodzi,ў Лодзі,у Лодзі,в Лодзи,в Лодз,v Lodzu,v Lodži
465,w Krakowie,ў Кракаве,у Кракові,в Кракове,в Краков,v Krakovu,v Krakově
466,w Mińsku,у Мінску,в Мінську,в Минске,В Минск,V Minsku,V Minsku
467,w Homelu,у Гомелі,у Гомелі,в Гомеле,в Гомел,v Gomel,v Gomelu
468,w Witebsku,у Віцебску,у Вітебську,в Витебске,във Витебск,v Vitebsku,ve Vitebsku
469,w Mohylewie,у Магілёве,у Могильові,в Могилеве,в Могилев,v Mogilevu,v Mogilevu
470,w Grodnie,у Гродне,у Гродно,в Гродно,в Гродно,v Grodnem,v Grodně
471,w Brześciu,у Брэсце,у Бресті,в Бресте,в Брест,v Brestu,v Brestu
472,w Bobrujsku,у Бабруйску,у Бобруйску,в Бобруйске,в Бобруйск,v Bobrujsku,v Bobruisku
473,w Baranowiczach,у Баранавічах,у Барановичах,в Барановичах,в Барановичи,v Baranovičih,v Baranovichi
474,w Borysowie,у Барысаве,у Борисові,в Борисове,в Борисов,v Borisovu,v Borisově
475,w Pińsku,у Пінску,у Пінську,в Пинске,в Пинск,v Pinsku,v Pinsku
476,w Orszaju,у Оршы,в Орші,в Орше,в Орша,v Orši,v Orsha
477,w Mozyrze,у Мазыры,у Мозирі,в Мозыре,в Мозир,v Mozirju,v Mozyru
478,w Lidzie,у Лідзе,у Ліді,в Лиде,в Лида,v Lidi,v Lídě
479,w Soligorsku,у Салігорску,у Солігорську,в Солигорске,в Солигорск,v Soligorsku,v Soligorsku
480,w Nowopołocku,у Наваполацку,у Новополоцьку,в Новополоцке,в Новополоцк,v Novopolotsku,v Novopolotsku
