,ru,be,bg,pl,sl,cs,uk
290,Американское Самоа,Амерыканскае Самоа,Американска Самоа,Samoa Amerykańskie,Ameriška Samoa,Americká Samoa,Американське Самоа
291,Гондурас,Гандурас,Хондурас,Honduras,Honduras,Honduras,Гондурас
292,Гана,Гана,Гана,Ghana,Gana,Ghana,Гана
293,Турция,Турцыя,Турция,Turcja,Turčija,Turecko,Туреччина
294,Гвадалахара,Гвадалахара ,Гуадалахара,Guadalajara,Guadalajara,Guadalajara ,Гвадалахара 
295,Латвия,Латвія,Латвия,Łotwa,Latvija,Lotyšsko,Латвія
296,Одесса,Адэса,Одеса,Odessa,Odesa,Oděsa,Одеса
297,Аба,Аба ,Аба ,Aba ,Aba,Aba ,Аба 
298,Сейшельские Острова,Сейшэльскія Астравы,Сейшели,Seszele,Sejšeli,Seychely,Сейшельські Острови
299,Парагвай,Парагвай,Парагвай,Paragwaj,Paragvaj,Paraguay,Парагвай
300,Маврикий,Маўрыкій,Мавриций,Mauritius,Mavricij,Mauricius,Маврикій
301,Индия,Індыя,Индия,Indie,Indija,Indie,Індія
302,Бермудские Острова,Бермудскія астравы,Бермудски острови,Bermudy,Bermudi,Bermudy,Бермудські Острови
303,Демократическая Республика Конго,Дэмакратычная Рэспубліка Конга,Демократична република Конго,Demokratyczna Republika Konga,Vzhodni Kongo,Konžská demokratická republika,Демократична Республіка Конго
304,Сан-Франциско,Сан-Францыска,Сан Франциско,San Francisco,San Francisco,San Francisco,Сан-Франциско
305,Италия,Італія,Италия,Włochy,Italija,Itálie,Італія
306,Медельин,Медэльін,Меделин,Medellín,Medellín,Medellín,Медельїн
307,Риф Кингмен,Кінгмэн,Кингман ,Kingman ,Kingmanov greben,Kingmanův útes,Кінгмен 
308,Новая Зеландия,Новая Зеландыя,Нова Зеландия,Nowa Zelandia,Nova Zelandija,Nový Zéland,Нова Зеландія
309,Куба,Куба,Куба,Kuba,Kuba,Kuba,Куба
310,Волгоград,Валгаград,Волгоград,Wołgograd,Volgograd,Volgograd,Волгоград
311,Сент-Китс и Невис,Сент-Кітс і Невіс,Сейнт Китс и Невис,Saint Kitts i Nevis,Sveti Krištof in Nevis,Svatý Kryštof a Nevis,Сент-Кіттс і Невіс
312,Пусан,Пусан,Пусан,Pusan,Pusan,Pusan,Пусан
313,Бенилюкс,Бенілюкс,Бенелюкс,Beneluks,Beneluks,Benelux,Бенілюкс
314,Сайтама,Сайтама ,Сайтама,Saitama,Saitama,Saitama,Сайтама
315,Циндао,Цындаа,Циндао,Qingdao,Čingdao,Čching-tao,Циндао
316,Мавритания,Маўрытанія,Мавритания,Mauretania,Mavretanija,Mauritánie,Мавританія
317,Трухильо,Трухілья ,Трухильо ,Trujillo ,Trujillo,Trujillo ,Трухільйо 
318,Абу-Даби,Абу-Дабі,Абу Даби,Abu Zabi,Abu Dabi,Abú Zabí,Абу-Дабі
319,Руанда,Руанда,Руанда,Rwanda,Ruanda,Rwanda,Руанда
320,Бангалор,Бангалор,Бенгалуру,Bengaluru,Bangalore,Bengalúr,Бенгалуру
321,Южно-Африканская Республика,Паўднёва-Афрыканская Рэспубліка,Република Южна Африка,Południowa Afryka,Republika Južna Afrika,Jihoafrická republika,Південно-Африканська Республіка
322,Доминика,Дамініка,Доминика,Dominika,Dominika,Dominika,Домініка
323,Иокогама,Якагама,Йокохама,Jokohama,Jokohama,Jokohama,Йокогама
324,Киншаса,Кіншаса,Киншаса,Kinszasa,Kinšasa,Kinshasa,Кіншаса
325,Уганда,Уганда,Уганда,Uganda,Uganda,Uganda,Уганда
326,Джонстон,Джонстан ,Атол Джонстън,Johnston ,Johnstonov atol,Johnstonův atol,Джонстон 
327,Пермь,Перм,Перм,Perm ,Perm,Perm ,Перм
328,Лаос,Лаос,Лаос,Laos,Laos,Laos,Лаос
329,Сурабая,Сурабая,Сурабая,Surabaja,Surabaja,Surabaja,Сурабая
330,Камбоджа,Камбоджа,Камбоджа,Kambodża,Kambodža,Kambodža,Камбоджа
331,Коморы,Каморскія Астравы,Коморски острови,Komory,Komori,Komory,Коморські Острови
332,Лесото,Лесота,Лесото,Lesotho,Lesoto,Lesotho,Лесото
333,Хауленд,Хаўленд ,Хауланд ,Howland,Howlandov otok,Howlandův ostrov,Гауленд
334,Гуам,Гуам,Гуам,Guam,Gvam,Guam,Гуам
335,Мальдивы,Мальдывы,Малдиви,Malediwy,Maldivi,Maledivy,Мальдіви
336,Самара,Самара,Самара,Samara,Samara,Samara,Самара
337,Курдистан,Курдыстан,Кюрдистан,Kurdystan,Kurdistan,Kurdistán,Курдистан
338,Нагоя,Нагоя,Нагоя,Nagoja,Nagoja,Nagoja,Нагоя
339,Амритсар,Амрытсар,Амритсар,Amritsar,Amritsar,Amritsar,Амрітсар
340,Брисбен,Брысбен,Бризбън,Brisbane,Brisbane,Brisbane,Брисбен
341,Новосибирск,Новасібірск,Новосибирск,Nowosybirsk,Novosibirsk,Novosibirsk,Новосибірськ
342,Дурбан,Дурбан,Дърбан,Durban,Durban,Durban,Дурбан
343,Андорра,Андора,Андора,Andora,Andora,Andorra,Андорра
344,Фес,Фес,Фес,Fez,Fes,Fes,Фес
345,Самоа,Самоа,Самоа,Samoa,Samoa,Samoa,Самоа
346,Узбекистан,Узбекістан,Узбекистан,Uzbekistan,Uzbekistan,Uzbekistán,Узбекистан
347,Белиз,Беліз,Белиз,Belize,Belize,Belize,Беліз
348,Либерия,Ліберыя,Либерия,Liberia,Liberija,Libérie,Ліберія
349,Дамаск,Дамаск,Дамаск,Damaszek,Damask,Damašek,Дамаск
350,Чэнду,Чэнду,Чънду,Chengdu,Čengdu,Čcheng-tu,Ченду
351,Касабланка,Касабланка,Казабланка,Casablanca,Casablanca,Casablanca,Касабланка
352,Стамбул,Стамбул,Истанбул,Stambuł,Carigrad,Istanbul,Стамбул
353,Ирак,Ірак,Ирак,Irak,Irak,Irák,Ірак
354,Сент-Люсия,Сент-Люсія,Сейнт Лусия,Saint Lucia,Sveta Lucija ,Svatá Lucie,Сент-Люсія
355,Синт-Мартен,Сінт-Мартэн,Синт Мартен,Sint Maarten ,Sveti Martin ,Svatý Martin ,Сінт-Мартен
356,Боливия,Балівія,Боливия,Boliwia,Bolivija,Bolívie,Болівія
357,Монреаль,Манрэаль,Монреал,Montreal,Montréal,Montréal,Монреаль
358,Британская Территория в Индийском Океане,Брытанская тэрыторыя ў Індыйскім акіяне,Британска индоокеанска територия,Brytyjskie Terytorium Oceanu Indyjskiego,Britansko ozemlje v Indijskem oceanu,Britské indickooceánské území,Британська Територія в Індійському Океані
359,Афганистан,Афганістан,Афганистан,Afganistan,Afganistan,Afghánistán,Афганістан
360,Коста-Рика,Коста-Рыка,Коста Рика,Kostaryka,Kostarika,Kostarika,Коста-Рика
361,Анкара,Анкара,Анкара,Ankara,Ankara,Ankara,Анкара
362,Республика Гаити,Гаіці,Хаити,Haiti,Haiti,Haiti,Гаїті
363,Люксембург,Люксембург,Люксембург,Luksemburg,Luksemburg,Lucembursko,Люксембург
364,Алжир,Алжыр,Алжир,Algieria,Alžirija,Alžírsko,Алжир
365,Панама,Панама,Панама,Panama,Panama,Panama,Панама
366,Джерси,Джэрсі,Джърси,Jersey,Jersey,Jersey,Джерсі
367,Бейкер,Бэйкер,Бейкър ,Baker ,Bakerjev otok,Bakerův ostrov,Бейкер 
368,Рим,Рым,Рим,Rzym,Rim,Řím,Рим
369,Черногория,Чарнагорыя,Черна гора,Czarnogóra,Črna gora,Černá Hora,Чорногорія
370,Восточный Тимор,Усходні Тымор,Източен Тимор,Timor Wschodni,Vzhodni Timor,Východní Timor,Східний Тимор
371,Сингапур,Сінгапур,Сингапур,Singapur,Singapur,Singapur,Сінгапур
372,Перт,Перт ,Пърт ,Perth,Perth,Perth,Перт
373,Намибия,Намібія,Намибия,Namibia,Namibija,Namibie,Намібія
374,Россия,Расія,Русия,Rosja,Rusija,Rusko,Росія
375,Гватемала,Гватэмала,Гватемала,Gwatemala,Gvatemala,Guatemala,Гватемала
376,Ченнаи,Чэнаі,Ченай,Ćennaj,Chennai,Čennaí,Ченнаї
377,Эквадор,Эквадор,Еквадор,Ekwador,Ekvador,Ekvádor,Еквадор
378,Калькутта,Калькута,Колката,Kolkata,Kalkuta,Kalkata,Колката
379,Сан-Диего,Сан-Дыега,Сан Диего,San Diego,San Diego,San Diego,Сан-Дієго
380,Йоханнесбург,Яганэсбург,Йоханесбург,Johannesburg,Johannesburg,Johannesburg,Йоганнесбург
381,Австралия,Аўстралія,Австралия,Australia,Avstralija,Austrálie,Австралія
382,Токелау,Такелау,Токелау,Tokelau,Tokelav,Tokelau,Токелау
383,Федеративные Штаты Микронезии,Федэратыўныя Штаты Мікранезіі,Микронезия ,Mikronezja,Federativne države Mikronezije,Federativní státy Mikronésie,Федеративні Штати Мікронезії
384,Того,Тога,Того,Togo,Togo,Togo,Того
385,Иран,Іран,Иран,Iran,Iran,Írán,Іран
386,Остров Рождества,Востраў Каляд,Рождество ,Wyspa Bożego Narodzenia,Božični otok,Vánoční ostrov,Острів Різдва
387,Острова Питкэрн,Астравы Піткэрн,Питкерн,Pitcairn,Pitcairnovi otoki,Pitcairnovy ostrovy,Піткерн
388,Северная Македония,Паўночная Македонія,Северна Македония,Macedonia Północna,Severna Makedonija,Severní Makedonie,Північна Македонія
389,Челябинск,Чалябінск,Челябинск,Czelabińsk,Čeljabinsk,Čeljabinsk,Челябінськ
390,Великобритания,Вялікабрытанія,Обединено кралство Великобритания и Северна Ирландия,Wielka Brytania,Združeno kraljestvo Velike Britanije in Severne Irske,Spojené království,Велика Британія
391,Нигер,Нігер,Нигер,Niger,Niger,Niger,Нігер
392,Измир,Ізмір,Измир,Izmir,İzmir,Smyrna,Ізмір
393,Кувейт,Кувейт,Кувейт,Kuwejt,Kuvajt,Kuvajt,Кувейт
394,Лихтенштейн,Ліхтэнштэйн,Лихтенщайн,Liechtenstein,Lihtenštajn,Lichtenštejnsko,Ліхтенштейн
395,Дубай,Дубай ,Дубай,Dubaj,Dubaj,Dubaj,Дубай
396,Сан-Антонио,Сан-Антоніа,Сан Антонио,San Antonio ,San Antonio,San Antonio,Сан-Антоніо
